date,open,high,low,close,volume
2015-10-22,4.02,4.23,4.02,4.2,8251888
2015-10-23,4.24,4.31,4.21,4.28,9730400
2015-10-26,4.26,4.29,4.21,4.25,3590640
2015-10-27,4.23,4.3,4.1,4.12,6284816
2015-10-28,4.12,4.18,4.07,4.13,8333664
2015-10-29,4.1,4.12,4.03,4.07,9367440
2015-10-30,4.1,4.14,4.01,4.03,7829200
2015-11-02,3.91,3.95,3.67,3.87,18839104
2015-11-03,3.87,3.91,3.77,3.89,13909344
2015-11-04,3.9,3.97,3.89,3.94,9482832
2015-11-05,3.92,3.94,3.84,3.87,19638384
2015-11-06,4.07,4.5,4.05,4.4,49432688
2015-11-09,4.44,4.54,4.1,4.31,19708960
2015-11-10,4.28,4.31,4.24,4.31,7709088
2015-11-11,4.31,4.31,4.2,4.2,6797984
2015-11-12,4.19,4.23,4.09,4.12,7372832
2015-11-13,4.1,4.15,4.04,4.07,7014608
2015-11-16,4.07,4.25,4.05,4.24,6784128
2015-11-17,4.24,4.37,4.22,4.32,10927392
2015-11-18,4.3,4.36,4.27,4.36,7742384
2015-11-19,4.34,4.48,4.32,4.46,8656928
2015-11-20,4.47,4.55,4.45,4.46,7976368
2015-11-23,4.46,4.64,4.45,4.62,10871776
2015-11-24,4.59,4.69,4.57,4.67,7732208
2015-11-25,4.66,4.68,4.56,4.61,7418304
2015-11-27,4.62,4.62,4.53,4.56,2213104
2015-11-30,4.6,4.62,4.55,4.6,6648544
2015-12-01,4.61,4.66,4.51,4.64,4746176
2015-12-02,4.66,4.74,4.63,4.71,6960320
2015-12-03,4.71,4.75,4.68,4.7,8666368
2015-12-04,4.7,4.7,4.54,4.64,4382192
2015-12-07,4.62,4.68,4.55,4.64,6091824
2015-12-08,4.58,4.61,4.47,4.58,7284768
2015-12-09,4.59,4.61,4.47,4.49,4765616
2015-12-10,4.53,4.54,4.36,4.41,5216272
2015-12-11,4.38,4.43,4.21,4.22,7916416
2015-12-14,4.24,4.54,4.23,4.4,16822304
2015-12-15,4.42,4.52,4.38,4.49,8582304
2015-12-16,4.46,4.52,4.39,4.47,11806400
2015-12-17,4.51,4.6,4.47,4.55,11604800
2015-12-18,4.55,4.56,4.37,4.39,55656320
2015-12-21,4.42,4.48,4.39,4.47,8057760
2015-12-22,4.47,4.6,4.45,4.55,7825264
2015-12-23,4.58,4.67,4.55,4.67,8539328
2015-12-24,4.65,4.7,4.65,4.69,4368512
2015-12-28,4.66,4.92,4.66,4.88,19631280
2015-12-29,4.88,4.97,4.85,4.92,13205312
2015-12-30,4.9,4.96,4.88,4.92,10563088
2015-12-31,4.89,4.96,4.86,4.87,7432800
