date,open,high,low,close,volume
2015-10-22,12.64,13.19,12.63,13.02,12183796
2015-10-23,13.09,13.38,13.03,13.38,10461960
2015-10-26,13.33,13.46,13.31,13.46,6075448
2015-10-27,13.4,13.5,13.4,13.5,6403600
2015-10-28,13.47,13.61,13.38,13.61,7745692
2015-10-29,13.57,13.67,13.5,13.6,4884400
2015-10-30,13.63,13.68,13.54,13.56,4404000
2015-11-02,13.56,13.78,13.56,13.77,4691600
2015-11-03,13.73,13.81,13.67,13.72,6419724
2015-11-04,13.74,13.84,13.68,13.73,3878800
2015-11-05,13.71,13.8,13.59,13.68,4171300
2015-11-06,13.62,13.81,13.61,13.79,5338284
2015-11-09,13.72,13.78,13.59,13.73,6522420
2015-11-10,13.65,13.65,13.5,13.61,4110000
2015-11-11,13.67,13.77,13.61,13.68,2906428
2015-11-12,13.56,13.63,13.48,13.48,3048060
2015-11-13,13.42,13.51,13.24,13.25,4322964
2015-11-16,13.44,13.66,13.35,13.63,4462896
2015-11-17,13.64,13.65,13.38,13.47,5228304
2015-11-18,13.51,13.72,13.42,13.7,3976924
2015-11-19,13.74,13.75,13.63,13.65,4016852
2015-11-20,13.71,13.75,13.59,13.68,4309084
2015-11-23,13.72,13.86,13.68,13.85,4480516
2015-11-24,13.77,13.81,13.61,13.67,6056672
2015-11-25,13.67,13.74,13.65,13.69,2418840
2015-11-27,13.69,13.77,13.66,13.74,1170800
2015-11-30,13.8,13.82,13.69,13.76,3812800
2015-12-01,13.81,13.92,13.8,13.87,3823600
2015-12-02,13.89,13.92,13.63,13.65,3457200
2015-12-03,13.68,13.69,13.34,13.41,4145928
2015-12-04,13.47,13.71,13.42,13.7,3780064
2015-12-07,13.65,13.73,13.6,13.68,2627200
2015-12-08,13.54,13.69,13.5,13.58,3832760
2015-12-09,13.5,13.64,13.34,13.47,5538504
2015-12-10,13.45,13.52,13.34,13.39,5185312
2015-12-11,13.25,13.3,13.12,13.15,3622080
2015-12-14,13.15,13.26,13.03,13.21,3896000
2015-12-15,13.29,13.32,13.04,13.11,6358000
2015-12-16,13.18,13.27,13.01,13.22,5284000
2015-12-17,13.22,13.38,13.18,13.18,5348180
2015-12-18,13.09,13.12,12.91,12.91,8813200
2015-12-21,13.03,13.16,12.9,13.03,3506096
2015-12-22,13.11,13.27,13.06,13.26,3783600
2015-12-23,13.32,13.43,13.27,13.39,2803600
2015-12-24,13.38,13.41,13.31,13.36,1038000
2015-12-28,13.32,13.39,13.19,13.29,2086048
2015-12-29,13.4,13.42,13.27,13.36,2071616
2015-12-30,13.35,13.39,13.23,13.23,1955008
2015-12-31,13.2,13.2,13.06,13.06,3086000
2016-01-04,12.77,12.82,12.6,12.72,6374000
2016-01-05,12.72,12.8,12.53,12.58,8320176
2016-01-06,12.38,12.44,12.25,12.28,8390496
2016-01-07,12.04,12.14,11.74,11.84,8580800
2016-01-08,11.88,11.92,11.63,11.66,7626800
2016-01-11,11.76,11.82,11.36,11.57,9811032
2016-01-12,11.72,11.88,11.57,11.86,11367316
2016-01-13,11.88,11.94,11.59,11.64,12525640
2016-01-14,11.72,11.77,11.53,11.68,13393600
2016-01-15,11.39,11.49,11.25,11.37,15293200
2016-01-19,11.51,11.65,11.29,11.36,13147960
2016-01-20,11.14,11.82,11.13,11.63,17500420
2016-01-21,11.73,12.26,11.66,11.95,15672552
2016-01-22,12.13,12.24,12.1,12.18,7684804
2016-01-25,12.14,12.18,12.0,12.05,6800980
2016-01-26,12.09,12.25,12.08,12.15,7291960
2016-01-27,12.1,12.21,12.01,12.1,9028192
2016-01-28,12.19,12.23,12.05,12.12,6335816
2016-01-29,12.2,12.39,12.2,12.39,8344000
2016-02-01,12.28,12.53,12.26,12.47,6936888
2016-02-02,12.3,12.44,12.27,12.3,12142800
2016-02-03,12.37,12.4,12.1,12.26,9034884
2016-02-04,12.26,12.44,12.2,12.39,6292904
2016-02-05,12.32,12.41,12.26,12.39,10578800
2016-02-08,12.24,12.36,12.05,12.25,13498000
2016-02-09,12.12,12.32,12.08,12.26,10063600
2016-02-10,12.34,12.56,12.33,12.43,7399468
2016-02-11,12.19,12.33,12.12,12.25,6600800
2016-02-12,12.37,12.42,12.22,12.39,6454116
2016-02-16,12.56,12.73,12.49,12.68,4898400
2016-02-17,12.75,13.01,12.74,13.01,5679676
2016-02-18,13.01,13.12,12.97,13.03,4368436
2016-02-19,13.0,13.06,12.91,13.03,6669200
