date,open,high,low,close,volume
2015-10-22,12.16,12.56,12.12,12.53,34344410
2015-10-23,12.75,12.98,12.41,12.96,35498000
2015-10-26,12.81,12.81,12.27,12.36,58137650
2015-10-27,12.31,12.52,12.09,12.15,32280230
2015-10-28,12.48,12.79,12.37,12.71,30966000
2015-10-29,12.1,12.42,11.87,12.01,61582000
2015-10-30,12.09,12.4,12.02,12.31,25516180
2015-11-02,12.37,12.52,12.25,12.38,26068000
2015-11-03,12.15,12.5,12.15,12.21,26222480
2015-11-04,12.25,12.49,12.01,12.41,43098000
2015-11-05,12.49,12.5,12.06,12.11,28308000
2015-11-06,12.33,12.98,12.32,12.97,45287000
2015-11-09,12.84,12.89,12.57,12.65,28250120
2015-11-10,12.31,12.41,11.98,11.99,44759240
2015-11-11,12.02,12.27,11.98,12.0,25958410
2015-11-12,12.02,12.14,11.89,11.99,26588000
2015-11-13,11.9,11.99,11.52,11.75,39824330
2015-11-16,11.75,12.18,11.71,12.15,27796000
2015-11-17,12.15,12.37,12.1,12.21,19868290
2015-11-18,12.19,12.61,12.16,12.59,20270430
2015-11-19,12.61,12.61,12.3,12.52,32790960
2015-11-20,12.62,12.67,12.37,12.64,28057410
2015-11-23,12.68,12.68,12.42,12.44,16003300
2015-11-24,12.34,12.86,12.34,12.83,35659000
2015-11-25,12.9,12.92,12.77,12.84,21396000
2015-11-27,12.86,13.05,12.79,13.0,13262000
2015-11-30,12.94,13.07,12.71,13.05,32615000
2015-12-01,13.12,13.38,13.09,13.29,43255000
2015-12-02,13.31,13.5,13.15,13.22,54364000
2015-12-03,14.49,14.69,14.29,14.48,120661130
2015-12-04,14.48,14.79,14.32,14.76,60329230
2015-12-07,14.67,14.97,14.56,14.88,44769400
2015-12-08,14.68,14.86,14.58,14.78,34560010
2015-12-09,14.71,14.8,14.44,14.57,30803000
2015-12-10,14.61,14.94,14.52,14.73,33078330
2015-12-11,14.46,14.77,14.43,14.44,27777000
2015-12-14,14.41,14.54,14.12,14.25,37069720
2015-12-15,14.27,14.42,14.13,14.33,35398000
2015-12-16,14.32,14.43,14.04,14.39,29644000
2015-12-17,14.49,14.55,14.04,14.05,24378290
2015-12-18,14.02,14.19,13.86,14.02,51964000
2015-12-21,14.31,14.6,14.19,14.58,26627000
2015-12-22,14.72,14.72,14.28,14.51,21684290
2015-12-23,14.6,14.67,14.44,14.65,16170390
2015-12-24,14.64,14.73,14.57,14.63,7436300
2015-12-28,14.59,14.64,14.39,14.64,13875850
2015-12-29,14.7,14.88,14.5,14.79,22535730
2015-12-30,14.75,14.89,14.71,14.74,17396000
2015-12-31,14.66,14.75,14.51,14.52,19673440
2016-01-04,14.21,14.24,13.99,14.23,30970000
2016-01-05,14.31,14.33,13.72,13.75,38179930
2016-01-06,13.46,13.61,13.23,13.33,50824000
2016-01-07,13.13,13.38,12.82,12.91,50056310
2016-01-08,13.0,13.35,12.81,12.82,64641480
2016-01-11,12.95,13.0,12.54,12.8,38941000
