date,open,high,low,close,volume
2015-10-22,15.37,15.57,15.37,15.5,1578900
2015-10-23,15.52,15.64,15.41,15.51,2609100
2015-10-26,15.5,15.52,15.4,15.44,1982540
2015-10-27,15.44,15.44,15.3,15.36,3000510
2015-10-28,15.28,15.59,15.28,15.56,2637001
2015-10-29,14.75,14.87,14.4,14.47,5976826
2015-10-30,14.36,14.38,14.2,14.23,2918900
2015-11-02,14.5,14.66,14.49,14.61,2699336
2015-11-03,14.32,14.52,14.32,14.47,2214100
2015-11-04,14.33,14.35,14.17,14.25,2419700
2015-11-05,14.03,14.08,13.92,13.99,3106100
2015-11-06,13.89,14.11,13.86,14.07,3299483
2015-11-09,14.29,14.35,14.13,14.2,2416641
2015-11-10,13.95,14.01,13.91,13.99,1919543
2015-11-11,14.18,14.18,14.03,14.06,1636719
2015-11-12,13.83,13.86,13.66,13.67,2370614
2015-11-13,13.7,13.73,13.59,13.61,3274200
2015-11-16,13.56,13.82,13.55,13.82,2102500
2015-11-17,13.81,13.86,13.66,13.7,1706800
2015-11-18,13.79,13.94,13.76,13.92,1435809
2015-11-19,14.06,14.12,14.02,14.04,1874207
2015-11-20,13.68,13.72,13.41,13.43,3685734
2015-11-23,13.33,13.42,13.23,13.27,2801130
2015-11-24,13.21,13.34,13.2,13.31,1800044
2015-11-25,13.41,13.45,13.36,13.37,1647101
2015-11-27,13.56,13.57,13.45,13.45,917327
2015-11-30,13.47,13.49,13.4,13.45,1600643
2015-12-01,14.07,14.1,13.98,14.09,3686237
2015-12-02,14.05,14.1,13.84,13.88,1916000
2015-12-03,14.13,14.13,13.69,13.74,2867242
2015-12-04,13.77,13.97,13.73,13.94,2861515
2015-12-07,13.77,13.79,13.61,13.69,2127388
2015-12-08,13.37,13.4,13.24,13.3,2825041
2015-12-09,13.37,13.62,13.22,13.33,2533000
2015-12-10,13.23,13.32,13.16,13.19,2813302
2015-12-11,12.95,12.98,12.76,12.82,3450020
2015-12-14,12.91,12.98,12.65,12.8,3199031
2015-12-15,13.06,13.1,12.88,12.91,2643543
2015-12-16,13.02,13.2,12.89,13.16,1931216
2015-12-17,13.13,13.14,12.97,12.97,3277926
2015-12-18,13.14,13.14,12.86,12.87,3468016
2015-12-21,13.07,13.09,12.88,12.97,2182700
2015-12-22,13.06,13.13,12.94,13.11,2092926
2015-12-23,13.17,13.34,13.16,13.32,2562700
2015-12-24,13.31,13.42,13.27,13.35,855100
2015-12-28,13.26,13.29,13.2,13.21,2085045
2015-12-29,13.16,13.27,13.14,13.25,3014846
2015-12-30,13.07,13.18,13.06,13.08,1973005
2015-12-31,13.06,13.1,12.96,12.96,1966155
2016-01-04,12.63,12.86,12.58,12.85,4131500
2016-01-05,12.79,12.84,12.64,12.77,2040111
2016-01-06,12.39,12.5,12.36,12.42,3033447
2016-01-07,12.05,12.18,11.92,11.93,4050100
2016-01-08,12.02,12.05,11.66,11.68,3254700
2016-01-11,11.87,11.89,11.67,11.81,3215800
2016-01-12,11.85,11.88,11.67,11.84,2423917
2016-01-13,11.82,11.85,11.43,11.45,3232408
2016-01-14,11.35,11.64,11.21,11.57,4637921
2016-01-15,11.03,11.15,10.82,10.96,5912100
2016-01-19,11.0,11.0,10.68,10.75,4476824
2016-01-20,10.44,10.58,10.21,10.48,7146461
2016-01-21,10.47,10.73,10.33,10.62,4082800
2016-01-22,11.0,11.13,10.92,10.99,3268044
2016-01-25,10.56,10.57,10.38,10.39,3438781
2016-01-26,10.42,10.68,10.41,10.67,2634912
2016-01-27,10.37,10.66,10.31,10.37,4744417
2016-01-28,10.42,10.44,10.25,10.37,3324200
2016-01-29,10.53,10.81,10.46,10.78,3607500
2016-02-01,10.52,10.71,10.44,10.66,2131800
2016-02-02,10.18,10.19,9.93,9.97,5071900
2016-02-03,9.95,9.95,9.57,9.81,7229900
2016-02-04,10.04,10.29,10.01,10.24,6126300
2016-02-05,10.09,10.21,10.01,10.06,4007900
2016-02-08,9.72,9.72,9.42,9.52,5790032
2016-02-09,9.0,9.24,8.98,9.14,6803900
