date,open,high,low,close,volume
2015-10-22,82.09,82.29,82.09,82.23,1101300
2015-10-23,82.08,82.08,82.0,82.02,1367148
2015-10-26,82.14,82.2,82.11,82.11,1512205
2015-10-27,82.26,82.28,82.13,82.13,929400
2015-10-28,82.18,82.18,81.89,81.9,2617340
2015-10-29,81.8,81.8,81.57,81.61,943200
2015-10-30,81.61,81.79,81.59,81.79,1474100
2015-11-02,81.44,81.54,81.41,81.46,2939233
2015-11-03,81.4,81.44,81.26,81.32,3997137
2015-11-04,81.39,81.44,81.23,81.37,3594403
2015-11-05,81.35,81.37,81.11,81.22,1715400
2015-11-06,80.98,81.02,80.83,80.9,1198700
2015-11-09,80.77,80.93,80.75,80.83,2358300
2015-11-10,80.93,81.04,80.84,80.92,1421045
2015-11-11,80.93,80.97,80.87,80.93,1303500
2015-11-12,81.04,81.06,80.94,80.94,1263944
2015-11-13,81.01,81.12,81.01,81.09,1583300
2015-11-16,81.12,81.2,81.05,81.09,949133
2015-11-17,81.03,81.24,80.96,81.18,1156181
2015-11-18,81.13,81.19,81.07,81.14,944100
2015-11-19,81.28,81.3,81.23,81.25,1085505
2015-11-20,81.32,81.32,81.2,81.23,1273826
2015-11-23,81.21,81.31,81.15,81.26,1647311
2015-11-24,81.29,81.35,81.25,81.29,1361902
2015-11-25,81.33,81.36,81.27,81.3,904601
2015-11-27,81.37,81.39,81.31,81.34,516000
2015-11-30,81.33,81.38,81.26,81.3,6285200
2015-12-01,81.17,81.45,81.14,81.44,1780200
2015-12-02,81.4,81.41,81.28,81.34,1413700
2015-12-03,81.15,81.15,80.68,80.71,2510609
2015-12-04,80.87,81.04,80.79,81.03,3815924
2015-12-07,81.06,81.29,81.04,81.17,1543300
2015-12-08,81.25,81.27,81.11,81.19,1687308
2015-12-09,81.11,81.26,80.97,81.16,2076935
2015-12-10,81.22,81.22,81.13,81.15,2004401
2015-12-11,81.37,81.42,81.27,81.37,1994489
2015-12-14,81.2,81.26,80.98,80.99,2974636
2015-12-15,80.88,80.96,80.82,80.9,1806320
2015-12-16,80.87,81.0,80.69,80.81,2332700
2015-12-17,80.92,81.02,80.89,80.98,2290529
2015-12-18,81.09,81.17,81.02,81.16,3211537
2015-12-21,81.19,81.23,81.04,81.07,3158300
2015-12-22,81.03,81.04,80.94,80.96,2348600
2015-12-23,80.62,80.74,80.59,80.74,2538600
2015-12-24,80.75,80.83,80.7,80.8,1361700
2015-12-28,80.71,80.88,80.71,80.8,1580600
2015-12-29,80.73,80.73,80.51,80.55,2586645
2015-12-30,80.53,80.65,80.47,80.6,2367200
2015-12-31,80.73,80.81,80.64,80.76,2419717
2016-01-04,80.79,80.93,80.7,80.72,2750500
2016-01-05,80.76,80.9,80.7,80.82,1513600
2016-01-06,81.03,81.18,80.98,81.18,2391113
2016-01-07,81.12,81.2,80.97,81.19,2792900
2016-01-08,81.14,81.32,81.1,81.29,1405163
2016-01-11,81.11,81.16,80.95,80.95,2147099
2016-01-12,81.08,81.33,81.0,81.16,1645303
2016-01-13,81.2,81.45,81.16,81.36,2887800
