date,open,high,low,close,volume
2015-10-22,76.45,78.42,76.45,77.37,3280100
2015-10-23,78.2,79.38,77.27,78.56,3971400
2015-10-26,78.58,79.3,77.64,78.22,2740300
2015-10-27,78.04,78.62,77.32,77.75,1683800
2015-10-28,77.88,78.53,76.57,78.53,3266800
2015-10-29,78.58,78.72,77.57,78.14,1822100
2015-10-30,78.15,78.63,77.42,77.71,3371600
2015-11-02,77.71,79.82,77.5,79.2,3110000
2015-11-03,79.03,79.32,78.25,78.63,2398500
2015-11-04,78.88,79.48,78.08,78.39,2585800
2015-11-05,78.41,79.48,77.8,78.71,2601900
2015-11-06,78.56,79.63,78.18,79.41,2835100
2015-11-09,78.93,79.02,77.41,78.22,3088300
2015-11-10,78.2,78.36,77.3,78.25,2610500
2015-11-11,78.54,79.0,78.09,78.71,2385700
2015-11-12,78.47,79.75,78.23,78.3,3159800
2015-11-13,78.08,78.08,75.42,75.6,3922600
2015-11-16,75.54,76.33,73.94,76.26,4053200
2015-11-17,76.57,78.49,76.41,77.24,4567600
2015-11-18,77.77,78.05,75.81,77.35,6442500
2015-11-19,81.05,82.9,80.45,80.64,11602800
2015-11-20,80.9,82.14,79.71,80.99,5336300
2015-11-23,80.44,81.74,80.39,80.78,3593700
2015-11-24,80.3,80.8,79.13,80.39,3420300
2015-11-25,80.37,81.12,79.75,80.41,2487300
2015-11-27,80.22,80.48,79.45,79.97,2221700
2015-11-30,79.73,80.18,79.29,79.69,4449700
2015-12-01,80.35,81.1,79.65,81.01,3767400
2015-12-02,80.77,81.94,80.42,80.88,3379800
2015-12-03,80.96,82.06,79.56,79.93,4769100
2015-12-04,80.33,82.14,80.16,82.14,4341700
2015-12-07,81.81,81.86,80.3,80.68,2962500
2015-12-08,80.21,81.46,79.86,81.08,2105700
2015-12-09,80.83,81.4,79.22,79.71,3181000
2015-12-10,79.8,79.97,79.16,79.38,2032800
2015-12-11,78.3,78.88,76.65,76.87,4490700
2015-12-14,76.76,77.67,75.85,76.99,3946700
2015-12-15,77.66,77.87,76.97,77.37,3393500
2015-12-16,77.64,79.1,77.12,78.89,3749400
2015-12-17,78.97,79.32,78.04,78.43,2654300
2015-12-18,78.11,79.49,77.03,77.03,6721400
2015-12-21,78.3,78.33,76.43,77.29,3011600
2015-12-22,77.52,78.09,76.85,77.86,2100400
2015-12-23,78.2,78.9,77.94,78.04,2652800
2015-12-24,78.03,78.35,77.58,77.83,1084700
2015-12-28,77.66,78.2,77.38,78.2,2327400
2015-12-29,78.5,79.76,78.44,79.44,2230200
2015-12-30,79.3,79.89,78.97,79.14,1814700
2015-12-31,78.99,79.42,78.36,78.4,2463000
2016-01-04,77.14,77.21,75.64,76.71,4919200
2016-01-05,77.07,77.97,76.67,77.05,2656800
