date,open,high,low,close,volume
2015-10-22,28.56,29.21,28.5,29.01,32162500
2015-10-23,29.02,29.38,28.93,29.35,26076929
2015-10-26,29.32,29.49,28.88,28.95,20354800
2015-10-27,28.72,29.06,28.58,29.05,19480621
2015-10-28,29.29,29.45,29.04,29.36,23741400
2015-10-29,29.15,29.21,28.93,29.14,16717819
2015-10-30,29.0,29.25,28.85,28.85,22334100
2015-11-02,28.87,28.87,28.51,28.77,28912600
2015-11-03,28.61,28.71,28.49,28.61,30555332
2015-11-04,28.79,28.82,28.37,28.47,28591800
2015-11-05,28.5,28.61,28.29,28.43,21988608
2015-11-06,28.31,28.55,28.16,28.45,26107600
2015-11-09,28.35,28.49,28.0,28.18,25865917
2015-11-10,28.18,28.22,27.9,27.98,26701825
2015-11-11,28.1,28.1,27.75,27.82,32599338
2015-11-12,27.74,28.07,27.72,27.83,38135900
2015-11-13,26.29,26.68,25.82,26.21,94556200
2015-11-16,26.07,27.0,26.06,26.79,44949600
2015-11-17,26.8,27.27,26.68,26.81,30490200
2015-11-18,27.0,27.16,26.73,27.12,27015720
2015-11-19,27.1,27.65,27.05,27.37,27417442
2015-11-20,27.59,27.78,27.46,27.57,26502800
2015-11-23,27.65,27.84,27.34,27.43,24684856
2015-11-24,27.25,27.44,27.0,27.27,32859230
2015-11-25,27.32,27.39,27.0,27.24,22472771
2015-11-27,27.25,27.48,27.24,27.32,9532300
2015-11-30,27.34,27.48,27.2,27.25,30736731
2015-12-01,27.2,27.65,27.2,27.57,31406300
2015-12-02,27.49,27.9,27.37,27.44,29178200
2015-12-03,27.63,27.69,26.82,26.95,25783800
2015-12-04,26.95,27.55,26.95,27.48,28143745
2015-12-07,27.56,27.56,27.26,27.49,15350240
2015-12-08,27.17,27.29,27.02,27.15,18635748
2015-12-09,26.96,27.35,26.66,26.73,24127425
2015-12-10,26.74,27.04,26.66,26.77,23382403
2015-12-11,26.49,26.49,26.13,26.16,34295700
2015-12-14,26.3,26.52,25.96,26.49,32744930
2015-12-15,26.72,27.11,26.61,26.85,30393725
2015-12-16,27.0,27.29,26.68,27.24,22731521
2015-12-17,27.29,27.31,26.7,26.72,24812204
2015-12-18,26.6,26.82,26.26,26.27,36732726
2015-12-21,26.58,26.65,26.41,26.64,20242927
2015-12-22,26.85,26.9,26.56,26.89,18966300
2015-12-23,27.04,27.41,27.0,27.4,18803741
2015-12-24,27.41,27.55,27.37,27.38,8202379
2015-12-28,27.3,27.37,27.13,27.31,14204904
2015-12-29,27.44,27.82,27.4,27.77,16319644
2015-12-30,27.66,27.77,27.52,27.53,10620325
2015-12-31,27.38,27.45,27.14,27.16,17041500
2016-01-04,26.39,26.42,25.88,26.41,35827100
2016-01-05,26.54,26.66,26.18,26.29,22024912
2016-01-06,26.08,26.14,25.82,26.01,30799802
2016-01-07,25.49,25.74,25.12,25.41,43235400
2016-01-08,25.55,25.63,24.72,24.78,28609700
2016-01-11,24.93,25.35,24.93,25.27,32346903
2016-01-12,25.51,25.57,25.03,25.35,30122412
2016-01-13,25.42,25.52,24.57,24.6,33431600
2016-01-14,24.69,24.9,24.46,24.66,42902408
2016-01-15,23.93,24.43,23.57,23.62,64092800
2016-01-19,23.8,24.03,23.59,23.85,52533544
2016-01-20,23.4,23.51,22.47,22.9,83632400
2016-01-21,23.09,23.45,22.87,22.9,46267900
2016-01-22,23.6,23.64,22.99,23.37,55049038
