date,open,high,low,close,volume
2015-10-22,59.45,63.56,59.18,63.14,10594566
2015-10-23,63.31,63.31,61.85,62.36,7622262
2015-10-26,62.36,62.57,61.89,62.06,3628291
2015-10-27,61.63,61.89,61.34,61.58,3949909
2015-10-28,61.66,62.24,61.4,62.21,3914859
2015-10-29,61.99,62.58,61.67,62.51,3464109
2015-10-30,62.48,63.1,62.02,62.69,5982583
2015-11-02,62.82,64.34,62.73,64.18,5637689
2015-11-03,63.96,64.43,63.76,64.29,4798936
2015-11-04,64.27,64.55,63.83,64.37,4310095
2015-11-05,64.43,64.68,64.19,64.25,4270170
2015-11-06,63.95,64.38,63.86,64.38,2987180
2015-11-09,64.15,64.45,63.72,64.08,2874829
2015-11-10,63.9,64.14,63.52,63.89,3327852
2015-11-11,63.96,64.56,63.84,63.9,3030076
2015-11-12,63.55,64.19,63.19,63.21,3194590
2015-11-13,63.03,63.35,62.68,62.84,3231689
2015-11-16,62.89,63.96,62.84,63.92,3578882
2015-11-17,63.88,64.55,63.6,64.06,3284941
2015-11-18,64.11,65.27,63.96,65.19,3020676
2015-11-19,65.03,65.4,64.9,65.13,4852105
2015-11-20,65.3,65.58,65.18,65.4,2889450
2015-11-23,65.39,65.53,64.92,65.31,1963372
2015-11-24,64.72,65.02,64.43,64.84,3490456
2015-11-25,65.06,65.21,64.78,65.05,2109603
2015-11-27,65.3,65.36,64.94,65.07,1297064
2015-11-30,65.09,65.25,64.67,64.76,4450545
2015-12-01,65.13,65.5,64.75,64.93,4859107
2015-12-02,64.75,65.03,64.37,64.48,3082092
2015-12-03,64.48,64.7,63.31,63.52,4898322
2015-12-04,63.7,64.96,63.52,64.85,6794749
2015-12-07,64.86,64.97,64.46,64.7,3394031
2015-12-08,63.59,64.43,63.32,64.34,5645380
2015-12-09,63.89,64.76,63.29,63.47,4134386
2015-12-10,63.57,64.11,63.36,63.59,3397465
2015-12-11,62.88,63.22,62.24,62.49,4386797
2015-12-14,62.73,63.0,62.18,62.73,4431830
2015-12-15,63.18,63.35,62.08,62.18,7550332
2015-12-16,62.49,63.42,62.07,63.24,5508114
2015-12-17,63.59,63.72,61.72,61.73,5239355
2015-12-18,61.34,61.98,61.21,61.29,9515175
2015-12-21,61.58,62.14,61.51,62.13,4362284
2015-12-22,62.43,62.5,61.63,62.3,3006365
2015-12-23,62.53,63.12,62.4,62.96,2449383
2015-12-24,62.77,63.08,62.73,62.75,983394
2015-12-28,62.61,62.85,62.39,62.75,1908562
2015-12-29,63.15,63.55,62.95,63.27,2473359
2015-12-30,63.2,63.33,62.57,62.71,1884950
2015-12-31,62.42,62.94,62.3,62.4,2589260
2016-01-04,61.18,61.74,61.09,61.59,6536322
2016-01-05,61.63,61.89,61.2,61.71,4243641
2016-01-06,60.99,61.41,60.51,60.99,5482778
2016-01-07,59.99,60.46,59.23,59.42,6713599
2016-01-08,59.59,60.25,59.31,59.46,4982911
2016-01-11,59.69,59.86,58.86,59.42,4960303
2016-01-12,60.22,60.22,58.72,59.49,4313283
2016-01-13,59.91,59.93,58.04,58.13,4429103
2016-01-14,58.16,58.99,57.65,58.66,4586058
2016-01-15,57.74,58.05,57.15,57.23,7243234
2016-01-19,58.01,58.19,56.87,57.51,4999321
2016-01-20,56.74,57.54,56.1,57.1,7044029
2016-01-21,56.83,57.15,56.33,56.72,5727257
2016-01-22,57.47,57.58,56.92,57.34,5289480
2016-01-25,57.35,57.54,56.59,56.69,4636821
2016-01-26,55.69,57.07,54.59,56.89,9751043
2016-01-27,56.89,57.49,56.2,56.6,7230194
2016-01-28,56.96,57.16,56.43,56.75,5314388
2016-01-29,57.13,58.26,56.77,58.21,6739514
2016-02-01,58.06,58.14,57.31,57.75,4062906
2016-02-02,57.0,57.21,56.46,56.68,4006981
2016-02-03,57.19,57.42,56.03,57.13,3662194
2016-02-04,57.01,58.25,56.98,58.08,4566014
2016-02-05,57.8,58.01,56.88,57.13,4501075
2016-02-08,56.79,57.0,55.67,56.53,6694071
2016-02-09,55.94,57.73,55.79,57.23,3836625
2016-02-10,57.59,58.33,57.12,57.25,3226640
2016-02-11,56.17,56.86,55.67,56.16,4253860
2016-02-12,56.67,57.08,56.28,57.05,3833501
2016-02-16,57.9,58.31,57.65,58.11,4267148
2016-02-17,58.47,58.75,58.21,58.5,3852779
2016-02-18,58.19,58.58,58.1,58.23,2570997
2016-02-19,58.16,58.44,57.8,58.21,3909790
2016-02-22,58.78,59.17,58.68,58.95,3389476
2016-02-23,58.67,59.05,58.29,58.66,2712258
2016-02-24,58.34,58.79,57.99,58.58,4087952
2016-02-25,58.58,59.31,58.39,59.29,3162785
2016-02-26,59.49,59.97,59.32,59.84,4626848
2016-02-29,59.7,60.38,59.54,59.97,6539694
2016-03-01,60.38,60.99,60.22,60.87,5848197
2016-03-02,60.71,61.53,60.56,60.79,4985515
2016-03-03,61.04,61.23,60.64,61.02,3912487
2016-03-04,61.12,61.46,60.63,60.94,5131244
2016-03-07,60.62,60.83,60.4,60.62,4993535
2016-03-08,60.37,60.49,59.65,59.76,4491608
2016-03-09,60.08,60.09,59.32,59.44,3916221
2016-03-10,59.91,60.17,59.33,59.93,4192956
2016-03-11,60.58,61.06,60.34,60.87,4266113
2016-03-14,60.84,61.67,60.5,61.46,4122451
2016-03-15,61.3,61.91,61.2,61.61,4003774
2016-03-16,61.57,61.61,61.03,61.33,3519783
2016-03-17,61.4,63.04,61.3,62.85,6419377
2016-03-18,63.16,64.02,62.84,64.02,10909290
2016-03-21,63.82,64.0,63.37,63.73,3278859
2016-03-22,63.02,63.93,62.92,63.78,3983648
2016-03-23,63.8,63.82,63.42,63.72,2887304
2016-03-24,63.43,63.72,63.23,63.67,4446923
2016-03-28,63.66,63.98,63.5,63.81,3005851
2016-03-29,63.78,64.15,63.42,64.0,3011407
2016-03-30,64.25,64.42,63.78,63.84,3617370
2016-03-31,63.93,63.95,63.58,63.73,3219947
2016-04-01,63.38,64.35,62.99,64.25,3001503
2016-04-04,63.78,63.78,62.88,62.98,4331271
2016-04-05,62.58,62.78,62.38,62.66,3072780
2016-04-06,62.54,63.08,62.37,63.04,3825963
2016-04-07,62.48,62.81,62.11,62.67,3746774
2016-04-08,62.98,63.29,62.47,62.61,2253946
2016-04-11,62.63,62.9,62.25,62.26,2818667
2016-04-12,62.43,62.97,62.3,62.8,2253726
2016-04-13,63.04,63.4,62.87,63.32,2656524
2016-04-14,63.57,63.7,63.17,63.18,2548327
2016-04-15,63.25,63.4,63.01,63.23,2187234
2016-04-18,63.27,63.56,63.16,63.39,2720733
2016-04-19,63.61,63.78,63.46,63.71,2993297
2016-04-20,63.6,63.99,63.3,63.77,3990988
2016-04-21,64.2,65.48,63.79,64.49,5566753
2016-04-22,64.16,64.96,64.15,64.78,3656497
2016-04-25,64.64,64.88,64.37,64.8,3173606
2016-04-26,64.72,64.91,64.45,64.74,2785107
2016-04-27,64.83,65.38,64.59,65.29,3938046
2016-04-28,64.9,65.52,64.6,64.73,3564991
2016-04-29,64.41,65.17,64.36,65.0,4273615
2016-05-02,64.98,65.56,64.76,65.43,3377313
2016-05-03,64.98,65.23,64.76,65.09,3124040
2016-05-04,64.29,64.91,64.1,64.43,4281231
2016-05-05,64.74,64.86,64.35,64.57,3193460
2016-05-06,64.54,65.29,64.35,65.24,3251581
2016-05-09,65.17,65.42,64.89,65.21,2017621
2016-05-10,65.5,66.07,65.3,66.05,2823046
2016-05-11,66.03,66.36,65.69,65.78,2841382
2016-05-12,65.86,66.08,65.42,65.92,2778143
