date,open,high,low,close,volume
2015-10-22,57.2,57.63,56.77,57.2,1748300
2015-10-23,57.84,57.84,56.5,56.9,1817900
2015-10-26,56.96,56.99,55.63,55.63,1404600
2015-10-27,55.29,55.57,54.54,54.96,1624000
2015-10-28,55.22,56.93,54.8,56.92,1669000
2015-10-29,56.78,57.22,56.3,57.12,1048500
2015-10-30,57.15,57.39,55.82,55.89,2343700
2015-11-02,55.62,56.28,55.3,55.73,914400
2015-11-03,55.76,56.17,55.25,55.96,1527700
2015-11-04,56.32,56.35,54.3,54.75,2013900
2015-11-05,54.14,54.48,52.75,52.88,2271800
2015-11-06,52.5,52.57,50.55,51.74,2858000
2015-11-09,51.74,52.13,50.15,50.44,1485400
2015-11-10,50.02,50.64,49.49,50.09,1695100
2015-11-11,50.0,50.18,49.17,50.07,1619300
2015-11-12,49.18,49.34,48.54,48.68,3624900
2015-11-13,48.6,49.1,47.99,48.24,1904200
2015-11-16,48.24,49.45,48.24,49.44,1305100
2015-11-17,49.38,50.09,48.85,49.63,1571300
2015-11-18,49.76,50.66,49.55,50.28,1995200
2015-11-19,50.28,50.28,49.49,49.61,1954500
2015-11-20,49.82,49.83,48.36,48.52,3070800
2015-11-23,48.16,49.49,48.16,48.46,2701000
2015-11-24,48.4,49.23,48.37,48.71,2259200
2015-11-25,48.72,48.97,47.91,48.09,3121700
2015-11-26,48.57,48.58,47.01,47.01,832600
2015-11-27,47.01,47.73,46.55,46.55,1943700
2015-11-30,47.03,47.58,46.62,47.43,3712500
2015-12-01,47.42,48.3,47.22,48.26,2822000
2015-12-02,48.0,48.43,46.96,47.24,2260900
2015-12-03,47.67,47.9,45.71,45.82,2923800
2015-12-04,45.54,45.68,44.56,45.1,2345400
2015-12-07,44.59,44.59,41.41,41.92,4965900
2015-12-08,41.28,42.43,41.01,41.86,5153900
2015-12-09,42.51,43.97,42.24,43.13,3297000
2015-12-10,43.09,44.05,42.67,43.47,2204500
2015-12-11,43.01,43.13,41.33,41.52,2093400
2015-12-14,41.11,41.55,40.17,41.09,2919400
2015-12-15,41.83,42.84,41.75,42.53,2628300
2015-12-16,42.57,44.2,42.45,44.01,2516700
2015-12-17,44.5,44.5,43.69,43.9,5585400
2015-12-18,44.05,44.55,43.65,43.78,6435500
2015-12-21,44.0,44.0,43.09,43.57,2036700
2015-12-22,43.55,44.77,43.44,44.58,1701100
2015-12-23,45.05,46.45,44.93,46.41,1962800
2015-12-24,46.77,46.94,46.22,46.42,1006400
2015-12-29,46.88,47.1,45.82,46.09,1072000
2015-12-30,45.71,46.31,45.05,45.58,1160400
2015-12-31,45.05,46.0,45.02,46.0,1256900
2016-01-04,45.32,45.94,44.84,45.88,1697900
2016-01-05,45.44,46.08,45.17,46.0,1715900
2016-01-06,45.15,45.42,44.32,44.58,2254600
2016-01-07,43.53,44.71,43.33,43.7,2255300
2016-01-08,43.79,45.47,43.74,44.89,2107100
2016-01-11,44.99,45.07,43.78,44.33,1675900
2016-01-12,44.62,45.35,43.46,44.53,2159200
2016-01-13,45.04,45.35,42.16,42.82,2217800
2016-01-14,43.09,44.89,43.0,44.78,3294700
2016-01-15,42.72,44.42,42.3,44.04,3773000
2016-01-18,43.51,44.0,43.32,43.54,508100
2016-01-19,44.13,44.51,43.0,44.07,3463000
2016-01-20,42.83,43.35,40.03,41.23,4906500
2016-01-21,41.53,44.73,41.17,44.66,3001800
2016-01-22,46.18,47.46,45.25,47.42,2541500
2016-01-25,46.93,47.78,44.95,44.98,2134400
2016-01-26,45.6,46.28,44.48,45.87,2987200
2016-01-27,45.78,46.58,44.31,45.39,2985600
2016-01-28,46.75,47.23,45.66,46.45,2885000
2016-01-29,47.19,48.66,46.63,48.66,2870200
2016-02-01,47.51,47.51,46.35,46.97,1596100
2016-02-02,45.66,46.41,45.19,46.11,1360700
2016-02-03,47.1,48.05,45.57,47.87,1725000
2016-02-04,47.62,48.52,47.13,47.64,1642300
2016-02-05,47.58,47.58,46.61,47.16,1301800
2016-02-08,46.68,46.68,45.16,46.42,1837700
2016-02-09,45.47,45.81,43.97,44.77,2221100
2016-02-10,44.89,44.96,43.92,44.0,2137600
2016-02-11,43.0,43.77,42.31,42.98,2980000
2016-02-12,43.0,45.26,43.0,44.13,2156900
2016-02-16,45.26,45.38,43.61,45.27,2669200
2016-02-17,45.99,46.2,44.88,45.51,2445600
2016-02-18,46.2,46.2,43.72,44.05,2591800
2016-02-19,44.11,44.16,42.36,43.14,3027600
2016-02-22,44.24,44.85,43.63,43.68,3157100
2016-02-23,43.81,43.81,42.51,42.77,1966800
2016-02-24,43.81,43.81,41.01,43.16,2547900
2016-02-25,42.0,45.67,41.65,45.6,14729300
2016-02-26,46.02,47.83,46.02,46.98,4766400
2016-02-29,46.99,47.96,46.92,47.79,5133000
2016-03-01,47.0,48.37,46.98,47.03,2723500
2016-03-02,47.06,47.24,46.02,46.75,2359400
2016-03-03,46.98,47.65,46.4,47.32,2379400
2016-03-04,47.77,49.05,47.39,48.91,2805800
2016-03-07,48.95,50.07,48.87,50.0,3632300
2016-03-08,49.9,50.56,49.8,49.87,3499300
2016-03-09,50.3,50.76,50.07,50.59,2867200
2016-03-10,50.69,51.08,50.15,50.87,2961400
2016-03-11,51.16,51.31,50.28,51.23,2337500
2016-03-14,50.51,50.82,49.85,50.01,2690900
2016-03-15,49.85,50.23,48.88,50.03,1975700
2016-03-16,50.48,50.84,49.91,50.31,1781600
2016-03-17,50.74,51.21,50.53,50.75,1661900
2016-03-18,50.5,50.75,48.79,49.67,14085600
2016-03-21,49.5,49.86,48.59,49.55,1782400
2016-03-22,49.54,50.07,49.28,49.58,1498100
2016-03-23,50.27,50.27,48.86,49.28,1929400
2016-03-24,48.79,50.0,48.6,49.57,1380500
2016-03-28,49.71,49.91,49.0,49.86,987700
2016-03-29,49.45,49.45,48.72,49.1,1840700
2016-03-30,49.56,50.6,49.48,50.09,1593200
2016-03-31,50.0,50.81,50.0,50.56,2350700
2016-04-01,50.01,50.18,49.21,49.32,1367200
2016-04-04,49.64,49.98,49.26,49.52,1312800
2016-04-05,49.38,49.6,48.73,48.73,1327000
2016-04-06,49.01,49.7,48.92,49.53,1670100
2016-04-07,49.32,49.73,49.1,49.54,891500
2016-04-08,50.2,50.71,50.03,50.68,1689000
2016-04-11,50.75,51.19,50.42,50.42,1362200
2016-04-12,50.0,51.96,49.99,51.33,2263800
2016-04-13,51.67,52.04,51.26,52.03,1339500
2016-04-14,52.08,52.24,51.58,52.14,1117200
2016-04-15,51.6,52.02,51.57,52.0,1326900
2016-04-18,51.14,52.98,51.14,52.97,2433500
2016-04-19,53.0,53.59,52.57,53.56,1436300
2016-04-20,53.7,54.06,53.28,53.53,1247600
2016-04-21,53.41,53.96,53.27,53.69,1411100
2016-04-22,53.57,53.95,53.34,53.84,1271500
2016-04-25,53.8,54.01,52.86,53.05,1192700
2016-04-26,53.3,53.72,52.37,52.49,2277300
2016-04-27,52.81,53.17,52.43,52.9,1699600
2016-04-28,52.58,53.3,52.21,52.52,1421000
2016-04-29,52.13,52.76,52.04,52.12,1642600
2016-05-02,52.0,52.09,51.53,51.76,1768000
2016-05-03,51.59,51.77,51.04,51.35,1785400
2016-05-04,51.5,51.99,50.31,50.95,1416200
2016-05-05,51.51,51.56,50.21,50.32,1271000
2016-05-06,50.18,51.0,49.92,50.69,1155400
2016-05-09,50.77,50.87,49.87,49.93,911900
2016-05-10,50.54,52.01,50.29,51.66,1588900
2016-05-11,51.7,51.7,50.75,51.25,978900
2016-05-12,52.0,52.17,51.25,51.69,1455800
2016-05-13,51.5,52.64,51.5,51.7,914500
2016-05-16,52.05,52.67,52.05,52.14,1280700
2016-05-17,52.09,53.52,52.09,52.77,1597800
2016-05-18,52.71,53.19,51.99,52.37,1249400
2016-05-19,51.94,52.1,51.17,52.1,4936600
2016-05-20,52.23,52.99,52.19,52.86,1309700
2016-05-24,53.05,53.45,52.4,53.1,1798400
2016-05-25,53.21,53.55,52.82,53.27,1404500
2016-05-26,53.58,53.58,52.57,52.69,1124200
2016-05-27,52.73,53.06,52.15,52.78,1152300
2016-05-30,52.92,52.97,51.85,52.16,630900
2016-05-31,52.35,52.94,51.96,52.28,3060700
2016-06-01,52.09,52.64,51.76,52.48,1169000
2016-06-02,52.33,53.07,52.26,52.96,793000
2016-06-03,52.94,53.34,52.64,53.13,743800
2016-06-06,53.25,53.95,53.12,53.79,1091600
2016-06-07,54.0,55.05,53.95,54.49,1507800
2016-06-08,54.98,55.0,53.75,54.02,1367900
2016-06-09,53.64,54.1,53.5,53.93,806000
2016-06-10,53.5,53.95,53.15,53.47,939300
2016-06-13,53.16,54.29,53.09,54.21,1144700
2016-06-14,54.12,54.51,52.93,53.39,1199800
2016-06-15,53.0,53.65,52.91,53.28,1161200
2016-06-16,52.95,53.01,52.43,52.65,1282100
2016-06-17,52.62,53.13,52.37,52.69,6266500
2016-06-20,53.37,54.09,53.06,53.79,1462000
2016-06-21,53.46,54.45,53.46,54.22,1098000
2016-06-22,54.35,54.8,54.06,54.37,1217700
2016-06-23,54.75,54.99,54.62,54.92,961000
2016-06-24,52.9,54.72,52.51,53.99,1490400
2016-06-27,53.4,53.77,52.85,53.67,1353700
2016-06-28,53.81,54.36,53.42,53.99,1055900
2016-06-29,54.42,54.83,54.31,54.62,1231900
2016-06-30,54.66,54.97,54.12,54.73,1961000
2016-07-04,54.95,55.9,54.68,55.5,901100
2016-07-05,55.34,55.9,54.45,54.84,1337300
2016-07-06,54.73,54.99,54.06,54.69,1225900
2016-07-07,55.01,55.23,53.53,53.81,1799200
2016-07-08,54.16,54.53,53.81,53.86,1218100
2016-07-11,53.83,54.74,53.83,54.57,1994100
2016-07-12,55.0,55.49,54.67,55.48,1380900
2016-07-13,55.35,55.6,54.38,54.62,1375300
