date,open,high,low,close,volume
2015-10-22,102.0,109.42,100.4,107.6,24746600
2015-10-23,108.46,109.65,105.5,107.99,15001300
2015-10-26,108.65,110.36,107.44,108.63,10906500
2015-10-27,109.39,111.11,108.69,110.96,15787028
2015-10-28,109.0,109.21,105.94,108.13,17795612
2015-10-29,108.18,110.77,107.69,109.21,10783338
2015-10-30,109.52,109.86,108.08,108.13,8545033
2015-11-02,108.76,109.95,108.32,109.6,8362022
2015-11-03,109.4,109.54,108.32,109.1,7458627
2015-11-04,109.6,109.73,107.3,108.98,8081800
2015-11-05,108.33,108.39,106.05,107.83,10182143
2015-11-06,107.0,108.34,106.36,108.34,8565900
2015-11-09,108.0,108.53,107.08,108.11,8142227
2015-11-10,108.1,109.37,107.94,108.85,8571300
2015-11-11,108.91,109.23,107.03,107.19,6056800
2015-11-12,106.94,107.1,104.16,104.23,8010900
2015-11-13,104.09,104.18,102.12,102.57,10848400
2015-11-16,102.9,104.0,101.64,103.81,7344204
2015-11-17,104.45,104.89,103.5,104.53,6921843
2015-11-18,104.49,108.22,104.45,108.13,8246800
2015-11-19,108.0,108.05,106.21,106.51,7019600
2015-11-20,107.34,107.97,106.42,106.54,7113228
2015-11-23,106.7,107.65,105.93,106.36,5481700
2015-11-24,105.75,106.8,105.5,106.57,6547140
2015-11-25,106.57,108.07,106.31,107.78,5720514
2015-11-27,108.14,108.63,107.62,108.0,2749200
2015-11-30,108.21,108.31,105.69,105.96,9837828
2015-12-01,106.35,107.38,104.65,105.85,10659529
2015-12-02,105.0,105.57,104.3,104.44,8850500
2015-12-03,104.32,104.59,100.5,101.38,13772400
2015-12-04,101.44,104.16,101.25,104.07,8738300
2015-12-07,104.11,104.15,102.25,102.91,5956100
2015-12-08,102.07,104.07,101.73,103.53,6675600
2015-12-09,103.25,104.33,101.5,101.95,7534900
2015-12-10,102.45,103.06,101.56,102.62,7653300
2015-12-11,101.35,102.47,99.67,100.03,9518903
2015-12-14,99.97,100.93,98.66,100.49,10309033
