date,open,high,low,close,volume
2015-10-22,32.34,32.89,32.2,32.59,81420000
2015-10-23,36.38,36.5,35.08,35.1,133078459
2015-10-26,35.08,35.96,35.06,35.64,54332300
2015-10-27,35.37,35.68,35.23,35.42,44916000
2015-10-28,35.37,35.65,35.15,35.65,43578340
2015-10-29,35.53,35.91,35.5,35.85,29120000
2015-10-30,35.79,35.9,35.5,35.54,38176000
2015-11-02,35.55,36.08,35.29,36.06,37726000
2015-11-03,35.94,36.23,35.74,36.11,31308000
2015-11-04,36.1,36.66,36.1,36.41,34134000
2015-11-05,36.47,36.97,36.47,36.56,37232000
2015-11-06,36.58,36.77,36.35,36.69,30232000
2015-11-09,36.51,36.74,35.97,36.24,41396140
2015-11-10,36.22,36.53,35.93,36.42,32160000
2015-11-11,36.62,37.05,36.51,36.77,27339900
2015-11-12,36.55,36.89,36.43,36.56,36744000
2015-11-13,36.46,36.56,35.84,35.85,41510080
2015-11-16,35.78,36.47,35.57,36.45,38118000
2015-11-17,36.46,36.59,36.15,36.27,30218060
2015-11-18,36.38,37.07,36.35,37.0,33686000
2015-11-19,36.94,37.1,36.87,36.92,26557580
2015-11-20,37.33,37.9,37.15,37.83,44265680
2015-11-23,37.87,38.14,37.59,37.8,28307700
2015-11-24,37.6,37.76,36.88,37.41,46683940
2015-11-25,37.41,37.6,37.3,37.41,22444480
2015-11-27,37.42,37.67,37.37,37.51,16770560
2015-11-30,37.44,37.75,37.06,37.13,41952480
2015-12-01,37.36,38.45,37.34,38.35,42692420
2015-12-02,38.45,38.8,37.95,38.12,44608000
2015-12-03,38.3,38.45,37.28,37.63,51812820
2015-12-04,37.66,38.42,37.5,38.34,55146000
2015-12-07,38.39,38.44,37.75,38.16,36246280
2015-12-08,37.89,38.24,37.71,38.12,36590000
2015-12-09,37.96,38.21,36.85,37.58,54000000
2015-12-10,37.64,37.79,37.19,37.47,39768000
2015-12-11,37.06,37.29,36.84,36.94,44488200
2015-12-14,37.09,37.44,36.21,37.39,48424720
2015-12-15,37.65,37.9,37.15,37.17,53324580
2015-12-16,37.5,38.03,36.97,37.9,39866000
2015-12-17,38.12,38.13,37.45,37.47,31068360
2015-12-18,37.33,37.71,36.91,36.97,62974859
2015-12-21,37.31,37.5,37.0,37.39,30514060
2015-12-22,37.58,37.74,37.28,37.5,27310400
2015-12-23,37.67,37.71,37.2,37.52,31334520
2015-12-24,37.48,37.57,37.33,37.42,10544460
2015-12-28,37.65,38.15,37.48,38.13,30314320
2015-12-29,38.33,39.0,38.32,38.83,35300240
2015-12-30,38.83,38.88,38.35,38.55,25870420
2015-12-31,38.48,38.48,37.92,37.94,30018460
2016-01-04,37.15,37.2,36.56,37.09,65456000
2016-01-05,37.32,37.6,36.93,37.13,39014000
2016-01-06,36.5,37.36,36.45,37.18,38940680
2016-01-07,36.52,36.92,35.95,36.32,59274819
2016-01-08,36.57,36.66,35.65,35.72,49018000
2016-01-11,35.83,35.94,35.18,35.8,41812420
2016-01-12,36.08,36.44,35.87,36.3,40490180
2016-01-13,36.54,36.74,34.93,35.03,50034600
2016-01-14,35.27,36.1,34.46,35.74,44516000
2016-01-15,34.61,35.34,34.27,34.72,72162180
2016-01-19,35.17,35.5,34.67,35.09,45362000
2016-01-20,34.43,35.34,33.66,34.92,68900000
2016-01-21,35.11,35.96,34.72,35.33,48244220
2016-01-22,36.18,36.41,36.01,36.26,40236000
2016-01-25,36.18,36.48,35.5,35.58,34234320
2016-01-26,35.69,35.91,35.32,35.65,26634000
2016-01-27,35.68,35.91,34.72,35.0,43884540
2016-01-28,36.11,36.68,35.62,36.55,53528000
2016-01-29,36.58,37.25,36.34,37.15,69486380
2016-02-01,37.52,37.89,37.16,37.6,102784000
2016-02-02,39.23,39.49,38.23,38.23,126962519
2016-02-03,38.51,38.73,36.03,36.35,123420379
2016-02-04,36.14,36.35,35.09,35.4,103374180
2016-02-05,35.19,35.2,34.01,34.18,102114500
2016-02-08,33.39,34.2,33.15,34.14,84948000
2016-02-09,33.62,34.99,33.44,33.91,72178280
2016-02-10,34.34,35.07,34.11,34.21,52760140
2016-02-11,33.75,34.47,33.44,34.16,60480859
2016-02-12,34.51,34.69,33.93,34.12,42828000
2016-02-16,34.65,34.9,34.25,34.55,50400420
2016-02-17,34.95,35.49,34.57,35.42,49852680
2016-02-18,35.5,35.62,34.8,34.87,37664960
2016-02-19,34.75,35.15,34.7,35.05,31786000
2016-02-22,35.37,35.66,35.13,35.32,38996320
2016-02-23,35.07,35.42,34.68,34.79,40186000
2016-02-24,34.45,35.0,34.04,34.98,39272000
2016-02-25,35.0,35.3,34.53,35.29,32844000
2016-02-26,35.43,35.67,35.04,35.25,44870440
2016-02-29,35.02,35.54,34.88,34.89,49622900
2016-03-01,35.18,35.94,34.99,35.94,43028380
2016-03-02,35.95,36.0,35.6,35.94,32580060
2016-03-03,35.93,35.97,35.3,35.62,39160000
2016-03-04,35.75,35.82,35.3,35.54,39442000
2016-03-07,35.35,35.4,34.35,34.76,59760519
2016-03-08,34.43,35.19,34.27,34.7,41526620
2016-03-09,34.92,35.28,34.7,35.26,28430300
2016-03-10,35.41,35.82,35.17,35.64,56670499
2016-03-11,36.0,36.35,35.86,36.34,39416300
2016-03-14,36.34,36.78,36.26,36.52,34366000
2016-03-15,36.35,36.61,36.24,36.42,34420000
2016-03-16,36.32,36.87,36.23,36.8,32488000
2016-03-17,36.82,37.15,36.8,36.89,37216680
2016-03-18,37.09,37.1,36.59,36.88,59614179
2016-03-21,36.83,37.13,36.68,37.1,36730060
2016-03-22,36.87,37.25,36.87,37.04,25394980
2016-03-23,37.12,37.29,36.81,36.9,28642000
2016-03-24,36.6,36.89,36.55,36.77,31898000
2016-03-28,36.84,36.95,36.63,36.68,26026540
2016-03-29,36.73,37.36,36.44,37.24,38076000
2016-03-30,37.51,37.89,37.44,37.53,35648540
2016-03-31,37.46,37.54,37.05,37.25,34376000
2016-04-01,36.93,37.52,36.85,37.5,31534900
2016-04-04,37.5,37.64,37.12,37.26,22687800
2016-04-05,36.9,37.14,36.77,36.89,22646000
2016-04-06,36.79,37.31,36.78,37.28,21074260
2016-04-07,37.27,37.35,36.81,37.01,29064000
2016-04-08,37.2,37.27,36.78,36.96,25816000
2016-04-11,37.15,37.25,36.8,36.81,24402000
2016-04-12,36.9,37.19,36.55,37.15,27060000
2016-04-13,37.46,37.72,37.21,37.59,34152820
2016-04-14,37.7,37.87,37.64,37.66,22706000
2016-04-15,37.7,38.05,37.63,37.95,36186640
2016-04-18,38.02,38.4,37.87,38.33,31176960
2016-04-19,38.48,38.49,37.47,37.7,40610520
2016-04-20,37.9,37.91,37.5,37.63,30584340
2016-04-21,37.77,38.02,37.48,37.96,61210000
2016-04-22,36.32,36.81,35.68,35.94,119038759
2016-04-25,35.81,36.2,35.78,36.16,39184000
2016-04-26,36.27,36.29,35.15,35.41,54892000
2016-04-27,35.36,35.45,34.62,35.29,61972000
2016-04-28,35.41,35.71,34.48,34.55,57346000
2016-04-29,34.53,34.88,34.45,34.65,49754000
2016-05-02,34.88,35.03,34.55,34.91,32906000
2016-05-03,34.84,34.89,34.6,34.62,30876000
2016-05-04,34.52,34.99,34.45,34.78,33870500
2016-05-05,34.89,35.12,34.79,35.07,33670140
2016-05-06,34.92,35.59,34.91,35.56,36586000
2016-05-09,35.6,35.94,35.5,35.65,30206000
2016-05-10,35.84,36.17,35.79,36.16,31392000
2016-05-11,36.17,36.22,35.64,35.76,33842000
2016-05-12,35.85,35.96,35.45,35.67,27226640
2016-05-13,35.6,35.83,35.46,35.54,26290000
2016-05-16,35.46,35.92,35.28,35.82,26342000
2016-05-17,35.8,36.08,35.21,35.31,40024500
2016-05-18,35.18,35.58,35.03,35.33,35336720
2016-05-19,35.12,35.3,34.84,35.02,33404680
2016-05-20,35.08,35.73,35.03,35.49,36568000
2016-05-23,35.33,35.57,35.21,35.21,26614000
2016-05-24,35.34,36.05,35.34,36.0,38590000
2016-05-25,36.04,36.38,35.99,36.26,32651280
2016-05-26,36.14,36.42,36.01,36.21,31526000
2016-05-27,36.2,36.7,36.2,36.63,39500000
2016-05-31,36.59,36.99,36.56,36.79,42590900
2016-06-01,36.73,36.86,36.53,36.71,25072000
2016-06-02,36.63,36.65,36.21,36.52,26836140
2016-06-03,36.46,36.47,36.03,36.12,24526000
2016-06-06,36.25,36.25,35.73,35.83,31321180
2016-06-07,35.99,36.1,35.83,35.83,26735080
2016-06-08,36.2,36.43,36.03,36.41,31674020
2016-06-09,36.14,36.48,36.12,36.43,19778280
2016-06-10,35.97,36.29,35.82,35.97,24328860
2016-06-13,35.83,36.27,35.83,35.92,25178600
2016-06-14,35.82,36.12,35.66,35.91,26122000
2016-06-15,35.95,36.15,35.87,35.95,24290340
2016-06-16,35.75,35.83,35.16,35.52,39650000
2016-06-17,35.43,35.44,34.42,34.59,68048000
2016-06-20,34.94,35.12,34.67,34.69,41650760
2016-06-21,34.92,35.14,34.6,34.8,29312680
2016-06-22,34.95,35.04,34.65,34.87,23686360
2016-06-23,34.87,35.1,34.35,35.09,43428300
2016-06-24,33.76,34.47,33.67,33.76,88980440
2016-06-27,33.55,33.62,33.16,33.41,52821700
2016-06-28,33.95,34.02,33.65,34.0,43476000
2016-06-29,34.15,34.37,34.07,34.21,38652000
2016-06-30,34.27,34.62,34.18,34.6,31954280
2016-07-01,34.61,35.03,34.61,34.96,26894200
2016-07-05,34.8,34.85,34.44,34.72,29252320
2016-07-06,34.5,35.08,34.45,34.89,28238500
2016-07-07,34.9,34.91,34.41,34.77,26084000
2016-07-08,34.98,35.29,34.82,35.28,31504000
2016-07-11,35.4,35.83,35.36,35.75,22236000
2016-07-12,35.96,36.15,35.8,36.03,26738420
2016-07-13,36.18,36.2,35.84,35.85,18718000
2016-07-14,36.08,36.11,35.9,36.05,19004000
2016-07-15,36.29,36.29,35.95,35.99,25586780
2016-07-18,36.14,36.81,36.06,36.69,25910000
2016-07-19,36.49,36.85,36.45,36.85,24550000
2016-07-20,36.87,37.11,36.85,37.06,25794000
2016-07-21,37.02,37.08,36.79,36.93,20526120
2016-07-22,37.09,37.16,36.83,37.14,25196460
2016-07-25,37.03,37.13,36.88,36.99,20648640
2016-07-26,36.95,37.08,36.71,36.92,23734760
2016-07-27,36.91,37.22,36.85,37.09,30250340
2016-07-28,37.35,37.43,36.97,37.3,70604000
2016-07-29,38.64,38.93,38.34,38.44,76830000
2016-08-01,38.05,39.02,38.05,38.64,54010000
2016-08-02,38.43,38.79,38.39,38.55,35690500
2016-08-03,38.36,38.66,38.34,38.66,25748420
2016-08-04,38.61,38.7,38.44,38.58,22806000
2016-08-05,38.69,39.15,38.62,39.11,36024100
2016-08-08,39.1,39.13,38.9,39.09,22158000
2016-08-09,39.06,39.45,39.03,39.21,26378000
2016-08-10,39.19,39.34,39.14,39.23,15728000
2016-08-11,39.25,39.49,39.15,39.24,19502260
2016-08-12,39.08,39.17,39.02,39.16,14810000
2016-08-15,39.19,39.37,39.01,39.12,18764000
2016-08-16,39.02,39.05,38.67,38.86,20560940
2016-08-17,38.87,39.04,38.68,39.0,18484520
2016-08-18,39.0,39.14,38.85,38.88,14388580
2016-08-19,38.75,38.85,38.66,38.77,17230920
2016-08-22,38.66,38.73,38.5,38.61,19028000
2016-08-23,38.77,38.82,38.59,38.6,18564640
2016-08-24,38.53,38.73,38.35,38.48,21440000
2016-08-25,38.35,38.59,38.16,38.47,18538000
2016-08-26,38.45,38.8,38.29,38.48,23334000
