date,open,high,low,close,volume
2015-10-22,41.36,41.56,41.06,41.44,3173800
2015-10-23,41.89,42.28,41.85,42.11,3208721
2015-10-26,42.17,42.41,41.96,42.07,2760017
2015-10-27,41.9,42.18,41.65,41.75,3712913
2015-10-28,43.28,43.68,43.04,43.53,7926800
2015-10-29,42.87,43.0,42.63,42.79,8541924
2015-10-30,43.19,43.48,42.96,43.06,5633600
2015-11-02,43.06,43.28,42.97,43.11,3027911
2015-11-03,42.57,42.79,42.31,42.5,6825530
2015-11-04,43.07,43.15,42.43,42.6,4463400
2015-11-05,42.53,42.53,42.05,42.28,2574840
2015-11-06,41.96,42.03,41.54,41.92,5331106
2015-11-09,41.6,41.67,41.28,41.54,3592100
2015-11-10,40.84,41.05,40.59,40.96,3107200
2015-11-11,41.25,41.34,40.97,40.97,2295044
2015-11-12,40.63,40.72,40.05,40.05,3281800
2015-11-13,39.67,40.0,39.62,39.87,2902500
2015-11-16,39.85,40.26,39.78,40.23,2938543
2015-11-17,40.63,40.96,40.54,40.63,3016200
2015-11-18,40.8,41.03,40.69,41.0,3316824
2015-11-19,41.39,41.42,41.08,41.19,2940200
2015-11-20,41.48,41.6,41.11,41.12,2654401
2015-11-23,40.8,41.0,40.34,40.41,2953900
2015-11-24,40.04,40.44,40.01,40.39,3899608
2015-11-25,40.84,40.88,40.62,40.7,2932102
2015-11-27,41.03,41.16,40.94,40.96,1559900
2015-11-30,40.88,40.96,40.49,40.51,2955700
2015-12-01,40.71,40.94,40.51,40.92,3235427
2015-12-02,41.29,41.46,40.81,40.92,2722600
2015-12-03,40.81,40.85,39.84,40.0,3042403
2015-12-04,40.09,40.31,39.8,40.27,3162226
2015-12-07,40.21,40.23,39.77,40.0,2521300
2015-12-08,39.38,39.7,39.27,39.5,3079748
2015-12-09,40.03,40.26,39.47,39.61,3069489
2015-12-10,40.04,40.12,39.79,39.92,2938700
2015-12-11,39.77,39.8,39.26,39.31,2878200
2015-12-14,39.25,39.28,38.65,39.1,3859400
2015-12-15,39.28,39.59,39.27,39.34,3215102
2015-12-16,39.96,40.28,39.58,40.24,3226500
2015-12-17,40.46,40.47,39.8,39.83,3435035
2015-12-18,39.77,39.85,39.43,39.43,3021700
2015-12-21,40.3,40.32,39.56,39.82,2843927
2015-12-22,39.74,39.96,39.6,39.9,4009040
2015-12-23,40.4,41.06,40.4,40.96,3626730
2015-12-24,40.91,41.1,40.9,40.93,916612
2015-12-28,40.76,41.05,40.75,40.92,2106700
2015-12-29,41.03,41.33,41.0,41.19,2165916
2015-12-30,40.97,41.27,40.92,41.04,2087023
2015-12-31,40.8,40.89,40.34,40.35,2048232
2016-01-04,40.25,40.47,39.85,40.45,4051600
2016-01-05,40.26,40.76,40.24,40.68,3138800
2016-01-06,40.2,40.47,40.03,40.24,2708847
2016-01-07,39.25,39.56,38.93,39.01,4635423
2016-01-08,40.11,40.27,39.38,39.42,5258300
2016-01-11,39.73,39.83,38.87,39.29,4618644
2016-01-12,39.45,39.56,38.94,39.45,3554910
2016-01-13,40.07,40.22,39.12,39.16,3522600
2016-01-14,39.6,40.42,39.4,40.28,3924200
2016-01-15,38.88,39.33,38.6,38.9,5671321
2016-01-19,39.86,39.88,38.92,39.28,4574346
2016-01-20,38.92,39.21,37.97,38.95,4855560
2016-01-21,38.79,39.32,38.4,39.04,3971400
2016-01-22,39.78,40.1,39.73,40.03,3099772
2016-01-25,40.14,40.24,39.64,39.68,2878165
2016-01-26,40.48,40.86,40.09,40.83,4602649
2016-01-27,41.05,41.14,40.35,40.6,3608008
2016-01-28,40.53,40.89,39.94,40.64,5344813
2016-01-29,40.53,41.31,40.41,41.29,4139300
2016-02-01,40.74,41.55,40.65,41.38,2985940
2016-02-02,41.13,41.18,40.68,40.9,3345200
2016-02-03,42.28,42.3,41.55,42.05,6393807
2016-02-04,41.35,41.64,40.61,40.98,6326600
2016-02-05,40.93,40.95,40.46,40.76,3431421
2016-02-08,39.93,39.99,38.91,39.47,7857500
2016-02-09,39.09,39.63,39.05,39.34,6811911
2016-02-10,39.31,39.65,39.05,39.13,5805400
2016-02-11,39.39,39.53,38.8,39.15,5879724
2016-02-12,38.95,39.77,38.91,39.76,3815847
2016-02-16,40.32,40.64,40.05,40.46,4126300
2016-02-17,39.26,39.52,39.21,39.4,5423600
2016-02-18,39.34,39.74,39.24,39.37,5243724
2016-02-19,39.35,39.83,39.15,39.76,4054725
2016-02-22,39.36,39.61,39.27,39.36,2856037
2016-02-23,38.94,39.12,38.59,38.64,3184900
2016-02-24,37.96,38.61,37.82,38.54,3720938
2016-02-25,39.07,39.51,38.95,39.5,3598100
2016-02-26,39.32,39.42,39.07,39.14,2999332
2016-02-29,38.93,39.1,38.59,38.67,2902774
2016-03-01,39.35,39.67,39.16,39.66,3415225
2016-03-02,39.06,39.43,38.96,39.4,2819600
2016-03-03,38.64,39.24,38.63,39.18,4181627
2016-03-04,38.86,39.35,38.83,39.14,4579920
2016-03-07,38.72,39.55,38.65,39.32,4482200
2016-03-08,39.41,39.88,39.31,39.71,3980600
2016-03-09,39.9,40.09,39.83,39.98,2861347
2016-03-10,40.07,40.3,39.5,39.7,3383400
2016-03-11,40.0,40.42,39.94,40.35,2648300
2016-03-14,40.4,40.55,40.23,40.42,2378406
2016-03-15,40.25,40.26,39.88,40.01,2895244
2016-03-16,39.63,40.18,39.58,40.05,2566700
2016-03-17,40.21,40.84,40.0,40.74,3708400
2016-03-18,40.07,40.3,39.96,40.08,4713236
2016-03-21,39.86,40.15,39.83,39.97,2949913
2016-03-22,39.3,39.9,39.28,39.8,3775509
2016-03-23,39.65,39.71,39.3,39.37,4748916
2016-03-24,39.32,39.6,39.25,39.56,2662702
2016-03-28,39.64,39.76,39.48,39.55,1321129
2016-03-29,39.63,40.28,39.42,40.24,2276200
2016-03-30,40.59,40.89,40.58,40.7,2546146
2016-03-31,40.5,40.88,40.46,40.55,2865101
2016-04-01,39.79,40.41,39.76,40.34,4958100
2016-04-04,40.79,41.04,40.68,40.97,3826300
2016-04-05,40.48,40.61,40.22,40.36,4053700
2016-04-06,40.71,41.72,40.71,41.68,4690500
2016-04-07,41.29,41.83,41.27,41.53,4033600
2016-04-08,41.6,41.68,41.36,41.55,3062200
2016-04-11,41.96,41.99,41.62,41.64,2964544
2016-04-12,41.98,42.34,41.66,42.28,3983200
2016-04-13,42.35,42.57,42.15,42.52,4875200
2016-04-14,42.56,42.78,42.36,42.64,4377900
2016-04-15,42.89,43.02,42.71,42.88,4050738
2016-04-18,42.77,43.24,42.77,43.16,2531594
2016-04-19,43.2,43.39,43.12,43.29,2842802
2016-04-20,42.79,43.28,42.76,43.02,2866900
2016-04-21,42.94,43.31,42.92,43.15,3177900
2016-04-22,43.0,43.13,42.72,43.07,2450720
2016-04-25,43.0,43.09,42.86,42.97,1709106
2016-04-26,42.66,42.8,42.54,42.71,3032100
2016-04-27,43.63,43.71,43.23,43.47,4385700
2016-04-28,43.45,43.66,43.18,43.36,3403100
2016-04-29,43.21,43.33,42.68,42.91,3023649
2016-05-02,43.08,43.32,43.0,43.29,2559309
2016-05-03,43.28,43.46,43.0,43.14,4350501
2016-05-04,42.26,42.45,42.17,42.35,3360813
2016-05-05,42.21,42.54,42.14,42.42,3387600
2016-05-06,42.11,42.24,41.81,42.13,2646900
2016-05-09,42.28,42.68,42.26,42.55,2904100
2016-05-10,42.7,43.04,42.54,43.02,5544944
2016-05-11,42.23,42.59,42.2,42.24,3492600
2016-05-12,42.77,42.79,41.97,42.07,2905500
2016-05-13,41.81,42.16,41.79,41.91,2048832
2016-05-16,41.72,42.4,41.7,42.35,3118262
2016-05-17,42.4,42.46,41.98,42.08,2025640
2016-05-18,42.4,42.65,42.15,42.43,2190849
2016-05-19,42.1,42.12,41.43,41.82,2859864
2016-05-20,41.95,42.18,41.92,42.01,2538243
2016-05-23,42.07,42.2,41.92,42.01,1633200
2016-05-24,42.58,42.79,42.54,42.71,2622300
2016-05-25,43.11,43.23,42.88,43.12,2647611
2016-05-26,43.0,43.19,42.96,43.09,1853747
2016-05-27,42.72,42.95,42.68,42.75,2043900
2016-05-31,42.68,42.74,42.25,42.37,2664942
2016-06-01,42.06,42.27,42.01,42.16,2837300
2016-06-02,42.0,42.43,41.95,42.41,2792600
2016-06-03,42.82,42.95,42.37,42.89,3052000
2016-06-06,42.92,43.14,42.71,42.85,2649012
2016-06-07,42.8,42.93,42.69,42.7,2534911
2016-06-08,42.54,42.65,42.37,42.51,2559000
2016-06-09,41.86,42.23,41.84,42.06,2967900
2016-06-10,41.03,41.18,40.77,40.93,6676137
2016-06-13,40.8,41.22,40.79,40.83,4271732
2016-06-14,40.23,40.4,39.76,40.05,5240059
2016-06-15,40.51,40.67,40.0,40.04,4505500
2016-06-16,39.73,40.62,39.63,40.57,5160823
2016-06-17,40.58,40.59,40.06,40.33,4012241
2016-06-20,42.27,42.28,41.43,41.49,5766052
2016-06-21,41.78,41.98,41.54,41.65,4041637
2016-06-22,41.7,42.3,41.7,41.76,3348600
2016-06-23,42.57,42.59,41.98,42.56,3259016
2016-06-24,40.51,41.77,40.48,40.8,9547100
2016-06-27,40.22,40.47,39.66,40.14,6817413
2016-06-28,40.89,41.42,40.78,41.33,4148506
2016-06-29,42.4,42.66,42.02,42.46,5007408
2016-06-30,42.52,43.34,42.45,43.34,4657715
2016-07-01,42.79,43.22,42.71,43.17,3181800
2016-07-05,43.38,43.72,43.35,43.5,4216900
2016-07-06,43.08,43.7,42.99,43.65,3214604
2016-07-07,43.78,43.8,43.21,43.34,3463200
2016-07-08,43.15,43.6,43.08,43.38,2173000
2016-07-11,43.56,43.78,43.4,43.52,2970314
2016-07-12,43.7,43.87,43.5,43.72,4978230
2016-07-13,43.95,44.16,43.61,43.75,3541742
2016-07-14,44.13,44.14,43.67,43.87,4031706
2016-07-15,44.08,44.19,43.81,43.92,2941700
2016-07-18,43.98,44.31,43.96,44.23,3352803
2016-07-19,43.88,44.02,43.65,43.71,2479300
2016-07-20,44.16,44.3,44.03,44.1,2215700
2016-07-21,43.85,43.98,43.57,43.6,3094183
2016-07-22,43.87,43.98,43.77,43.88,2285347
2016-07-25,43.93,44.06,43.65,44.04,2057600
2016-07-26,44.32,44.41,43.91,44.16,3352500
2016-07-27,44.89,45.24,44.75,45.12,6005111
2016-07-28,45.45,45.45,44.92,45.18,3732300
