date,open,high,low,close,volume
2015-10-22,123.9,124.48,122.88,124.36,5855338
2015-10-23,125.01,125.75,122.97,124.61,5281600
2015-10-26,124.55,125.66,124.02,125.01,4550203
2015-10-27,124.51,125.09,123.82,124.47,3674805
2015-10-28,124.38,124.59,122.22,123.82,6821538
2015-10-29,123.42,124.07,122.75,123.63,4635318
2015-10-30,123.27,124.75,123.27,123.64,4991516
2015-11-02,124.24,124.64,123.38,124.41,3715626
2015-11-03,124.23,126.04,123.81,125.66,4313700
2015-11-04,125.48,125.87,124.62,125.38,4101588
2015-11-05,125.46,126.01,124.95,125.72,3059445
2015-11-06,125.27,126.11,124.82,125.98,3752029
2015-11-09,125.8,126.12,123.71,124.5,4988836
2015-11-10,124.49,125.41,124.04,125.26,3872900
2015-11-11,125.43,125.43,124.52,124.71,3247636
2015-11-12,124.18,124.97,123.06,123.81,4285700
2015-11-13,123.1,123.25,119.9,120.0,8728800
2015-11-16,120.05,121.03,118.61,120.84,7785740
2015-11-17,124.86,126.34,123.1,126.18,10517133
2015-11-18,126.44,126.73,124.66,126.54,6502000
2015-11-19,126.53,127.62,125.95,126.86,4662200
2015-11-20,127.36,130.21,127.09,130.21,8191901
2015-11-23,130.21,132.64,130.21,132.5,6329700
2015-11-24,131.93,133.93,131.74,133.6,6672700
2015-11-25,133.69,135.24,133.55,134.65,5300949
2015-11-27,134.81,135.47,134.53,134.74,3337790
2015-11-30,135.2,135.32,133.01,133.88,8057900
2015-12-01,133.52,134.63,133.26,134.43,5267607
2015-12-02,134.56,134.65,133.57,133.81,5022711
2015-12-03,133.52,134.12,130.8,130.93,6688008
2015-12-04,131.55,134.83,131.35,134.53,5387100
2015-12-07,134.0,134.79,133.19,133.93,5444300
2015-12-08,132.71,134.56,132.41,133.84,4731424
2015-12-09,133.21,134.78,131.51,131.9,5055629
2015-12-10,131.96,133.59,131.8,132.54,4186225
2015-12-11,131.09,132.19,130.31,130.44,5300800
2015-12-14,131.09,132.13,130.71,132.01,5960100
2015-12-15,132.62,133.49,131.19,131.29,4921800
2015-12-16,132.17,133.28,130.36,132.9,4711726
2015-12-17,133.06,133.54,131.0,131.35,4345800
2015-12-18,130.73,131.31,130.01,130.29,9840600
2015-12-21,131.0,131.61,130.18,131.31,3414800
2015-12-22,131.37,132.28,130.46,131.88,3401932
2015-12-23,132.49,133.34,131.88,133.11,3244802
2015-12-24,132.8,133.48,132.66,132.9,1517100
2015-12-28,132.25,132.9,131.89,132.68,2607306
2015-12-29,133.37,134.33,133.28,133.7,3037424
2015-12-30,133.58,134.06,133.28,133.35,2484826
2015-12-31,133.08,133.57,132.24,132.25,3178724
2016-01-04,130.11,131.07,129.45,131.07,8050900
2016-01-05,131.15,131.94,130.05,130.43,5320942
2016-01-06,129.0,129.9,128.56,129.08,8199600
2016-01-07,126.93,127.88,124.7,125.4,12551000
2016-01-08,126.44,126.53,123.5,123.9,7104540
2016-01-11,124.87,126.08,124.09,125.78,6811614
2016-01-12,126.78,128.8,125.83,127.49,5695700
2016-01-13,127.47,127.47,120.97,121.4,8932228
2016-01-14,121.29,121.52,118.2,119.62,13389107
2016-01-15,117.12,121.15,116.1,119.23,10515000
2016-01-19,120.54,121.89,118.8,119.76,6350726
2016-01-20,117.89,118.66,113.59,116.46,11331418
2016-01-21,117.38,121.94,117.14,120.22,8993902
2016-01-22,121.64,124.67,121.58,122.76,6554500
2016-01-25,123.38,123.85,121.56,121.71,4854700
2016-01-26,121.73,122.45,120.64,122.2,4475600
2016-01-27,122.46,124.32,120.86,121.57,5431000
2016-01-28,121.97,122.69,120.31,122.28,4871600
2016-01-29,123.17,125.76,122.75,125.76,7616222
2016-02-01,124.92,127.09,123.99,126.51,4674100
2016-02-02,125.41,126.43,124.71,125.27,5832204
2016-02-03,126.02,126.16,121.54,123.79,7485700
2016-02-04,123.65,123.9,119.45,121.11,9171816
2016-02-05,120.89,121.0,115.69,116.43,8117700
2016-02-08,114.93,115.97,109.62,111.85,11286600
2016-02-09,110.94,115.29,110.68,113.86,7572939
2016-02-10,114.5,116.16,114.05,114.33,5307617
2016-02-11,113.08,114.19,112.22,113.27,6447100
2016-02-12,114.88,116.43,113.52,116.32,5361634
2016-02-16,118.12,120.0,117.7,119.43,6966400
2016-02-17,120.45,121.68,119.87,121.21,5970736
2016-02-18,120.93,121.11,119.56,119.97,4460722
2016-02-19,119.82,121.7,118.75,121.69,5435541
2016-02-22,123.0,124.47,122.13,122.85,7796900
2016-02-23,127.0,127.19,123.35,124.53,11168725
2016-02-24,124.05,125.78,122.92,125.61,7935545
2016-02-25,125.76,126.86,124.89,126.86,4738820
2016-02-26,127.59,127.75,125.93,126.26,4608229
2016-02-29,126.26,126.99,124.05,124.12,5575320
2016-03-01,124.78,125.97,123.98,125.7,4916912
2016-03-02,125.48,125.87,124.46,125.59,3967500
2016-03-03,125.2,127.26,124.78,126.8,5009737
2016-03-04,127.37,127.5,125.16,125.56,6448200
2016-03-07,125.01,126.54,125.01,126.17,4161200
2016-03-08,125.22,128.2,125.0,126.72,5280935
2016-03-09,127.03,127.52,125.33,126.03,4047028
2016-03-10,126.2,127.0,124.31,125.89,4503700
