date,open,high,low,close,volume
2015-10-22,15.66,15.69,15.45,15.64,3011268
2015-10-23,15.8,15.86,15.6,15.7,4782752
2015-10-26,15.58,15.94,15.58,15.89,4212572
2015-10-27,15.84,16.1,15.81,15.95,2741604
2015-10-28,15.94,15.96,15.71,15.77,2398800
2015-10-29,15.58,15.66,15.52,15.56,1479248
2015-10-30,15.53,15.55,15.24,15.29,2542468
2015-11-02,15.28,15.47,15.25,15.32,2507200
2015-11-03,15.24,15.56,15.17,15.46,3216000
2015-11-04,15.46,15.47,15.23,15.23,2320400
2015-11-05,15.22,15.38,15.03,15.05,3154400
2015-11-06,15.01,15.17,14.77,14.81,3650800
2015-11-09,14.79,14.95,14.53,14.72,2483200
2015-11-10,14.63,14.78,14.48,14.54,2750904
2015-11-11,14.65,14.65,14.5,14.62,1395200
2015-11-12,14.53,14.58,14.3,14.32,1579772
2015-11-13,14.35,14.45,14.15,14.26,2806000
2015-11-16,14.43,14.58,14.29,14.52,2755408
2015-11-17,14.55,14.71,14.48,14.63,2020948
2015-11-18,14.46,14.58,14.36,14.49,2325224
2015-11-19,14.48,14.6,14.19,14.53,4658680
2015-11-20,14.54,14.72,14.52,14.71,1967600
2015-11-23,14.64,14.86,14.6,14.76,2551252
2015-11-24,14.67,14.76,14.46,14.5,3411668
2015-11-25,14.55,14.6,14.27,14.3,2345600
2015-11-27,14.32,14.64,14.32,14.57,1975376
2015-11-30,14.57,14.66,14.48,14.53,2126132
2015-12-01,14.67,15.06,14.66,14.97,4830956
2015-12-02,14.88,14.93,14.64,14.75,2962948
2015-12-03,14.78,14.89,14.69,14.7,2660400
2015-12-04,14.64,15.0,14.55,14.92,3803600
2015-12-07,14.8,14.94,14.71,14.79,2124096
2015-12-08,14.65,14.74,14.47,14.57,1612400
2015-12-09,14.5,14.7,14.24,14.32,2952452
2015-12-10,14.51,14.67,14.44,14.45,1505728
2015-12-11,14.27,14.31,14.03,14.06,2058412
2015-12-14,14.21,14.44,14.21,14.34,3845200
2015-12-15,14.53,14.68,14.53,14.63,4317368
2015-12-16,14.71,14.94,14.62,14.89,3266524
2015-12-17,14.87,15.03,14.68,14.91,2668892
2015-12-18,14.9,15.05,14.65,14.65,4610400
2015-12-21,14.81,14.97,14.81,14.95,2443200
2015-12-22,14.9,15.19,14.88,15.12,2856912
2015-12-23,15.24,15.25,15.05,15.09,1229200
2015-12-24,15.05,15.24,14.97,15.13,593360
2015-12-28,15.11,15.12,15.01,15.1,689600
2015-12-29,15.15,15.28,15.11,15.26,1073600
2015-12-30,15.24,15.33,15.15,15.28,1818800
2015-12-31,15.27,15.48,15.18,15.4,2085772
2016-01-04,15.08,15.1,14.84,14.97,2139280
2016-01-05,15.01,15.21,15.01,15.13,2693716
2016-01-06,15.03,15.22,14.97,15.15,3042436
2016-01-07,14.88,14.98,14.71,14.72,2112932
2016-01-08,14.88,14.98,14.6,14.63,1682904
2016-01-11,14.81,14.93,14.67,14.87,1446800
2016-01-12,14.87,15.0,14.69,14.98,4342848
2016-01-13,14.97,15.13,14.88,14.9,2265200
2016-01-14,14.91,14.93,14.56,14.68,1998400
2016-01-15,14.36,14.5,14.02,14.06,3665636
2016-01-19,14.16,14.23,14.07,14.15,4306000
2016-01-20,13.83,13.87,13.54,13.65,3531732
2016-01-21,13.7,13.7,13.29,13.58,5208204
2016-01-22,13.9,13.9,13.61,13.72,3737256
2016-01-25,13.69,14.03,13.66,13.88,2468000
