date,open,high,low,close,volume
2015-10-22,135.38,138.57,135.27,137.63,5845244
2015-10-23,138.13,138.97,137.26,138.19,5622530
2015-10-26,138.26,138.5,136.79,137.22,3653223
2015-10-27,137.08,137.38,131.17,131.68,15713036
2015-10-28,131.74,134.9,131.34,134.52,8910905
2015-10-29,134.07,134.51,132.79,134.25,3884615
2015-10-30,134.14,134.99,133.63,133.8,4171001
2015-11-02,134.2,134.22,133.31,134.08,4001629
2015-11-03,133.74,136.4,133.63,135.52,4553568
2015-11-04,136.16,136.25,134.96,135.28,3681975
2015-11-05,135.26,136.0,133.37,133.62,5336144
2015-11-06,132.39,133.29,131.69,132.05,4967678
2015-11-09,131.74,131.89,128.83,129.24,8454666
2015-11-10,129.29,129.65,128.11,129.4,4733016
2015-11-11,129.99,130.09,128.47,128.97,3313363
2015-11-12,128.66,128.66,127.05,127.08,4922050
2015-11-13,126.99,127.04,125.75,125.84,4830392
2015-11-16,125.88,128.08,125.88,127.71,4387547
2015-11-17,128.2,128.78,127.33,127.82,2947286
2015-11-18,128.75,129.82,128.24,129.73,4343946
2015-11-19,130.1,131.56,129.91,130.61,4976740
2015-11-20,131.21,132.69,131.1,132.29,5419357
2015-11-23,132.32,132.64,130.97,132.25,5379099
2015-11-24,131.48,133.09,131.15,132.39,3567610
2015-11-25,132.17,132.22,131.22,131.81,3390167
2015-11-27,131.81,132.59,131.06,132.25,1482300
2015-11-30,132.4,133.63,132.31,133.17,4758959
2015-12-01,133.32,135.06,133.32,134.95,4392040
2015-12-02,134.61,134.88,133.25,133.44,3900233
2015-12-03,133.82,134.42,131.99,132.69,6186987
2015-12-04,131.9,134.7,131.8,134.13,4786202
2015-12-07,133.88,134.11,132.59,133.29,3433311
2015-12-08,132.08,132.83,131.36,131.86,4088465
2015-12-09,131.22,133.57,130.12,130.48,4831623
2015-12-10,130.89,131.67,129.63,130.65,4420527
2015-12-11,129.17,129.37,127.91,128.54,5584137
2015-12-14,129.24,130.04,128.01,129.84,5385239
2015-12-15,131.24,132.74,131.12,131.61,4437506
2015-12-16,132.88,133.39,131.61,133.04,4549453
2015-12-17,133.1,133.25,130.2,130.62,4281504
2015-12-18,130.29,130.82,128.25,128.85,10496737
2015-12-21,129.74,129.74,128.01,129.42,5881162
2015-12-22,129.79,131.99,129.57,131.75,4463974
2015-12-23,132.1,133.06,131.92,132.33,5407360
2015-12-24,132.22,132.65,131.92,132.05,1565412
2015-12-28,131.56,131.86,130.42,131.44,3290965
2015-12-29,132.05,133.78,132.0,133.51,4128810
2015-12-30,133.32,134.14,132.98,133.09,3129689
2015-12-31,132.83,132.86,131.4,131.45,3624589
2016-01-04,129.52,129.87,128.22,129.85,5474851
2016-01-05,130.63,130.75,128.8,129.76,4109025
2016-01-06,128.35,129.5,127.63,129.11,4513297
2016-01-07,127.71,128.97,126.49,126.9,7355553
2016-01-08,127.21,127.82,125.43,125.73,4986270
2016-01-11,125.9,127.82,125.85,127.26,5207939
2016-01-12,127.66,127.78,125.25,126.94,5317074
2016-01-13,127.51,128.26,125.22,125.29,4920741
2016-01-14,126.01,127.79,125.34,126.95,5977627
2016-01-15,124.18,125.01,123.09,124.2,9431322
2016-01-19,124.28,126.18,122.32,122.37,10448035
2016-01-20,113.15,118.43,112.71,116.4,16916253
2016-01-21,115.86,119.49,115.17,117.4,9267142
2016-01-22,119.08,119.15,116.31,117.01,9672016
2016-01-25,116.63,118.66,116.19,116.61,5701592
2016-01-26,116.77,118.07,116.76,117.09,4834538
2016-01-27,117.23,117.84,115.24,115.54,5262307
2016-01-28,115.82,117.32,115.58,116.74,4127602
2016-01-29,117.75,119.19,117.45,119.19,8635257
2016-02-01,118.82,119.67,118.16,119.23,3742691
2016-02-02,118.13,118.57,117.14,117.43,3441626
2016-02-03,118.43,119.83,116.81,119.13,6515670
2016-02-04,119.47,122.74,119.4,121.93,5513660
2016-02-05,121.52,122.87,120.21,122.81,7514632
2016-02-08,120.35,121.79,118.56,121.29,7709715
2016-02-09,120.47,121.24,118.22,118.51,6236838
2016-02-10,119.4,119.67,114.47,114.8,6772798
2016-02-11,113.45,114.29,111.66,112.57,7650656
2016-02-12,113.91,115.62,113.04,115.61,5168237
2016-02-16,116.37,117.57,115.9,117.24,4252025
2016-02-17,118.16,120.9,117.72,120.45,5047281
2016-02-18,124.17,127.99,123.93,126.51,10418780
2016-02-19,126.43,127.66,124.97,127.11,5365859
2016-02-22,127.84,128.29,126.47,127.77,4666679
2016-02-23,127.17,127.43,126.09,126.46,3601194
2016-02-24,125.65,127.5,123.87,126.85,4316142
2016-02-25,127.31,128.48,125.01,128.47,4562886
2016-02-26,128.48,128.87,126.03,126.11,4592142
2016-02-29,126.08,127.38,125.03,125.16,4635846
2016-03-01,126.31,128.6,126.11,128.35,3966349
2016-03-02,127.71,131.28,127.25,130.19,5462130
2016-03-03,131.07,131.77,129.97,131.62,5398475
2016-03-04,131.37,133.17,130.88,131.62,4154703
2016-03-07,131.12,134.21,130.74,133.87,5413703
2016-03-08,133.45,134.06,131.26,132.83,5841018
2016-03-09,133.06,135.8,132.99,134.11,4613323
2016-03-10,134.91,135.13,131.9,133.9,4209281
2016-03-11,135.38,136.52,134.21,135.98,4629517
2016-03-14,135.64,136.77,134.72,136.38,4238897
2016-03-15,135.38,136.9,135.19,136.55,3881572
2016-03-16,136.23,138.38,135.74,138.3,4420119
2016-03-17,138.29,140.71,137.97,140.45,6094914
2016-03-18,140.79,140.9,138.99,140.5,12657214
2016-03-21,140.7,142.04,140.14,141.97,3896344
2016-03-22,141.42,142.59,141.21,141.46,4273533
2016-03-23,141.36,141.39,138.62,138.88,4987856
2016-03-24,138.48,141.57,138.01,141.32,5281328
