date,open,high,low,close,volume
2015-10-22,8.16,8.23,8.09,8.17,3790791
2015-10-23,8.29,8.32,8.21,8.3,5611100
2015-10-26,8.23,8.31,8.12,8.25,5476460
2015-10-27,8.18,8.21,8.02,8.14,13997709
2015-10-28,7.92,8.01,7.82,7.95,12129161
2015-10-29,7.85,7.91,7.79,7.87,8518890
2015-10-30,7.93,7.95,7.77,7.84,9075770
2015-11-02,7.91,8.04,7.9,7.95,9907590
2015-11-03,7.92,7.93,7.76,7.8,15822620
2015-11-04,7.85,7.85,7.69,7.72,12179420
2015-11-05,7.66,7.67,7.46,7.5,12731212
2015-11-06,7.47,7.6,7.3,7.45,11338140
2015-11-09,7.41,7.45,7.25,7.33,9622250
2015-11-10,7.35,7.36,7.15,7.21,10624240
2015-11-11,7.28,7.34,7.23,7.28,5379220
2015-11-12,7.25,7.28,7.15,7.16,6184750
2015-11-13,7.15,7.21,7.07,7.1,9377180
2015-11-16,7.3,7.38,7.25,7.33,14914132
2015-11-17,7.33,7.42,7.32,7.39,11416680
2015-11-18,7.23,7.32,7.21,7.27,6475815
2015-11-19,7.3,7.36,7.28,7.34,6784178
2015-11-20,7.34,7.45,7.32,7.35,4097399
2015-11-23,7.31,7.35,7.28,7.29,6136790
2015-11-24,7.25,7.51,7.22,7.45,18200710
2015-11-25,7.43,7.45,7.29,7.35,6922646
2015-11-27,7.37,7.43,7.3,7.41,3480180
2015-11-30,7.51,7.66,7.47,7.55,10803699
2015-12-01,7.57,7.65,7.52,7.61,11002434
2015-12-02,7.49,7.51,7.33,7.37,7538787
2015-12-03,7.35,7.35,7.23,7.25,5260757
2015-12-04,7.22,7.29,7.15,7.28,10165543
2015-12-07,7.21,7.27,7.15,7.19,4479143
2015-12-08,7.11,7.14,7.01,7.11,10456100
2015-12-09,7.09,7.23,7.05,7.07,7877990
2015-12-10,7.08,7.29,7.08,7.18,7602112
2015-12-11,6.9,6.93,6.6,6.64,11909810
2015-12-14,6.72,6.73,6.54,6.56,14118512
2015-12-15,6.68,6.69,6.56,6.61,12328800
2015-12-16,6.74,6.8,6.65,6.76,20502020
2015-12-17,6.82,6.83,6.75,6.76,11564190
2015-12-18,6.77,6.84,6.75,6.78,12092679
2015-12-21,6.97,7.01,6.91,6.94,8100191
2015-12-22,6.98,7.06,6.96,7.03,7921531
2015-12-23,7.11,7.17,7.06,7.15,7950360
2015-12-24,7.1,7.22,7.09,7.18,3416050
2015-12-28,7.25,7.25,7.16,7.21,6233531
2015-12-29,7.22,7.23,7.15,7.17,4841653
2015-12-30,7.15,7.15,7.03,7.07,3700499
2015-12-31,7.07,7.17,7.05,7.12,3862100
2016-01-04,6.93,6.98,6.88,6.95,6025222
2016-01-05,6.97,6.97,6.87,6.89,12102420
2016-01-06,6.69,6.75,6.64,6.67,10568140
2016-01-07,6.58,6.6,6.45,6.46,15332494
2016-01-08,6.53,6.56,6.47,6.48,7543447
2016-01-11,6.46,6.5,6.43,6.45,10485538
2016-01-12,6.43,6.44,6.24,6.35,15829220
2016-01-13,6.43,6.5,6.31,6.34,12954713
2016-01-14,6.28,6.35,6.19,6.33,9765800
2016-01-15,5.98,5.99,5.86,5.89,15162230
2016-01-19,6.01,6.14,5.98,6.01,10820397
2016-01-20,5.84,6.02,5.84,5.96,16821098
2016-01-21,6.01,6.19,5.9,6.15,22119621
2016-01-22,6.28,6.36,6.23,6.27,9853506
2016-01-25,6.24,6.33,6.18,6.29,9718210
2016-01-26,6.31,6.44,6.27,6.42,7891296
2016-01-27,6.31,6.49,6.3,6.38,7013368
2016-01-28,6.06,6.07,5.9,5.95,26847519
2016-01-29,6.06,6.06,5.95,6.05,14848619
2016-02-01,5.87,5.95,5.82,5.84,14939650
2016-02-02,5.65,5.65,5.46,5.47,16037340
2016-02-03,5.49,5.51,5.35,5.44,22867935
2016-02-04,5.43,5.56,5.37,5.55,32754605
2016-02-05,5.62,5.62,5.54,5.55,14839000
2016-02-08,5.47,5.48,5.27,5.36,11774470
2016-02-09,5.42,5.42,5.31,5.35,22345518
2016-02-10,5.43,5.45,5.32,5.32,21408908
2016-02-11,5.17,5.17,5.0,5.04,28364754
2016-02-12,5.05,5.08,4.95,4.96,28933630
2016-02-16,5.14,5.16,5.02,5.09,31080768
2016-02-17,5.05,5.06,4.99,5.02,25055720
2016-02-18,5.12,5.16,5.05,5.09,25945480
2016-02-19,5.12,5.15,5.06,5.14,17906790
2016-02-22,5.17,5.21,5.13,5.2,34260930
2016-02-23,5.02,5.03,4.93,4.95,17388910
2016-02-24,4.85,4.99,4.76,4.96,18077268
2016-02-25,4.81,4.89,4.68,4.71,29448700
2016-02-26,4.84,4.91,4.79,4.83,25584720
2016-02-29,4.98,5.3,4.97,5.15,34194930
2016-03-01,5.55,5.64,5.41,5.56,32154686
2016-03-02,5.79,5.81,5.67,5.75,15224491
2016-03-03,5.76,6.04,5.75,6.02,24315720
2016-03-04,5.95,5.98,5.78,5.92,19459143
2016-03-07,5.89,6.04,5.8,5.98,8591556
2016-03-08,5.84,5.86,5.61,5.66,19489711
2016-03-09,5.79,5.88,5.72,5.84,11289995
2016-03-10,5.85,5.86,5.65,5.7,13090703
2016-03-11,5.8,5.98,5.77,5.96,12460237
2016-03-14,5.95,6.09,5.92,6.05,7198732
2016-03-15,5.97,5.98,5.82,5.88,9749630
2016-03-16,6.09,6.13,5.94,6.08,11373376
2016-03-17,6.07,6.17,5.99,6.15,8414371
2016-03-18,6.17,6.35,6.16,6.32,13606687
2016-03-21,6.37,6.41,6.35,6.36,7127454
2016-03-22,6.27,6.29,6.22,6.28,7574502
2016-03-23,6.28,6.3,6.21,6.25,8509418
2016-03-24,6.2,6.25,6.15,6.25,9266510
2016-03-28,6.12,6.15,5.97,6.05,9486731
2016-03-29,6.07,6.25,6.03,6.22,8488700
2016-03-30,6.46,6.58,6.43,6.45,10890530
2016-03-31,6.36,6.57,6.35,6.51,13824800
2016-04-01,6.45,6.53,6.35,6.51,9526440
2016-04-04,6.51,6.51,6.35,6.43,7272346
2016-04-05,6.12,6.23,6.04,6.19,10874750
2016-04-06,6.08,6.15,6.0,6.15,9490583
2016-04-07,6.04,6.08,5.95,5.99,10080636
2016-04-08,6.12,6.15,6.05,6.08,6846161
2016-04-11,6.14,6.17,6.08,6.1,9950490
2016-04-12,6.25,6.49,6.24,6.45,19725530
2016-04-13,6.6,6.77,6.57,6.75,12665070
2016-04-14,6.72,6.73,6.64,6.67,7315880
2016-04-15,6.73,6.8,6.7,6.73,4794680
