date,open,high,low,close,volume
2015-10-22,204.15,206.65,203.96,206.34,4176600
2015-10-23,208.47,209.11,207.47,208.66,4272700
2015-10-26,208.49,208.53,207.75,208.18,3308800
2015-10-27,207.33,208.17,206.95,207.78,4240700
2015-10-28,208.19,210.14,207.39,210.11,4517700
2015-10-29,209.54,210.44,209.39,210.0,3383041
2015-10-30,210.26,210.61,208.93,209.05,3971309
2015-11-02,209.52,211.81,209.37,211.6,4298000
2015-11-03,211.14,212.87,210.91,212.13,3078101
2015-11-04,212.51,212.69,210.94,211.58,3355600
2015-11-05,211.65,212.2,210.28,211.32,2726826
2015-11-06,210.93,211.51,209.66,211.24,3182700
2015-11-09,210.48,210.62,208.13,209.21,3548938
2015-11-10,208.69,209.78,208.36,209.72,3550138
2015-11-11,210.08,210.11,208.84,208.91,2044600
2015-11-12,207.65,208.22,205.97,205.97,4299641
2015-11-13,205.46,205.82,203.57,203.67,6866514
2015-11-16,203.41,206.82,203.31,206.82,4713733
2015-11-17,207.14,208.2,206.04,206.55,8068021
2015-11-18,207.2,210.09,207.17,209.87,4701903
2015-11-19,209.79,210.24,209.4,209.67,3369122
2015-11-20,210.66,211.32,210.06,210.62,5014100
2015-11-23,210.48,211.17,209.71,210.22,2329351
2015-11-24,208.96,211.01,208.61,210.52,3222020
2015-11-25,210.73,210.93,210.25,210.53,1887000
2015-11-27,210.6,210.99,210.06,210.71,1062424
2015-11-30,211.0,211.08,209.75,209.87,5284800
2015-12-01,210.64,212.03,210.31,211.93,4190400
2015-12-02,211.84,212.2,209.41,209.74,3847000
2015-12-03,210.03,210.34,205.91,206.76,5916843
2015-12-04,207.25,211.17,207.09,210.8,6690300
2015-12-07,210.4,210.45,208.37,209.5,5875124
2015-12-08,207.67,209.2,206.94,208.13,7065519
2015-12-09,207.38,209.85,205.36,206.49,5733400
2015-12-10,206.61,208.58,206.3,207.01,6195626
2015-12-11,204.59,205.26,202.63,202.89,8088900
2015-12-14,203.22,204.18,201.1,204.18,8135335
2015-12-15,205.87,207.25,205.68,206.19,4734900
2015-12-16,207.62,209.58,205.92,209.17,5650100
2015-12-17,209.59,209.68,206.0,206.08,6569100
2015-12-18,205.13,205.23,202.14,202.22,7050500
2015-12-21,203.83,204.23,202.43,203.96,3705021
2015-12-22,205.04,206.23,203.91,205.85,4574334
