date,open,high,low,close,volume
2015-10-22,7.16,7.44,7.1,7.26,71814000
2015-10-23,7.41,7.5,7.28,7.46,55229000
2015-10-26,7.41,7.51,7.34,7.51,35194080
2015-10-27,7.48,7.55,7.46,7.51,31665150
2015-10-28,7.57,7.62,7.42,7.57,37430400
2015-10-29,7.5,7.6,7.47,7.58,23868140
2015-10-30,7.58,7.68,7.52,7.66,22504230
2015-11-02,7.68,7.71,7.59,7.66,26884440
2015-11-03,7.66,7.67,7.55,7.63,28306000
2015-11-04,7.68,7.7,7.58,7.7,26430390
2015-11-05,7.72,7.8,7.58,7.71,31772480
2015-11-06,7.71,7.75,7.58,7.69,23623000
2015-11-09,7.66,7.72,7.6,7.7,24723010
2015-11-10,7.67,7.74,7.6,7.64,21710130
2015-11-11,7.66,7.76,7.59,7.68,14388900
2015-11-12,7.61,7.65,7.5,7.54,19582320
2015-11-13,7.58,7.65,7.55,7.56,29494000
2015-11-16,7.53,7.75,7.5,7.74,20528220
2015-11-17,7.74,7.87,7.7,7.78,19744000
2015-11-18,7.75,7.85,7.72,7.84,15222030
2015-11-19,7.84,7.87,7.75,7.79,21260230
2015-11-20,7.85,7.9,7.79,7.84,16088730
2015-11-23,7.83,7.85,7.68,7.7,17595000
2015-11-24,7.69,7.77,7.65,7.73,14523000
2015-11-25,7.73,7.77,7.68,7.73,10923310
2015-11-27,7.75,7.8,7.71,7.76,4621000
2015-11-30,7.81,7.85,7.73,7.82,15733310
2015-12-01,7.83,7.96,7.82,7.96,20829000
2015-12-02,7.92,7.99,7.86,7.87,20615000
2015-12-03,7.94,7.97,7.62,7.64,23137000
2015-12-04,7.67,7.81,7.64,7.77,22788000
2015-12-07,7.76,7.85,7.69,7.79,17712240
2015-12-08,7.9,8.07,7.74,8.04,45033000
2015-12-09,8.02,8.04,7.78,7.83,23930000
2015-12-10,7.87,8.07,7.81,8.0,23251360
2015-12-11,7.9,7.97,7.85,7.89,21772220
2015-12-14,7.91,7.94,7.67,7.76,19526850
2015-12-15,7.89,8.07,7.85,7.99,23596000
2015-12-16,8.05,8.08,7.83,8.03,18288000
2015-12-17,8.05,8.08,7.87,7.87,15367170
2015-12-18,7.8,7.83,7.69,7.7,34096000
2015-12-21,7.8,7.88,7.72,7.88,16266330
2015-12-22,7.95,8.03,7.82,8.02,14862610
2015-12-23,8.06,8.09,8.01,8.04,10406000
2015-12-24,8.02,8.08,8.02,8.04,4284150
2015-12-28,8.02,8.02,7.89,8.0,10854000
2015-12-29,8.05,8.13,7.98,8.07,13386000
2015-12-30,8.07,8.12,7.98,8.02,8644010
2015-12-31,8.01,8.05,7.93,7.94,10780000
2016-01-04,7.78,7.82,7.68,7.77,26391000
2016-01-05,7.82,7.86,7.71,7.82,19118400
2016-01-06,7.65,7.71,7.25,7.36,46047000
2016-01-07,7.21,7.35,7.15,7.17,34499000
2016-01-08,7.24,7.26,6.94,7.05,47360460
2016-01-11,7.11,7.14,6.97,7.1,29843500
2016-01-12,7.25,7.29,7.03,7.14,25095000
2016-01-13,7.16,7.23,6.88,6.91,31269340
2016-01-14,6.98,7.28,6.89,7.2,46090400
2016-01-15,6.93,6.93,6.61,6.8,61037000
2016-01-19,6.91,6.97,6.7,6.75,29119000
2016-01-20,6.74,7.04,6.7,6.96,44482050
2016-01-21,7.0,7.0,6.76,6.81,39358130
2016-01-22,6.96,7.05,6.82,6.87,22860000
2016-01-25,6.92,6.92,6.78,6.8,25886000
2016-01-26,6.81,6.89,6.75,6.87,17944750
2016-01-27,6.88,6.92,6.72,6.75,23587410
2016-01-28,6.85,7.1,6.81,6.95,42352000
2016-01-29,7.0,7.25,7.0,7.18,39171490
2016-02-01,7.12,7.33,7.11,7.26,27221000
2016-02-02,7.16,7.22,7.01,7.06,34602000
2016-02-03,7.13,7.18,6.93,7.14,33201000
2016-02-04,7.14,7.21,7.06,7.15,22061000
2016-02-05,7.09,7.12,6.8,6.9,29782000
2016-02-08,6.8,6.84,6.5,6.61,25055000
2016-02-09,6.51,6.64,6.42,6.56,29534000
2016-02-10,6.6,6.67,6.51,6.55,33111480
2016-02-11,6.44,6.54,6.31,6.42,39753190
2016-02-12,6.49,6.66,6.43,6.61,20491000
2016-02-16,6.68,6.85,6.67,6.76,28055070
2016-02-17,6.81,6.93,6.78,6.93,32347000
2016-02-18,6.96,6.96,6.77,6.78,26092200
2016-02-19,6.95,7.14,6.94,6.98,41125290
2016-02-22,7.02,7.15,6.95,7.03,36590390
2016-02-23,6.97,7.04,6.9,6.92,19528250
2016-02-24,6.88,7.05,6.82,7.05,19880000
2016-02-25,7.05,7.25,7.01,7.24,29375110
2016-02-26,7.29,7.42,7.25,7.38,29902580
2016-02-29,7.34,7.46,7.31,7.33,25543210
2016-03-01,7.35,7.59,7.31,7.56,29376000
2016-03-02,7.53,7.59,7.38,7.46,24211430
2016-03-03,7.46,7.5,7.39,7.49,14020210
2016-03-04,7.52,7.53,7.38,7.43,16242210
2016-03-07,7.38,7.51,7.36,7.5,29879500
2016-03-08,7.47,7.51,7.33,7.33,32819220
2016-03-09,7.36,7.44,7.31,7.38,16431480
2016-03-10,7.41,7.6,7.38,7.52,29706710
