date,open,high,low,close,volume
2015-10-22,4.74,4.81,4.74,4.81,1744721
2015-10-23,4.81,4.85,4.81,4.83,2708842
2015-10-26,4.82,4.83,4.8,4.83,987500
2015-10-27,4.8,4.8,4.76,4.78,1188286
2015-10-28,4.58,4.61,4.56,4.58,2804286
2015-10-29,4.56,4.6,4.56,4.58,1730034
2015-10-30,4.58,4.61,4.54,4.58,1983100
2015-11-02,4.66,4.7,4.66,4.69,11156842
2015-11-03,4.61,4.69,4.6,4.68,2752111
2015-11-04,4.66,4.67,4.56,4.63,7477248
2015-11-05,4.52,4.53,4.46,4.47,3453924
2015-11-06,4.48,4.52,4.47,4.49,1578100
2015-11-09,4.49,4.5,4.45,4.47,1490300
2015-11-10,4.47,4.47,4.42,4.44,12319540
2015-11-11,4.51,4.52,4.47,4.5,4190600
2015-11-12,4.45,4.47,4.42,4.42,1570100
2015-11-13,4.47,4.47,4.41,4.42,10997266
2015-11-16,4.45,4.53,4.43,4.52,3535652
2015-11-17,4.52,4.55,4.5,4.53,3078425
2015-11-18,4.53,4.57,4.52,4.56,3552901
2015-11-19,4.56,4.56,4.51,4.54,8420830
2015-11-20,4.45,4.46,4.4,4.4,12101842
2015-11-23,4.39,4.41,4.34,4.36,3117805
2015-11-24,4.35,4.37,4.34,4.37,2716909
2015-11-25,4.39,4.42,4.38,4.41,2942629
2015-11-27,4.46,4.47,4.44,4.45,2046700
2015-11-30,4.4,4.44,4.4,4.43,1862197
2015-12-01,4.55,4.58,4.54,4.57,2866000
2015-12-02,4.54,4.55,4.45,4.47,2358201
2015-12-03,4.5,4.51,4.44,4.47,5237225
2015-12-04,4.46,4.55,4.46,4.54,4789305
2015-12-07,4.46,4.47,4.42,4.43,3249200
2015-12-08,4.36,4.38,4.32,4.33,2616000
2015-12-09,4.34,4.39,4.31,4.35,5734443
2015-12-10,4.43,4.46,4.4,4.41,3546000
2015-12-11,4.35,4.36,4.27,4.3,3673951
2015-12-14,4.29,4.32,4.2,4.25,3647507
2015-12-15,4.33,4.36,4.26,4.28,4728500
2015-12-16,4.29,4.34,4.25,4.34,2686700
2015-12-17,4.34,4.35,4.28,4.29,3023603
2015-12-18,4.32,4.33,4.26,4.26,2790786
2015-12-21,4.33,4.35,4.27,4.29,3191700
2015-12-22,4.3,4.31,4.27,4.3,2630600
2015-12-23,4.4,4.46,4.4,4.46,2910300
2015-12-24,4.46,4.49,4.45,4.47,1137200
2015-12-28,4.45,4.46,4.41,4.44,2721223
2015-12-29,4.41,4.47,4.41,4.46,2043289
2015-12-30,4.4,4.44,4.4,4.42,1415261
2015-12-31,4.41,4.41,4.36,4.36,1132349
2016-01-04,4.28,4.32,4.24,4.32,5623700
2016-01-05,4.28,4.32,4.25,4.3,7953246
2016-01-06,4.21,4.23,4.17,4.18,5504549
2016-01-07,4.1,4.15,4.07,4.08,7297200
2016-01-08,4.14,4.15,4.07,4.08,10371305
2016-01-11,4.11,4.12,4.07,4.12,11281639
2016-01-12,4.1,4.11,4.03,4.08,4557317
2016-01-13,3.98,4.0,3.87,3.89,7345317
2016-01-14,3.87,3.94,3.83,3.92,3853500
2016-01-15,3.79,3.8,3.71,3.78,6316759
2016-01-19,3.82,3.83,3.74,3.76,5492700
