date,open,high,low,close,volume
2015-10-22,31.7,32.43,31.63,32.35,18753847
2015-10-23,32.58,32.99,32.34,32.62,14730705
2015-10-26,32.63,32.82,32.32,32.55,10952312
2015-10-27,32.35,32.37,31.8,32.23,13302409
2015-10-28,32.15,33.63,32.11,33.44,17285600
2015-10-29,33.44,33.88,33.35,33.54,12759605
2015-10-30,33.44,33.57,32.93,32.97,13581100
2015-11-02,33.1,33.72,33.02,33.48,9887911
2015-11-03,33.27,33.54,33.08,33.29,11389800
2015-11-04,33.4,33.6,33.24,33.4,9125400
2015-11-05,33.53,34.05,33.41,33.88,12192336
2015-11-06,34.94,35.61,34.85,35.41,19355200
2015-11-09,35.52,35.74,34.84,35.11,10976800
2015-11-10,35.0,35.32,34.73,35.24,7335612
2015-11-11,35.38,35.54,34.95,35.02,7511346
2015-11-12,34.74,34.77,34.18,34.23,10403434
2015-11-13,34.04,34.37,33.78,33.93,8728000
2015-11-16,33.74,34.14,33.22,34.05,11227415
2015-11-17,34.44,34.44,33.47,33.59,10853300
2015-11-18,33.69,34.31,33.61,34.25,10396200
2015-11-19,34.28,34.44,33.95,34.17,8947800
2015-11-20,34.33,34.53,33.78,33.91,8624129
2015-11-23,33.92,34.14,33.57,33.64,7963022
2015-11-24,33.27,33.78,33.18,33.59,7954500
2015-11-25,33.62,33.75,33.44,33.61,6210000
2015-11-27,33.63,33.92,33.48,33.78,3014600
2015-11-30,33.81,34.53,33.7,34.3,17416300
2015-12-01,34.6,35.35,34.6,35.27,18594200
2015-12-02,35.36,35.4,34.72,34.89,10996526
2015-12-03,35.05,35.22,34.29,34.45,15021229
2015-12-04,34.66,35.58,34.41,35.32,13205404
2015-12-07,35.28,35.31,34.42,34.68,8389228
2015-12-08,34.23,34.35,33.84,34.06,10613400
2015-12-09,33.8,34.31,33.09,33.37,13211217
2015-12-10,33.5,33.9,33.28,33.42,10674500
2015-12-11,32.81,33.05,31.93,32.08,16133019
2015-12-14,32.13,32.52,31.39,31.88,14990131
2015-12-15,32.64,33.08,32.56,32.84,13708800
2015-12-16,33.17,33.77,32.68,33.61,13682900
2015-12-17,33.83,33.85,32.36,32.38,15959804
2015-12-18,32.13,32.25,31.25,31.29,19331713
2015-12-21,31.62,31.8,31.19,31.68,10920100
2015-12-22,31.96,32.38,31.61,32.22,11468401
2015-12-23,32.47,32.73,32.28,32.6,6807100
2015-12-24,32.57,32.71,32.44,32.48,2798200
2015-12-28,32.36,32.36,31.95,32.17,5420300
2015-12-29,32.44,32.7,32.33,32.55,6388244
2015-12-30,32.5,32.65,32.2,32.23,5057200
2015-12-31,31.91,32.3,31.77,31.81,8154307
2016-01-04,30.7,31.52,30.56,31.48,15749202
2016-01-05,31.48,31.7,30.93,31.28,9850500
2016-01-06,30.63,30.78,30.25,30.5,13057409
2016-01-07,29.88,30.07,28.78,28.98,18138205
2016-01-08,29.41,29.49,28.3,28.38,15295619
2016-01-11,28.45,28.6,27.81,28.46,19414800
2016-01-12,28.74,28.88,28.0,28.46,16041800
2016-01-13,28.73,28.8,26.5,26.89,29721900
2016-01-14,26.99,27.32,26.23,27.15,23814500
2016-01-15,26.03,26.41,25.51,25.97,29462230
2016-01-19,26.83,27.13,25.76,26.26,28788200
2016-01-20,25.7,25.77,24.67,25.24,25940940
2016-01-21,25.29,25.59,24.69,24.78,22130308
2016-01-22,25.26,25.98,25.18,25.61,22498441
2016-01-25,25.46,25.51,24.94,24.98,20144627
2016-01-26,25.04,25.66,25.03,25.49,13362900
2016-01-27,25.25,26.16,25.05,25.37,19796300
2016-01-28,25.67,25.84,24.94,25.17,16015600
2016-01-29,25.35,25.89,25.12,25.88,18766512
2016-02-01,25.78,25.93,25.42,25.71,11177900
2016-02-02,25.36,25.36,24.39,24.5,18326800
2016-02-03,24.43,24.52,23.29,24.32,25132938
2016-02-04,24.15,25.2,24.12,25.01,17497500
2016-02-05,25.09,25.42,24.18,24.35,16106100
2016-02-08,23.76,23.84,22.32,22.67,24258736
2016-02-09,21.89,23.29,21.76,22.93,25642034
2016-02-10,23.38,23.78,22.64,22.7,21564213
2016-02-11,21.67,22.13,21.16,21.69,29160403
2016-02-12,21.91,23.2,21.86,23.09,22802246
2016-02-16,24.07,24.14,23.21,23.72,20565500
2016-02-17,24.22,24.67,24.12,24.23,19226548
2016-02-18,24.36,24.54,23.78,23.96,17521236
2016-02-19,23.78,24.19,23.64,24.0,12986200
2016-02-22,24.4,24.74,24.33,24.54,12182034
2016-02-23,24.45,24.49,23.68,23.71,14728816
2016-02-24,23.16,23.71,22.68,23.71,20271400
2016-02-25,23.8,24.68,23.77,24.63,17568600
2016-02-26,25.0,25.67,24.78,25.16,19258000
2016-02-29,25.01,25.15,24.67,24.7,13301518
2016-03-01,25.09,26.12,25.06,26.09,17197000
2016-03-02,26.0,26.29,25.83,26.11,16119336
2016-03-03,26.1,26.19,25.81,26.14,11515400
2016-03-04,26.26,26.5,25.91,26.13,13629400
2016-03-07,25.84,26.33,25.7,26.09,9835327
2016-03-08,25.7,25.86,24.94,25.01,21715100
2016-03-09,25.2,25.26,24.44,24.61,23542331
2016-03-10,24.91,25.15,24.45,24.65,20117300
2016-03-11,25.15,26.09,25.11,26.0,24457329
2016-03-14,25.83,26.07,25.66,25.91,17603309
2016-03-15,25.63,25.69,25.12,25.43,15900500
2016-03-16,25.3,25.79,24.71,25.16,17841118
2016-03-17,25.01,26.03,24.58,25.85,20718900
2016-03-18,26.05,26.55,25.98,26.28,24032001
2016-03-21,26.17,26.61,25.86,25.94,10054000
2016-03-22,25.61,26.02,25.45,25.84,13623900
2016-03-23,25.83,25.87,25.2,25.27,10430600
2016-03-24,24.94,24.94,24.29,24.93,15777900
2016-03-28,24.98,25.07,24.68,24.72,9540220
2016-03-29,24.56,24.81,24.12,24.78,13927214
2016-03-30,24.96,25.43,24.76,25.07,11502429
2016-03-31,24.91,25.54,24.89,25.01,15492000
2016-04-01,24.89,25.68,24.62,25.53,15484813
2016-04-04,25.49,25.51,24.91,25.04,11408549
2016-04-05,24.63,24.7,24.24,24.38,12860000
2016-04-06,24.34,24.73,24.27,24.42,14982000
2016-04-07,24.23,24.31,23.51,23.72,17145400
2016-04-08,24.01,24.18,23.66,23.75,10000600
2016-04-11,23.9,24.44,23.87,24.11,12107610
2016-04-12,24.22,24.85,24.18,24.58,14947800
2016-04-13,25.03,25.88,24.98,25.88,18251028
2016-04-14,25.74,26.26,25.66,26.17,18678400
2016-04-15,26.31,26.37,25.71,25.76,14899907
2016-04-18,26.18,26.2,25.53,25.73,29605100
2016-04-19,25.86,26.49,25.8,26.46,23006500
2016-04-20,26.48,27.48,26.42,27.41,24836304
2016-04-21,27.35,27.88,27.15,27.26,16579305
2016-04-22,27.32,27.82,27.29,27.7,19084100
2016-04-25,27.53,27.71,27.23,27.53,11748841
2016-04-26,27.51,27.67,27.33,27.55,13779800
2016-04-27,27.33,27.83,27.19,27.53,12481700
2016-04-28,27.23,27.82,27.08,27.23,11096600
2016-04-29,27.01,27.24,26.86,27.06,15477400
2016-05-02,27.1,27.52,26.84,27.26,14987500
2016-05-03,26.88,26.91,26.34,26.89,16716600
2016-05-04,26.5,26.62,26.05,26.28,15144500
2016-05-05,26.26,26.5,26.0,26.17,11909840
2016-05-06,25.99,26.35,25.9,26.25,12002260
2016-05-09,26.24,26.5,26.04,26.1,10734419
2016-05-10,26.41,26.79,26.28,26.63,11200019
2016-05-11,26.59,26.99,26.35,26.36,9589938
2016-05-12,26.56,26.73,25.97,26.23,9838300
2016-05-13,26.19,26.65,25.89,25.89,13378807
2016-05-16,25.86,26.42,25.85,26.21,9883900
2016-05-17,26.08,26.56,25.95,26.16,14474100
2016-05-18,26.19,27.29,26.18,27.24,20335547
2016-05-19,27.07,27.35,26.44,26.61,11487100
2016-05-20,26.85,27.17,26.67,26.77,14313000
2016-05-23,26.72,26.94,26.6,26.83,8913106
2016-05-24,27.04,27.66,26.96,27.41,18026113
2016-05-25,27.61,28.29,27.6,27.78,15858145
2016-05-26,27.91,27.91,27.35,27.42,10080100
2016-05-27,27.45,27.64,27.31,27.53,10156100
2016-05-31,27.64,27.87,27.24,27.37,12723400
2016-06-01,27.11,27.57,26.67,27.49,11175080
2016-06-02,27.46,27.55,27.22,27.28,8077673
2016-06-03,26.6,26.65,26.01,26.54,14562647
2016-06-06,26.62,27.01,26.55,26.85,10174200
