date,open,high,low,close,volume
2015-10-22,0.69325,0.71225,0.69225,0.71,306884000
2015-10-23,0.71625,0.7195,0.7055,0.71475,381776000
2015-10-26,0.71525,0.717,0.705,0.7115,247437400
2015-10-27,0.708,0.71544,0.7075,0.711,208268000
2015-10-28,0.7155,0.71675,0.705,0.71675,217036000
2015-10-29,0.70525,0.7125,0.69075,0.692,327168000
2015-10-30,0.6995,0.71425,0.69425,0.70925,301160000
2015-11-02,0.7115,0.71825,0.70725,0.7175,190088000
2015-11-03,0.71325,0.71725,0.7045,0.7125,376769200
2015-11-04,0.7105,0.71575,0.6975,0.70075,442264000
2015-11-05,0.70425,0.70613,0.69075,0.69275,478800000
2015-11-06,0.76125,0.7985,0.7455,0.78875,1172272000
2015-11-09,0.781,0.7875,0.77425,0.78525,492569000
2015-11-10,0.775,0.77925,0.75375,0.77025,552260000
2015-11-11,0.77075,0.77625,0.76,0.76275,620126280
2015-11-12,0.761,0.768,0.75675,0.76,291080680
2015-11-13,0.76075,0.764,0.74125,0.745,292940040
2015-11-16,0.75475,0.7605,0.74875,0.76,344280320
2015-11-17,0.762,0.7665,0.75684,0.76,257049400
2015-11-18,0.76025,0.77675,0.75188,0.77575,350216000
2015-11-19,0.7785,0.78575,0.77225,0.778,254072120
2015-11-20,0.78375,0.78925,0.779,0.78475,239744000
2015-11-23,0.79125,0.79125,0.77013,0.773,242552000
2015-11-24,0.773,0.786,0.7695,0.77925,195428000
2015-11-25,0.77775,0.787,0.7755,0.77825,138300000
2015-11-27,0.77975,0.78725,0.77575,0.78475,87008080
2015-11-30,0.7855,0.7965,0.78475,0.793,327244000
2015-12-01,0.8,0.8195,0.79925,0.81875,409497320
2015-12-02,0.82,0.8285,0.81075,0.8125,294240160
2015-12-03,0.819,0.8275,0.80675,0.81075,246656200
2015-12-04,0.81075,0.84525,0.81075,0.84375,458756960
2015-12-07,0.8435,0.8435,0.82525,0.82775,333588000
2015-12-08,0.8175,0.8425,0.81225,0.839,314489320
2015-12-09,0.83875,0.84375,0.80925,0.81775,372676000
2015-12-10,0.82025,0.829,0.8175,0.8245,236596920
2015-12-11,0.81625,0.822,0.8105,0.81225,227321520
2015-12-14,0.813,0.81875,0.8045,0.81425,276345800
2015-12-15,0.8235,0.83,0.819,0.82425,307296000
2015-12-16,0.826,0.832,0.81875,0.82925,236356000
2015-12-17,0.8305,0.839,0.81625,0.81675,254161760
2015-12-18,0.811,0.81925,0.8025,0.8035,395896960
2015-12-21,0.81225,0.82325,0.805,0.82238,284216000
2015-12-22,0.825,0.8315,0.81825,0.82325,130012000
2015-12-23,0.8245,0.82963,0.823,0.82638,122525560
2015-12-24,0.824,0.83125,0.82275,0.82925,52449240
2015-12-28,0.8205,0.8285,0.809,0.8285,142028120
2015-12-29,0.829,0.8445,0.82675,0.842,203660480
2015-12-30,0.84125,0.8485,0.8345,0.83475,180344000
2015-12-31,0.8335,0.83725,0.824,0.824,148528080
2016-01-04,0.80725,0.8145,0.801,0.80925,358076280
2016-01-05,0.8245,0.836,0.8125,0.82225,490272560
2016-01-06,0.80875,0.8125,0.779,0.78825,449344160
2016-01-07,0.7685,0.77383,0.747,0.757,645304000
2016-01-08,0.76675,0.7675,0.73913,0.74075,398472000
2016-01-11,0.7415,0.74725,0.72875,0.742,409403800
2016-01-12,0.75525,0.7655,0.74925,0.7545,469356000
2016-01-13,0.76025,0.76525,0.73075,0.7315,481672000
2016-01-14,0.7165,0.725,0.6955,0.71675,600236000
2016-01-15,0.688,0.69625,0.666,0.67775,841452120
2016-01-19,0.69175,0.71125,0.68038,0.68325,457141480
2016-01-20,0.67025,0.69575,0.66125,0.687,481180000
2016-01-21,0.6945,0.70575,0.68025,0.695,481456880
2016-01-22,0.70825,0.716,0.70675,0.71125,258012480
2016-01-25,0.711,0.71913,0.70888,0.7105,270728120
2016-01-26,0.712,0.7205,0.70463,0.7175,227967280
2016-01-27,0.7165,0.71863,0.69538,0.709,231701120
2016-01-28,0.71475,0.71725,0.6875,0.70125,276778040
2016-01-29,0.70725,0.73363,0.7045,0.73225,310504880
2016-02-01,0.7315,0.73625,0.72525,0.7325,289884000
2016-02-02,0.725,0.72875,0.6965,0.7015,341908400
2016-02-03,0.707,0.71125,0.68875,0.705,326774040
2016-02-04,0.706,0.72125,0.69825,0.70525,348140000
2016-02-05,0.7005,0.70825,0.65875,0.66075,600428000
2016-02-08,0.65075,0.654,0.62125,0.6305,608852800
2016-02-09,0.623,0.66375,0.62,0.63725,425372560
2016-02-10,0.64125,0.65975,0.63225,0.63575,335800000
2016-02-11,0.6195,0.639,0.6195,0.6325,340145400
2016-02-12,0.6425,0.6445,0.61875,0.64325,340816000
2016-02-16,0.6525,0.67575,0.6505,0.67475,485352000
2016-02-17,0.68325,0.698,0.6805,0.6915,771468000
2016-02-18,0.74825,0.77438,0.7475,0.751,1068660000
2016-02-19,0.747,0.76775,0.74125,0.761,525629280
2016-02-22,0.772,0.79675,0.7705,0.788,449668000
2016-02-23,0.78175,0.7975,0.778,0.79,369380000
2016-02-24,0.78675,0.7967,0.765,0.7955,336853440
2016-02-25,0.7985,0.80125,0.783,0.79725,349616000
2016-02-26,0.801,0.80291,0.784,0.792,361964000
2016-02-29,0.79025,0.8005,0.7835,0.784,323344720
2016-03-01,0.786,0.81875,0.78475,0.81875,348700480
2016-03-02,0.81425,0.8265,0.81275,0.8235,233837320
2016-03-03,0.8225,0.826,0.80525,0.81625,302004000
2016-03-04,0.8225,0.82325,0.8075,0.81375,175305360
2016-03-07,0.80925,0.81475,0.79788,0.8085,240219800
2016-03-08,0.80025,0.805,0.79113,0.79375,274940000
2016-03-09,0.80075,0.80188,0.783,0.79325,222789480
2016-03-10,0.798,0.8025,0.776,0.792,286085480
2016-03-11,0.80375,0.80575,0.79425,0.8055,277400000
2016-03-14,0.80175,0.81075,0.798,0.8075,190314720
2016-03-15,0.80325,0.8085,0.78925,0.8035,226216800
2016-03-16,0.7975,0.83025,0.79375,0.8275,363644000
2016-03-17,0.8245,0.8285,0.80935,0.8205,353680000
2016-03-18,0.83025,0.85625,0.825,0.84525,545512080
2016-03-21,0.83775,0.848,0.82875,0.84775,337781560
2016-03-22,0.845,0.85213,0.83575,0.84625,242012000
2016-03-23,0.85,0.867,0.84625,0.86075,429008000
2016-03-24,0.853,0.8635,0.85025,0.862,244956000
2016-03-28,0.8605,0.8745,0.8595,0.87075,265388000
2016-03-29,0.867,0.88675,0.865,0.88475,261812000
2016-03-30,0.888,0.90625,0.8875,0.894,376700000
2016-03-31,0.898,0.9,0.88375,0.89075,379884000
2016-04-01,0.88525,0.90425,0.8785,0.90375,348292760
2016-04-04,0.91125,0.916,0.8915,0.895,393942040
2016-04-05,0.887,0.902,0.8835,0.89375,339568600
2016-04-06,0.8825,0.8955,0.86575,0.895,453376000
2016-04-07,0.88925,0.89725,0.882,0.88575,378105760
2016-04-08,0.893,0.89875,0.88263,0.8915,255936000
2016-04-11,0.89675,0.91175,0.894,0.897,387524000
2016-04-12,0.9,0.90125,0.8785,0.896,292764000
2016-04-13,0.9,0.91875,0.9,0.9185,350716000
2016-04-14,0.916,0.925,0.91225,0.921,416565240
2016-04-15,0.92075,0.9365,0.9178,0.92825,436972000
2016-04-18,0.9265,0.9265,0.91525,0.92425,307321760
2016-04-19,0.92775,0.9295,0.902,0.90775,309152000
2016-04-20,0.90625,0.91675,0.90525,0.91125,200177360
2016-04-21,0.9115,0.91575,0.90625,0.91025,178280000
2016-04-22,0.91325,0.9195,0.90363,0.90675,223541560
2016-04-25,0.907,0.91625,0.9045,0.91125,191990600
2016-04-26,0.91675,0.92725,0.908,0.912,214536000
2016-04-27,0.90975,0.93325,0.90808,0.93275,352396000
2016-04-28,0.927,0.9325,0.90275,0.905,381224000
2016-04-29,0.90125,0.90325,0.8785,0.88825,321904000
2016-05-02,0.89675,0.9055,0.8925,0.9,256076800
2016-05-03,0.88975,0.8935,0.88153,0.88925,224024000
2016-05-04,0.8785,0.87925,0.86,0.869,525764000
