date,open,high,low,close,volume
2015-10-22,26.84,26.91,26.44,26.83,5530674
2015-10-23,27.32,28.2,27.23,27.86,5212598
2015-10-26,27.49,27.79,27.44,27.68,2046802
2015-10-27,27.61,28.06,27.59,28.02,4404200
2015-10-28,28.19,28.64,28.13,28.44,3310836
2015-10-29,26.75,27.13,26.48,26.53,7129400
2015-10-30,26.95,27.11,26.58,26.59,2515000
2015-11-02,26.82,26.93,26.75,26.83,2476648
2015-11-03,26.99,27.23,26.86,27.13,4455000
2015-11-04,27.13,27.22,26.61,26.8,4250200
2015-11-05,28.02,28.05,27.38,27.66,5797618
2015-11-06,27.26,27.46,27.25,27.46,3498200
2015-11-09,26.99,27.07,26.87,26.98,1359802
2015-11-10,26.89,27.07,26.75,27.04,1677200
2015-11-11,27.05,27.24,26.98,26.98,1499884
2015-11-12,27.0,27.11,26.72,26.75,2928836
2015-11-13,26.39,26.68,26.37,26.47,2171000
2015-11-16,26.6,26.68,26.31,26.63,1917050
2015-11-17,26.95,27.14,26.9,26.98,1873862
2015-11-18,27.18,27.22,26.85,27.19,2248000
2015-11-19,27.37,27.43,27.09,27.41,3657800
2015-11-20,27.37,27.47,27.32,27.37,2419742
2015-11-23,27.1,27.24,26.62,26.74,3912738
2015-11-24,26.58,27.0,26.51,26.98,2403800
2015-11-25,27.15,27.26,27.08,27.12,1202664
2015-11-27,27.33,27.41,27.29,27.37,852210
2015-11-30,27.62,27.64,27.31,27.49,3847688
2015-12-01,28.08,28.12,27.79,28.1,3724084
2015-12-02,28.31,28.33,27.87,28.0,2875924
2015-12-03,28.34,28.35,27.81,27.96,3271400
2015-12-04,28.32,28.64,28.17,28.52,2417400
2015-12-07,28.79,28.8,28.54,28.68,3394600
2015-12-08,28.43,28.57,28.28,28.51,1938716
2015-12-09,28.64,28.67,28.16,28.38,2955000
2015-12-10,28.4,28.57,28.31,28.46,2103400
2015-12-11,28.02,28.08,27.74,27.77,1601754
2015-12-14,27.78,28.0,27.51,27.98,1935628
2015-12-15,27.83,28.23,27.81,28.06,2002870
2015-12-16,28.45,28.62,28.05,28.6,3960054
2015-12-17,28.3,28.53,28.24,28.25,1821816
2015-12-18,28.16,28.51,28.14,28.23,2065600
2015-12-21,28.7,28.8,28.36,28.56,2303600
2015-12-22,28.41,28.52,28.26,28.49,2018048
2015-12-23,28.73,28.9,28.68,28.85,1606200
2015-12-24,28.85,28.95,28.76,28.88,388600
2015-12-28,29.15,29.21,28.97,29.15,1399042
2015-12-29,29.22,29.43,29.17,29.39,1586676
2015-12-30,29.35,29.5,29.22,29.36,1613044
2015-12-31,29.15,29.27,29.03,29.04,1060218
2016-01-04,28.9,28.91,28.37,28.65,2698614
2016-01-05,28.99,29.08,28.79,28.99,1806452
2016-01-06,28.53,28.8,28.5,28.65,1471200
2016-01-07,28.05,28.23,27.83,28.03,2284660
2016-01-08,28.02,28.07,27.31,27.38,2620574
2016-01-11,27.6,27.62,26.97,27.27,2407400
2016-01-12,27.78,27.84,27.41,27.72,2978000
2016-01-13,27.7,27.81,27.0,27.07,1661882
2016-01-14,27.25,27.6,26.88,27.48,1985482
2016-01-15,26.23,26.77,26.22,26.56,3135800
2016-01-19,26.84,26.89,26.44,26.6,4159440
2016-01-20,26.17,26.66,25.78,26.45,3821966
2016-01-21,26.72,26.86,26.39,26.66,3025000
2016-01-22,27.09,27.5,27.07,27.37,2371400
2016-01-25,27.55,27.92,27.45,27.63,2626232
2016-01-26,27.52,27.71,27.37,27.6,2507200
2016-01-27,28.16,28.16,27.61,27.81,3006400
2016-01-28,27.53,27.62,26.92,27.27,3126082
2016-01-29,27.61,27.94,27.43,27.94,3533432
2016-02-01,27.63,28.02,27.53,27.92,2178222
2016-02-02,27.54,27.69,27.47,27.53,2436600
2016-02-03,26.28,26.5,25.13,25.85,7912800
2016-02-04,24.87,25.19,24.58,24.83,5318284
2016-02-05,24.83,24.85,24.31,24.45,3964254
2016-02-08,23.54,23.62,23.2,23.51,5147068
2016-02-09,23.16,23.61,23.09,23.29,3959600
2016-02-10,24.28,24.6,23.82,23.96,8601484
2016-02-11,24.37,24.38,23.99,24.31,7150092
2016-02-12,24.43,24.46,24.02,24.4,2807416
2016-02-16,24.9,24.99,24.58,24.82,4342400
2016-02-17,25.09,25.38,24.99,25.35,7824476
2016-02-18,25.44,25.57,25.12,25.15,2494806
2016-02-19,25.27,25.53,25.1,25.46,2602000
2016-02-22,25.61,25.85,25.57,25.8,2968280
2016-02-23,26.17,26.19,25.93,25.97,4512000
2016-02-24,25.26,25.63,25.11,25.56,2850600
2016-02-25,25.87,26.04,25.77,26.01,2451400
2016-02-26,26.1,26.24,25.94,25.99,1732824
2016-02-29,25.98,26.02,25.7,25.7,2671956
2016-03-01,26.17,26.6,26.09,26.58,4076200
2016-03-02,26.36,26.73,26.36,26.69,3557600
2016-03-03,25.88,26.32,25.87,26.3,4237200
2016-03-04,28.19,28.48,27.83,28.38,7489234
2016-03-07,28.13,28.73,28.03,28.62,3852600
2016-03-08,28.01,28.47,27.83,28.18,5829200
2016-03-09,27.9,28.06,27.76,27.82,4170400
2016-03-10,28.1,28.44,27.75,27.97,2423334
2016-03-11,28.17,28.54,28.09,28.51,2545000
2016-03-14,28.64,28.77,28.61,28.63,2010800
2016-03-15,28.28,28.33,28.02,28.11,2069818
2016-03-16,27.86,28.03,27.64,27.96,2529600
2016-03-17,27.86,27.89,27.54,27.71,2603372
2016-03-18,27.0,27.47,26.95,27.31,3001600
2016-03-21,27.22,27.5,27.18,27.23,1941200
2016-03-22,27.03,27.41,26.99,27.31,2487220
2016-03-23,27.12,27.25,26.93,27.01,1548000
2016-03-24,26.95,26.99,26.61,26.79,1524398
2016-03-28,26.79,26.96,26.73,26.74,1729268
2016-03-29,26.86,27.19,26.71,27.18,2861666
2016-03-30,27.39,27.49,27.08,27.13,2036200
2016-03-31,27.37,27.39,27.04,27.1,2333220
2016-04-01,26.98,27.53,26.94,27.47,1956390
2016-04-04,28.27,28.27,27.84,27.88,3554800
2016-04-05,27.64,27.77,27.51,27.6,2073070
2016-04-06,27.86,28.46,27.85,28.44,2394600
2016-04-07,28.07,28.35,27.98,28.12,1803800
2016-04-08,28.09,28.22,27.93,28.03,2212800
2016-04-11,28.11,28.18,27.88,27.94,1953200
2016-04-12,27.79,27.98,27.6,27.96,1087000
2016-04-13,27.68,28.03,27.68,27.97,1915684
2016-04-14,27.88,28.02,27.76,27.88,2095400
2016-04-15,27.83,28.17,27.82,28.07,2067200
2016-04-18,27.83,28.36,27.82,28.33,2705400
2016-04-19,28.85,28.91,28.62,28.76,2410418
2016-04-20,28.31,28.49,28.24,28.42,2372072
2016-04-21,28.31,28.61,28.26,28.42,1800200
2016-04-22,28.29,28.5,28.12,28.4,1290428
2016-04-25,28.18,28.27,28.05,28.11,1546400
2016-04-26,27.76,27.77,27.48,27.61,2326290
2016-04-27,27.62,27.73,27.49,27.62,1782524
2016-04-28,28.16,28.24,27.8,28.02,2339488
2016-04-29,28.4,28.4,27.7,27.9,1991298
2016-05-02,27.77,27.94,27.65,27.93,2701400
2016-05-03,27.63,27.74,27.3,27.36,1770400
2016-05-04,27.16,27.18,26.83,26.9,1688000
2016-05-05,26.95,26.95,26.59,26.77,3716060
2016-05-06,26.53,26.72,26.42,26.68,3981800
2016-05-09,27.46,27.69,27.33,27.43,3698400
2016-05-10,27.47,27.56,27.36,27.48,1622800
2016-05-11,27.39,27.52,27.24,27.25,1253400
2016-05-12,27.44,27.48,27.0,27.09,2030400
2016-05-13,27.0,27.17,26.92,27.04,1982600
2016-05-16,27.01,27.46,27.01,27.44,1560600
2016-05-17,27.14,27.38,27.07,27.13,3154228
2016-05-18,27.11,27.38,27.03,27.16,2123000
2016-05-19,27.03,27.06,26.73,26.85,4378068
2016-05-20,27.01,27.12,26.9,26.96,2038184
2016-05-23,26.89,27.03,26.73,26.88,1569000
2016-05-24,27.09,27.51,26.99,27.49,4866800
2016-05-25,28.28,28.3,28.08,28.15,2870860
2016-05-26,27.97,28.07,27.9,28.03,4069098
2016-05-27,27.72,27.87,27.65,27.72,2728630
2016-05-31,27.78,28.12,27.7,28.02,7296800
2016-06-01,28.03,28.21,28.02,28.11,2497238
2016-06-02,27.84,28.0,27.77,28.0,1978268
2016-06-03,28.05,28.38,27.93,28.3,1397600
2016-06-06,28.23,28.67,28.23,28.55,2677600
2016-06-07,28.68,28.72,28.57,28.66,3252200
2016-06-08,28.55,28.65,28.47,28.59,3347600
2016-06-09,28.31,28.6,28.31,28.44,4380000
2016-06-10,27.63,27.81,27.56,27.68,4987476
2016-06-13,27.11,27.73,27.1,27.36,2084856
2016-06-14,26.18,26.4,25.84,26.06,8062368
2016-06-15,26.3,26.33,25.9,25.93,2853354
2016-06-16,25.49,25.83,25.3,25.78,2946494
2016-06-17,25.89,25.9,25.53,25.66,2224800
2016-06-20,26.34,26.35,25.8,25.81,2000400
2016-06-21,26.24,26.25,25.96,26.08,3307864
2016-06-22,26.11,26.43,26.09,26.21,2356400
2016-06-23,26.81,26.82,26.41,26.7,2877830
2016-06-24,25.43,26.04,25.42,25.53,3185638
2016-06-27,25.65,25.66,25.13,25.46,3159400
2016-06-28,25.96,26.13,25.8,26.12,1911468
2016-06-29,26.56,26.58,26.36,26.51,2549400
2016-06-30,26.76,27.01,26.48,26.89,4559000
2016-07-01,27.1,27.21,26.95,27.14,2919600
2016-07-05,27.44,27.47,27.06,27.12,3144600
2016-07-06,26.61,26.94,26.46,26.91,2212600
2016-07-07,27.04,27.19,26.98,27.04,2210424
2016-07-08,27.11,27.33,27.06,27.28,1172232
2016-07-11,27.59,27.82,27.54,27.68,1801600
2016-07-12,27.83,27.86,27.72,27.78,2121268
2016-07-13,27.68,27.9,27.64,27.67,1229482
2016-07-14,27.79,27.81,27.61,27.7,1250912
2016-07-15,27.61,27.79,27.53,27.57,1629400
2016-07-18,27.62,27.69,27.52,27.62,2336800
2016-07-19,27.59,27.67,27.38,27.45,2074400
