date,open,high,low,close,volume
2015-10-22,4.94,5.04,4.88,4.99,24113300
2015-10-23,5.0,5.12,4.92,4.98,24172400
2015-10-26,4.99,5.01,4.86,4.92,24368300
2015-10-27,4.82,4.82,4.67,4.7,26705400
2015-10-28,4.74,5.01,4.71,4.79,28433100
2015-10-29,4.77,4.99,4.75,4.82,17916100
2015-10-30,4.86,4.92,4.72,4.88,20379300
2015-11-02,4.86,5.02,4.78,5.02,14858300
2015-11-03,5.06,5.65,5.05,5.55,44824700
2015-11-04,5.53,5.63,5.17,5.24,30800600
2015-11-05,5.14,5.36,5.08,5.17,27240500
2015-11-06,5.04,5.1,4.89,5.06,31273500
2015-11-09,5.01,5.11,4.85,4.89,31650800
2015-11-10,4.87,5.0,4.75,4.93,32187400
2015-11-11,5.05,5.06,4.8,4.86,28492600
2015-11-12,4.74,4.88,4.7,4.71,23082100
2015-11-13,4.75,4.76,4.49,4.57,45048100
2015-11-16,4.65,5.01,4.62,4.97,27663000
2015-11-17,4.65,5.04,4.65,4.86,24326700
2015-11-18,5.01,5.15,4.94,5.07,26493100
2015-11-19,5.11,5.17,4.9,5.09,37965300
2015-11-20,5.04,5.24,5.03,5.14,21341500
2015-11-23,5.16,5.27,5.13,5.24,22888200
2015-11-24,5.29,5.69,5.29,5.57,34388900
2015-11-25,5.25,5.34,5.1,5.12,24328200
2015-11-27,5.1,5.11,4.91,4.93,12991400
2015-11-30,4.84,4.96,4.77,4.77,37363100
2015-12-01,4.82,4.87,4.72,4.74,18506400
2015-12-02,4.73,4.97,4.7,4.95,37606100
2015-12-03,5.28,5.3,5.04,5.09,39467700
2015-12-04,4.97,4.98,4.77,4.79,28226900
2015-12-07,4.74,4.74,4.5,4.57,25314000
2015-12-08,4.41,4.8,4.35,4.76,42312100
2015-12-09,4.85,5.14,4.85,5.0,50016600
2015-12-10,4.84,4.95,4.71,4.73,29653800
2015-12-11,4.73,4.74,4.47,4.48,32129000
2015-12-14,4.46,4.57,4.41,4.5,23523500
2015-12-15,4.63,4.7,4.53,4.63,20351600
2015-12-16,4.52,4.66,4.38,4.66,32055200
2015-12-17,4.7,4.71,4.42,4.46,19449300
2015-12-18,4.4,4.5,4.29,4.35,32565700
2015-12-21,4.29,4.32,4.03,4.11,25988600
2015-12-22,4.13,4.3,4.07,4.28,15113800
2015-12-23,4.4,4.54,4.37,4.54,19295600
2015-12-24,4.59,4.65,4.53,4.53,10562800
2015-12-28,4.4,4.48,4.37,4.45,11644300
2015-12-29,4.54,4.59,4.36,4.42,12888200
2015-12-30,4.28,4.32,4.2,4.25,13017900
2015-12-31,4.2,4.38,4.18,4.3,10957700
2016-01-04,4.32,4.42,4.19,4.26,22806300
2016-01-05,4.26,4.27,4.11,4.18,17745000
2016-01-06,4.05,4.06,3.95,3.95,27192700
2016-01-07,3.81,3.96,3.76,3.81,27096400
2016-01-08,3.93,3.96,3.74,3.75,23281100
2016-01-11,3.8,3.81,3.65,3.71,24905500
2016-01-12,3.66,3.69,3.33,3.49,43007800
2016-01-13,3.54,3.63,3.34,3.35,19845800
2016-01-14,3.33,3.61,3.27,3.6,33711000
2016-01-15,3.34,3.46,3.24,3.27,32469000
2016-01-19,3.21,3.22,3.01,3.01,23457100
2016-01-20,2.88,3.01,2.71,2.94,44575300
2016-01-21,2.89,3.1,2.85,2.98,27175500
2016-01-22,3.18,3.25,2.98,3.03,31278100
2016-01-25,2.97,3.04,2.92,2.92,15476500
2016-01-26,2.95,2.97,2.84,2.93,23178400
2016-01-27,2.93,3.31,2.92,3.13,42501600
2016-01-28,3.49,3.5,3.05,3.2,43047000
2016-01-29,3.34,3.47,3.25,3.47,38284700
2016-02-01,3.41,3.42,3.24,3.29,24648100
2016-02-02,3.16,3.17,2.96,2.98,23458600
2016-02-03,3.14,3.17,2.93,3.13,23221800
2016-02-04,3.23,3.59,3.23,3.43,65151500
2016-02-05,3.41,3.42,3.23,3.24,18575100
2016-02-08,3.19,3.2,3.08,3.12,14719700
2016-02-09,3.05,3.11,2.88,2.99,23652900
2016-02-10,3.04,3.12,2.96,3.07,35906900
2016-02-11,2.95,3.0,2.84,2.9,28683000
2016-02-12,3.09,3.19,3.0,3.12,25935500
2016-02-16,3.22,3.23,3.04,3.06,21016900
2016-02-17,3.16,3.46,3.14,3.4,34544800
2016-02-18,3.44,3.45,3.21,3.23,21282500
2016-02-19,3.16,3.19,3.07,3.15,14700800
2016-02-22,3.35,3.7,3.34,3.68,32666800
2016-02-23,3.64,3.69,3.48,3.54,25703000
2016-02-24,3.37,3.55,3.32,3.5,21889500
2016-02-25,3.61,3.65,3.43,3.5,22588200
2016-02-26,3.63,3.65,3.38,3.38,27302700
2016-02-29,3.63,3.72,3.56,3.6,27063100
2016-03-01,3.67,3.83,3.55,3.79,30428600
2016-03-02,3.73,4.13,3.7,4.11,33665600
2016-03-03,4.25,4.86,4.2,4.71,71668800
2016-03-04,5.25,5.42,5.03,5.26,94979000
2016-03-07,5.27,5.35,5.08,5.22,51392300
2016-03-08,5.25,5.31,4.89,5.07,50184500
2016-03-09,5.32,5.37,5.03,5.13,40935000
2016-03-10,5.09,5.42,4.98,5.35,45918500
2016-03-11,5.39,5.63,5.38,5.53,33015500
2016-03-14,5.38,5.43,5.19,5.22,28527200
2016-03-15,4.81,4.89,4.6,4.79,37693000
2016-03-16,4.68,5.13,4.68,5.13,25560900
2016-03-17,5.63,5.77,5.38,5.63,54879900
2016-03-18,5.68,5.76,5.38,5.57,35802600
2016-03-21,5.6,5.74,5.48,5.64,21779000
2016-03-22,5.51,5.84,5.44,5.77,30046500
2016-03-23,5.55,5.63,5.33,5.36,28306000
2016-03-24,5.14,5.45,4.98,5.4,25809700
2016-03-28,5.59,5.84,5.45,5.79,25859900
2016-03-29,5.6,5.94,5.52,5.83,27248600
2016-03-30,5.98,6.2,5.83,5.86,38595900
2016-03-31,5.93,6.08,5.77,5.84,23254400
2016-04-01,5.64,5.89,5.56,5.87,23294100
2016-04-04,5.62,5.79,5.25,5.3,32176700
2016-04-05,5.29,5.46,5.19,5.32,22928900
2016-04-06,5.31,5.52,5.22,5.32,26816200
2016-04-07,5.29,5.43,5.21,5.32,23016500
2016-04-08,5.66,5.83,5.64,5.75,32526600
2016-04-11,5.97,6.02,5.86,5.89,38371700
2016-04-12,6.0,6.5,5.91,6.43,57115900
2016-04-13,6.68,6.76,6.41,6.73,50840100
2016-04-14,6.76,6.81,6.38,6.6,37906500
2016-04-15,6.53,6.88,6.35,6.72,36877200
2016-04-18,6.31,6.79,6.23,6.5,42206500
2016-04-19,6.62,7.01,6.6,6.97,37249200
2016-04-20,6.82,7.1,6.78,6.96,37554600
2016-04-21,7.06,7.21,6.82,6.84,37073800
2016-04-22,6.85,7.32,6.82,7.2,36979300
2016-04-25,7.24,7.27,6.85,6.93,30184100
2016-04-26,7.11,7.29,6.97,7.22,23680700
2016-04-27,7.33,7.61,7.25,7.58,37500000
2016-04-28,7.62,7.98,7.52,7.7,48825300
2016-04-29,7.9,7.99,7.56,7.71,36208200
2016-05-02,7.55,7.7,7.31,7.58,30110300
2016-05-03,7.34,7.37,7.09,7.17,31861200
2016-05-04,7.3,7.47,7.19,7.32,29242400
2016-05-05,7.58,7.64,6.92,7.07,36821700
2016-05-06,6.96,7.42,6.88,7.33,25366200
2016-05-09,7.19,7.19,6.31,6.83,46745400
2016-05-10,7.04,7.35,7.02,7.35,22222400
2016-05-11,7.5,7.69,7.19,7.42,33788400
2016-05-12,7.44,7.66,7.17,7.35,26152500
2016-05-13,7.23,7.37,6.77,6.88,33317300
2016-05-16,7.08,7.36,7.08,7.15,23632600
2016-05-17,7.11,7.27,6.92,7.09,23450200
2016-05-18,6.91,7.09,6.74,6.75,28867300
2016-05-19,6.49,6.57,6.15,6.42,38371000
2016-05-20,6.66,6.84,6.43,6.45,33747600
2016-05-23,6.18,6.29,6.05,6.15,34995200
2016-05-24,6.41,6.42,6.1,6.18,28225400
2016-05-25,6.33,6.38,6.09,6.19,42005500
2016-05-26,6.3,6.4,6.04,6.06,27538800
2016-05-27,6.02,6.07,5.8,5.84,34369300
2016-05-31,5.91,6.08,5.63,5.63,36177700
2016-06-01,5.57,5.84,5.45,5.81,30594800
2016-06-02,5.68,5.98,5.65,5.92,24770200
2016-06-03,6.04,6.19,6.0,6.09,22306600
2016-06-06,6.18,6.29,6.09,6.22,25930200
2016-06-07,6.16,6.53,6.16,6.44,30689800
2016-06-08,6.8,7.19,6.73,7.15,51010300
2016-06-09,7.02,7.09,6.84,6.89,27419000
2016-06-10,6.66,6.72,6.45,6.47,21926900
2016-06-13,6.26,6.45,6.17,6.2,25349700
2016-06-14,6.24,6.34,5.9,6.02,26974700
2016-06-15,6.04,6.33,5.97,6.17,28802800
2016-06-16,6.01,6.22,5.89,6.22,22329700
2016-06-17,6.43,6.7,6.39,6.62,25499800
2016-06-20,6.91,7.05,6.84,6.9,26867000
2016-06-21,6.9,7.04,6.71,7.01,16160300
2016-06-22,7.12,7.23,6.92,6.92,23577400
2016-06-23,7.15,7.23,7.03,7.21,23871000
2016-06-24,6.62,6.86,6.59,6.74,29337700
2016-06-27,6.78,6.78,6.24,6.32,35096700
2016-06-28,6.69,6.83,6.65,6.78,17605600
2016-06-29,6.98,7.28,6.93,7.18,28803900
2016-06-30,7.12,7.23,7.0,7.16,18368500
2016-07-01,7.14,7.52,7.13,7.47,25183400
2016-07-05,7.06,7.12,6.8,6.88,25078200
2016-07-06,6.74,7.03,6.62,7.0,20523600
2016-07-07,7.24,7.58,7.08,7.12,38583100
2016-07-08,7.53,7.58,7.34,7.47,21445300
2016-07-11,7.61,7.83,7.59,7.77,24485700
2016-07-12,8.03,8.23,8.01,8.08,30616800
2016-07-13,7.88,8.04,7.63,7.92,27420600
2016-07-14,8.22,8.24,8.04,8.21,26584300
2016-07-15,8.14,8.24,7.99,8.13,19176300
2016-07-18,8.08,8.45,8.02,8.39,19609600
2016-07-19,8.4,8.5,8.28,8.47,20461200
2016-07-20,8.37,8.47,8.3,8.38,23867400
2016-07-21,8.41,8.57,8.29,8.37,18082400
2016-07-22,8.4,8.46,8.24,8.46,13312800
2016-07-25,8.51,8.56,8.28,8.29,19192500
2016-07-26,8.3,8.46,8.25,8.41,15507800
2016-07-27,8.45,8.49,8.25,8.33,25440600
2016-07-28,8.18,8.25,8.03,8.06,17755000
2016-07-29,8.4,8.7,8.35,8.68,26801500
2016-08-01,8.55,8.57,8.05,8.08,23527000
2016-08-02,8.26,8.35,7.87,7.91,35769600
2016-08-03,7.92,8.32,7.78,8.29,26735500
2016-08-04,8.32,8.55,8.28,8.41,14758100
2016-08-05,8.5,8.53,8.28,8.36,11841200
2016-08-08,8.44,8.74,8.43,8.65,22558800
2016-08-09,8.73,8.85,8.55,8.7,22353100
2016-08-10,8.73,8.78,8.37,8.43,20361800
2016-08-11,8.47,8.73,8.36,8.67,20007100
2016-08-12,8.75,9.0,8.68,8.73,26883000
2016-08-15,8.9,9.1,8.9,9.08,21636000
2016-08-16,9.08,9.34,8.98,9.17,23420700
2016-08-17,9.02,9.33,8.91,9.3,22791500
2016-08-18,9.41,9.52,9.33,9.44,22621000
2016-08-19,9.33,9.49,9.24,9.43,13329500
2016-08-22,9.16,9.18,8.98,9.05,20892200
2016-08-23,9.13,9.41,9.07,9.26,22245800
2016-08-24,9.15,9.32,9.04,9.05,22710700
2016-08-25,9.14,9.23,9.04,9.19,13386000
2016-08-26,9.29,9.46,9.02,9.11,19851100
2016-08-29,9.15,9.49,9.12,9.37,19993900
2016-08-30,9.46,9.56,9.31,9.39,17994000
2016-08-31,9.43,9.49,9.03,9.14,27915700
2016-09-01,9.16,9.29,8.97,9.22,18160300
2016-09-02,9.46,9.7,9.46,9.58,23452500
2016-09-06,9.7,9.95,9.63,9.94,24739400
2016-09-07,9.96,10.04,9.81,9.88,18260000
2016-09-08,10.03,10.24,9.89,10.18,24439000
2016-09-09,9.86,9.9,9.5,9.51,23746000
2016-09-12,9.38,9.88,9.33,9.81,21558200
2016-09-13,9.58,9.68,8.85,8.92,37664000
2016-09-14,8.95,9.21,8.81,8.95,30429200
2016-09-15,9.07,9.37,8.91,9.27,20409800
2016-09-16,9.1,9.24,9.04,9.1,20729300
2016-09-19,9.22,9.39,9.04,9.1,16982900
2016-09-20,9.43,9.45,9.18,9.22,28646300
2016-09-21,9.33,9.55,9.23,9.51,24589500
2016-09-22,9.7,9.83,9.56,9.56,28193500
2016-09-23,9.51,9.58,9.11,9.18,28394100
2016-09-26,9.13,9.2,9.01,9.01,20841000
2016-09-27,8.95,9.06,8.72,9.06,23588200
2016-09-28,9.13,9.53,8.97,9.5,30456900
2016-09-29,9.47,9.58,9.15,9.27,27158600
2016-09-30,9.35,9.5,9.23,9.33,20068100
2016-10-03,9.45,9.71,9.34,9.7,22756400
2016-10-04,9.69,9.78,9.49,9.59,23275600
2016-10-05,9.79,10.07,9.75,9.93,26014700
2016-10-06,10.02,10.45,10.01,10.41,29335900
2016-10-07,10.57,10.61,10.34,10.53,25471600
2016-10-10,10.75,10.97,10.75,10.87,18283400
2016-10-11,10.84,10.86,10.4,10.69,24824000
2016-10-12,10.59,10.79,10.47,10.66,16127000
2016-10-13,10.55,11.02,10.4,11.0,26401000
2016-10-14,11.18,11.27,10.97,11.14,25793200
2016-10-17,11.2,11.44,11.09,11.41,19362000
2016-10-18,11.73,11.86,11.55,11.77,27617100
2016-10-19,11.89,12.12,11.82,11.88,27422400
2016-10-20,11.71,12.01,11.65,12.01,24144800
2016-10-21,11.91,12.19,11.88,12.17,20439700
2016-10-24,12.51,12.56,12.18,12.41,38639000
2016-10-25,12.25,12.35,11.93,12.18,27642000
2016-10-26,12.01,12.37,11.96,12.16,28420400
2016-10-27,12.41,12.42,12.01,12.08,24324700
2016-10-28,12.06,12.19,11.83,11.87,20862300
2016-10-31,11.93,11.95,11.49,11.67,24311800
2016-11-01,11.61,11.71,10.85,11.09,32683500
2016-11-02,10.89,11.01,10.52,10.73,25350200
2016-11-03,10.99,11.05,10.54,10.61,19519500
2016-11-04,10.62,10.78,10.41,10.63,25874900
2016-11-07,11.11,11.43,11.11,11.4,25377500
2016-11-08,11.15,11.62,11.12,11.43,25136100
2016-11-09,10.9,11.43,10.9,11.32,33801900
2016-11-10,10.75,11.06,10.12,10.34,42386600
2016-11-11,9.95,10.1,9.45,9.73,44636600
2016-11-14,9.43,9.59,9.14,9.57,48186100
2016-11-15,10.08,10.23,9.94,9.99,33832200
2016-11-16,9.9,10.04,9.7,9.83,25726800
2016-11-17,10.0,10.09,9.56,9.6,19861200
2016-11-18,9.7,9.86,9.56,9.65,13910200
2016-11-21,10.1,10.29,10.04,10.27,23399400
2016-11-22,10.4,10.53,10.16,10.48,28220000
2016-11-23,10.25,10.54,10.24,10.46,22145000
2016-11-25,10.26,10.33,10.08,10.2,11309900
2016-11-28,10.36,10.5,10.22,10.25,18695800
2016-11-29,9.97,10.02,9.72,9.85,22362400
2016-11-30,10.57,10.98,10.53,10.87,42463700
2016-12-01,10.88,11.05,10.41,10.53,46239900
2016-12-02,10.49,10.77,10.42,10.68,30826000
2016-12-05,10.76,10.89,10.43,10.45,33376600
2016-12-06,10.44,10.97,10.38,10.77,39412200
2016-12-07,10.85,10.95,10.71,10.81,27947200
2016-12-08,10.8,10.94,10.58,10.87,28210600
2016-12-09,10.93,11.04,10.75,10.84,21652800
2016-12-12,11.03,11.21,10.92,10.93,26035700
2016-12-13,11.06,11.15,10.8,10.94,18621300
2016-12-14,10.81,10.94,10.34,10.4,28747800
2016-12-15,10.19,10.4,10.11,10.26,33867200
2016-12-16,10.29,10.4,10.16,10.21,21841500
2016-12-19,10.19,10.21,9.85,9.88,21981000
2016-12-20,10.0,10.07,9.78,9.91,17269500
2016-12-21,10.05,10.07,9.81,9.93,19479500
2016-12-22,9.93,9.96,9.78,9.88,14120400
2016-12-23,10.02,10.2,9.94,10.11,16673700
2016-12-27,10.16,10.22,10.04,10.15,13155000
2016-12-28,10.15,10.39,10.13,10.33,14336500
2016-12-29,10.27,10.43,10.19,10.33,13073600
2016-12-30,10.34,10.39,10.05,10.11,12726700
2017-01-03,10.59,10.92,10.59,10.83,22779400
2017-01-04,10.87,10.89,10.65,10.8,13942000
2017-01-05,10.96,11.19,10.93,11.1,18250600
2017-01-06,11.0,11.01,10.75,10.87,24727100
2017-01-09,10.84,11.01,10.75,10.83,12760900
2017-01-10,11.02,11.15,10.95,11.02,14546600
2017-01-11,10.91,11.56,10.86,11.54,24927700
2017-01-12,11.64,11.71,11.48,11.49,13129500
2017-01-13,11.25,11.4,11.23,11.32,10234600
2017-01-17,11.34,11.42,11.25,11.27,13761000
2017-01-18,11.14,11.29,11.12,11.17,17546400
2017-01-19,11.27,11.29,11.08,11.14,11972800
2017-01-20,11.33,11.42,11.17,11.2,13653800
2017-01-23,11.18,11.38,11.07,11.33,15275100
2017-01-24,11.49,11.5,11.1,11.1,22684600
2017-01-25,11.12,11.22,10.9,10.97,17630700
2017-01-26,11.06,11.07,10.88,10.91,15483300
2017-01-27,10.9,10.95,10.72,10.79,16342800
2017-01-30,10.71,10.71,10.27,10.39,17966400
2017-01-31,10.47,10.53,10.22,10.26,17607600
2017-02-01,10.48,10.48,10.12,10.23,20453700
2017-02-02,10.42,10.47,10.08,10.15,19252300
2017-02-03,10.24,10.43,10.19,10.33,19833600
2017-02-06,10.43,10.43,10.15,10.19,14454600
