date,open,high,low,close,volume
2015-10-22,73.86,75.61,73.61,74.85,14080942
2015-10-23,76.76,78.45,76.31,77.03,16451200
2015-10-26,77.0,77.9,77.0,77.49,11464700
2015-10-27,77.12,77.36,76.81,77.29,9423405
2015-10-28,77.39,77.54,75.69,76.51,10178400
2015-10-29,76.75,77.19,76.24,77.02,8230732
2015-10-30,76.98,77.14,76.38,76.38,9547700
2015-11-02,76.57,76.77,76.05,76.6,7152929
2015-11-03,76.3,77.42,75.96,77.05,8013214
2015-11-04,77.03,77.14,76.51,77.06,6376267
2015-11-05,77.09,77.26,75.96,76.39,6860925
2015-11-06,75.88,76.0,74.69,75.57,9483500
2015-11-09,75.19,75.63,74.93,75.4,8607200
2015-11-10,75.38,76.24,75.23,75.77,6551032
2015-11-11,76.02,76.43,75.92,75.96,5295900
2015-11-12,75.67,76.01,74.66,74.66,7678611
2015-11-13,74.64,74.98,73.95,73.96,8468836
2015-11-16,74.25,75.33,74.01,75.3,7410647
2015-11-17,75.33,76.01,74.87,75.07,8761835
2015-11-18,74.98,75.96,74.81,75.9,6447106
2015-11-19,76.14,76.96,76.02,76.22,7899500
2015-11-20,76.55,76.86,75.68,75.82,9533200
2015-11-23,75.82,76.06,75.4,75.97,9421321
2015-11-24,75.62,76.69,75.61,76.45,7086800
2015-11-25,76.53,76.74,75.88,75.9,4266529
2015-11-27,75.89,76.37,75.5,75.7,2390100
2015-11-30,75.58,75.81,74.84,74.84,8935700
2015-12-01,74.87,76.22,74.87,75.94,8391700
2015-12-02,75.73,76.46,75.65,75.79,8104200
2015-12-03,75.83,76.2,75.17,75.74,11178640
2015-12-04,75.98,77.9,75.92,77.83,11961000
2015-12-07,77.54,78.5,77.54,78.37,9460000
2015-12-08,77.68,78.5,77.35,77.75,8312746
2015-12-09,77.6,78.99,77.44,77.7,10081941
2015-12-10,77.91,78.54,77.57,77.79,8984200
2015-12-11,77.51,78.33,77.11,77.78,12280500
2015-12-14,77.63,78.53,77.44,78.29,12179000
2015-12-15,78.71,80.0,78.48,79.68,14113427
2015-12-16,79.98,81.23,79.8,80.99,14102635
2015-12-17,80.98,81.03,80.2,80.29,9864248
2015-12-18,79.95,80.12,78.13,78.13,21342100
2015-12-21,78.63,78.98,78.15,78.95,9105800
