date,open,high,low,close,volume
2015-10-22,88.83,89.94,88.63,89.55,4930829
2015-10-23,89.94,89.94,88.76,89.63,4307900
2015-10-26,89.65,90.08,89.33,89.7,4124500
2015-10-27,89.0,89.32,88.38,88.82,3283800
2015-10-28,89.3,89.89,88.23,89.4,3231427
2015-10-29,89.1,89.46,88.1,89.26,2976536
2015-10-30,89.33,89.47,88.4,88.4,4062600
2015-11-02,88.73,88.98,88.19,88.81,2857133
2015-11-03,88.39,88.52,87.7,88.34,3445400
2015-11-04,88.17,88.43,87.63,88.07,3978404
2015-11-05,88.04,88.32,87.78,88.16,2631611
2015-11-06,87.36,87.36,85.12,86.37,5456204
2015-11-09,85.76,85.84,84.73,85.25,4030000
2015-11-10,85.29,85.48,84.73,84.96,2542000
2015-11-11,85.28,85.83,85.0,85.05,2563555
2015-11-12,84.53,84.92,83.76,84.02,3948218
2015-11-13,83.86,84.43,83.27,83.4,3471800
2015-11-16,83.4,84.36,83.33,84.35,3722746
2015-11-17,84.3,84.64,83.55,83.84,3173900
2015-11-18,84.08,85.48,83.92,85.43,4186300
2015-11-19,85.68,86.49,85.64,86.25,4507823
2015-11-20,86.7,87.65,85.84,85.99,4823500
2015-11-23,86.22,86.76,85.92,86.59,3029100
2015-11-24,86.09,87.25,85.95,86.9,2821640
2015-11-25,86.62,87.27,86.33,87.17,2676094
2015-11-27,87.12,87.68,86.83,87.42,1944600
2015-11-30,87.91,88.31,87.2,87.39,5970521
2015-12-01,87.44,87.88,86.7,87.78,3857800
2015-12-02,87.55,87.78,87.0,87.3,3522627
2015-12-03,87.56,87.99,87.21,87.34,6056700
2015-12-04,87.41,89.76,87.41,89.7,7203500
2015-12-07,89.25,89.64,88.3,88.79,3931827
2015-12-08,88.56,88.92,88.07,88.77,4119400
2015-12-09,88.51,89.52,87.48,88.02,3841040
2015-12-10,87.92,88.32,87.23,87.73,4183810
2015-12-11,86.76,87.18,85.96,86.32,4740300
2015-12-14,86.38,87.42,85.89,87.16,4636826
2015-12-15,87.63,88.37,87.13,87.84,4904938
2015-12-16,88.04,90.27,88.0,90.15,5275248
2015-12-17,90.07,90.15,88.96,89.08,4878700
2015-12-18,88.73,88.73,86.92,86.92,10829246
2015-12-21,86.36,86.66,85.74,86.62,4058101
2015-12-22,86.94,87.79,86.24,87.66,4377822
2015-12-23,87.92,89.18,87.86,89.08,3043400
2015-12-24,88.75,89.23,88.63,88.86,1201729
2015-12-28,88.55,88.79,88.09,88.59,1860699
2015-12-29,89.04,89.48,88.84,89.36,2212128
2015-12-30,89.4,89.48,88.78,88.98,1790908
2015-12-31,88.48,88.64,87.86,87.91,2502107
2016-01-04,86.85,87.05,85.76,87.0,4703000
2016-01-05,87.03,88.23,86.85,87.87,3923500
2016-01-06,87.03,88.21,87.03,87.85,4861600
2016-01-07,86.68,88.46,86.68,87.25,6132500
2016-01-08,87.58,87.65,86.48,86.71,5415244
2016-01-11,87.44,89.33,87.4,89.17,8021000
2016-01-12,89.61,89.88,88.16,89.09,4742600
2016-01-13,89.0,89.2,88.06,88.31,6109300
2016-01-14,88.39,89.06,86.95,87.88,8194700
2016-01-15,86.05,86.94,85.11,86.29,7420500
2016-01-19,86.44,87.83,86.44,87.47,5097300
2016-01-20,86.68,86.9,84.46,85.86,5729600
2016-01-21,85.42,86.2,84.69,85.8,5436420
2016-01-22,86.75,87.17,85.8,86.87,3677212
2016-01-25,87.05,87.6,86.51,86.68,3258800
2016-01-26,86.76,88.32,86.76,87.31,4544000
2016-01-27,87.65,89.38,87.21,88.09,4882900
2016-01-28,88.79,89.72,87.61,89.06,3856915
2016-01-29,88.86,90.24,88.33,90.01,8383114
2016-02-01,89.79,90.31,89.33,89.41,5985600
2016-02-02,88.51,89.45,88.3,89.35,5323000
2016-02-03,89.84,90.28,88.48,89.79,6023000
2016-02-04,87.68,90.35,87.68,89.1,6019900
2016-02-05,89.19,89.61,87.42,89.55,4557229
2016-02-08,89.28,90.29,88.65,89.72,5298500
2016-02-09,89.29,90.56,88.93,90.02,5114200
2016-02-10,90.25,90.39,89.04,89.23,3730600
2016-02-11,88.15,88.75,87.5,88.34,4181218
2016-02-12,89.03,89.5,88.25,89.06,4930417
2016-02-16,89.5,90.34,88.6,90.12,4482900
2016-02-17,90.06,92.19,89.76,91.23,6288602
2016-02-18,91.14,91.82,91.07,91.65,5886200
2016-02-19,91.58,92.19,90.78,91.94,4121500
2016-02-22,92.34,92.85,92.02,92.54,3796812
2016-02-23,92.42,92.79,91.8,92.05,3590000
2016-02-24,91.85,91.91,90.7,91.46,4534100
2016-02-25,91.53,92.48,91.36,92.45,3146400
2016-02-26,92.54,92.87,91.11,91.45,4025108
2016-02-29,91.0,91.77,90.48,91.03,4697700
2016-03-01,91.6,91.73,91.02,91.54,4489803
2016-03-02,91.29,91.89,90.79,91.56,3258533
2016-03-03,91.54,93.29,91.31,93.26,4144100
2016-03-04,93.29,94.91,93.25,94.49,5729300
2016-03-07,94.02,94.19,93.1,93.9,4888808
2016-03-08,94.07,94.79,93.76,94.45,5455200
2016-03-09,94.87,96.07,94.66,96.01,6544300
2016-03-10,95.99,96.88,95.75,96.84,5428700
2016-03-11,96.99,97.15,96.06,96.49,7202804
2016-03-14,96.58,97.13,96.0,96.44,4625300
2016-03-15,95.91,96.7,95.8,96.44,5039727
2016-03-16,96.41,97.36,95.65,97.18,3936900
2016-03-17,97.29,99.33,97.29,98.9,7378210
2016-03-18,99.03,99.24,97.92,98.17,9472700
2016-03-21,98.08,98.82,97.76,98.59,3784300
2016-03-22,97.34,97.69,96.43,96.74,3655200
2016-03-23,96.74,97.29,96.28,97.07,3028900
2016-03-24,97.04,97.6,96.66,97.57,3674843
