date,open,high,low,close,volume
2015-10-22,59.49,60.64,59.49,60.43,10913600
2015-10-23,60.63,61.19,60.49,60.73,9175621
2015-10-26,60.91,60.91,58.7,59.21,13381000
2015-10-27,58.91,59.35,58.77,59.28,9485900
2015-10-28,59.33,60.3,59.23,60.27,7738307
2015-10-29,59.67,60.23,59.58,60.0,5567708
2015-10-30,60.12,60.2,59.42,59.42,8630300
2015-11-02,59.7,60.76,59.51,60.64,8577221
2015-11-03,60.4,61.18,60.26,60.87,7704300
2015-11-04,60.89,61.01,60.07,60.26,10795900
2015-11-05,56.73,56.81,49.92,51.07,65856400
2015-11-06,51.63,53.7,51.63,53.42,31252913
2015-11-09,52.88,53.35,52.62,52.94,15092008
2015-11-10,52.53,52.99,51.95,52.27,13489547
2015-11-11,52.6,53.24,52.37,52.85,11034666
2015-11-12,52.75,53.19,52.52,52.58,10807000
2015-11-13,52.3,52.75,51.82,51.94,10439900
2015-11-16,51.96,52.86,51.96,52.77,9214000
2015-11-17,52.7,53.55,52.57,52.98,10686200
2015-11-18,51.94,51.94,47.52,48.0,45214500
2015-11-19,48.51,49.28,48.23,48.39,20547909
2015-11-20,48.8,49.77,48.5,49.62,17229809
2015-11-23,49.09,49.58,48.76,48.97,11632840
2015-11-24,49.03,49.73,48.86,49.41,12090114
2015-11-25,49.41,49.65,48.85,49.1,9967115
2015-11-27,48.67,48.85,48.47,48.54,3441634
2015-11-30,48.6,48.86,48.3,48.79,13716041
2015-12-01,48.75,49.32,48.6,49.3,9915800
2015-12-02,51.91,53.44,51.8,51.85,36745100
2015-12-03,52.16,52.24,50.37,51.4,25438139
2015-12-04,52.09,52.57,51.41,52.34,16177724
2015-12-07,52.31,52.54,51.89,52.43,10160700
2015-12-08,50.63,50.96,49.31,49.48,18917100
2015-12-09,49.64,49.98,48.42,48.59,16131021
2015-12-10,48.65,49.57,48.47,48.57,11619500
2015-12-11,48.2,48.36,47.34,47.46,12977605
2015-12-14,47.41,47.96,45.93,46.83,17223486
2015-12-15,47.71,48.81,46.8,48.02,20086940
2015-12-16,48.25,48.6,47.15,48.07,13308303
2015-12-17,49.32,49.6,47.54,47.54,15328038
2015-12-18,47.37,48.04,47.02,47.43,46440200
2015-12-21,47.61,48.93,47.54,48.76,16779008
2015-12-22,48.53,49.19,48.43,49.07,10139800
2015-12-23,49.24,49.52,48.9,49.04,9397921
2015-12-24,49.0,49.88,49.0,49.55,5352009
2015-12-28,49.45,49.81,49.23,49.58,8395600
2015-12-29,50.28,51.25,50.07,50.88,14371321
2015-12-30,50.88,51.25,50.36,50.41,8529300
2015-12-31,50.06,50.44,49.89,49.99,7613411
2016-01-04,49.43,50.18,48.91,50.12,12571300
2016-01-05,50.46,50.6,49.07,49.14,13482312
2016-01-06,48.36,48.66,47.76,48.64,15783517
2016-01-07,47.78,48.0,45.98,46.14,20495621
2016-01-08,46.81,46.85,45.84,45.88,15285528
2016-01-11,46.36,46.53,45.33,46.07,13624903
2016-01-12,46.45,46.68,45.62,46.52,9290710
2016-01-13,47.22,47.97,46.07,46.1,17285126
2016-01-14,46.21,48.01,45.84,47.73,21649400
2016-01-15,46.04,46.51,45.13,45.82,17273304
2016-01-19,46.5,46.58,45.47,46.09,12680000
2016-01-20,45.5,46.18,44.39,45.93,14761544
2016-01-21,46.36,47.44,45.71,47.05,12913700
2016-01-22,47.81,48.28,47.44,48.07,12154900
2016-01-25,47.97,48.39,47.52,47.58,9365810
2016-01-26,47.6,48.85,47.52,48.52,9273400
2016-01-27,48.0,48.58,47.16,47.53,12305041
2016-01-28,45.8,45.82,43.47,43.59,27935200
2016-01-29,44.05,45.35,43.67,45.34,24039200
2016-02-01,44.71,46.41,44.39,46.11,13120449
2016-02-02,45.18,45.4,42.88,43.15,21079700
2016-02-03,43.6,45.0,43.31,44.73,16733601
2016-02-04,44.62,45.76,44.38,45.66,10798900
2016-02-05,45.45,45.6,43.77,44.02,10709828
2016-02-08,43.51,44.16,42.83,43.89,12799021
2016-02-09,43.65,44.06,43.17,43.61,10339828
2016-02-10,44.0,44.52,42.9,42.96,10044634
2016-02-11,42.51,43.29,42.24,43.0,12537700
2016-02-12,43.35,44.76,43.08,44.56,11696500
2016-02-16,45.6,46.83,45.4,46.73,13832535
2016-02-17,47.05,48.53,47.01,48.41,14868233
2016-02-18,48.41,49.31,48.02,49.08,13173124
2016-02-19,49.04,50.04,48.76,49.42,16196800
2016-02-22,50.08,51.29,50.07,51.28,16793620
2016-02-23,51.0,51.0,50.11,50.42,9358700
2016-02-24,50.0,51.66,49.73,51.52,10966600
2016-02-25,51.5,51.79,50.9,51.64,8352400
2016-02-26,52.0,52.0,51.22,51.62,9528400
2016-02-29,51.17,51.53,50.71,50.79,12127300
2016-03-01,51.08,52.11,51.06,52.11,11977412
2016-03-02,52.39,52.98,52.24,52.85,15664800
2016-03-03,52.45,52.81,51.86,52.38,12365224
2016-03-04,52.33,52.9,51.9,52.66,12770324
2016-03-07,52.44,53.52,52.36,53.3,10180746
2016-03-08,52.89,53.21,51.98,52.46,11684313
2016-03-09,52.41,52.52,51.74,51.95,13964500
2016-03-10,51.91,52.37,51.17,52.02,9539100
2016-03-11,52.59,52.64,51.89,52.22,11404300
2016-03-14,52.24,52.41,51.74,52.09,7407247
2016-03-15,51.75,51.83,50.98,51.63,12887645
2016-03-16,51.63,51.63,50.91,51.3,21052317
2016-03-17,51.15,51.69,51.12,51.38,10190409
2016-03-18,51.69,51.87,51.23,51.59,28991514
2016-03-21,51.6,52.35,51.51,52.21,11796500
2016-03-22,51.84,52.32,51.79,52.02,6623200
2016-03-23,52.12,52.16,50.81,50.99,9194607
2016-03-24,50.63,50.9,50.13,50.86,7527316
2016-03-28,50.43,50.61,49.95,50.19,9065233
2016-03-29,50.0,50.94,49.67,50.69,10462605
2016-03-30,51.17,51.65,50.73,50.99,7142800
2016-03-31,50.87,51.43,50.83,51.14,7315830
2016-04-01,51.08,51.11,50.01,50.88,9379800
2016-04-04,50.81,51.11,50.51,50.65,6289819
2016-04-05,50.44,50.53,50.0,50.07,6863302
2016-04-06,50.14,50.73,49.73,50.62,7631612
2016-04-07,50.4,50.45,49.77,50.03,7532242
2016-04-08,50.37,51.15,50.25,50.56,5584828
2016-04-11,50.86,51.58,50.86,51.0,8637200
2016-04-12,51.05,51.1,50.2,50.82,6116949
2016-04-13,51.3,52.44,51.15,51.92,13813500
2016-04-14,51.85,51.89,51.24,51.82,7921400
2016-04-15,51.93,51.99,51.03,51.06,10143319
2016-04-18,51.09,51.73,50.94,51.55,7673100
2016-04-19,51.73,51.93,51.3,51.83,9306400
2016-04-20,51.93,52.54,51.81,52.09,11216936
2016-04-21,51.3,51.8,50.74,51.67,16728621
2016-04-22,51.71,53.09,51.68,52.64,14029800
2016-04-25,52.6,52.72,52.03,52.43,6941225
2016-04-26,52.54,52.96,52.45,52.91,7600100
2016-04-27,52.03,53.13,52.01,52.9,8256621
2016-04-28,52.48,53.28,52.04,52.13,7795038
2016-04-29,51.83,52.0,50.11,50.52,11437400
2016-05-02,50.69,51.17,50.13,51.11,7123500
2016-05-03,50.67,50.92,50.19,50.73,7848643
2016-05-04,50.19,50.88,50.15,50.49,11981800
2016-05-05,50.74,51.27,50.43,51.13,10189107
2016-05-06,50.65,51.12,50.38,50.92,9434500
2016-05-09,51.0,51.6,50.79,51.2,7173600
2016-05-10,51.26,52.23,50.97,52.15,8199000
2016-05-11,51.83,52.53,51.69,52.15,8324100
2016-05-12,52.33,52.53,51.36,51.51,9516000
2016-05-13,51.46,52.08,51.11,51.32,6975100
2016-05-16,51.32,52.17,51.12,51.91,6823600
