date,open,high,low,close,volume
2015-10-22,108.48,109.8,108.17,109.71,42778702
2015-10-23,112.66,113.24,112.07,112.78,53170910
2015-10-26,112.7,113.07,112.27,112.85,25918004
2015-10-27,112.55,113.24,112.52,113.08,31390511
2015-10-28,113.25,114.02,112.34,114.02,42221900
2015-10-29,113.5,114.03,113.38,113.84,24913340
2015-10-30,113.89,114.08,113.3,113.33,27199231
2015-11-02,113.63,114.75,113.39,114.61,22176916
2015-11-03,114.38,115.42,114.21,115.01,20418400
2015-11-04,115.39,115.47,114.54,115.02,28633048
2015-11-05,115.12,115.4,114.11,114.71,25004100
2015-11-06,114.49,114.92,113.76,114.79,29924901
2015-11-09,114.36,114.51,112.87,113.57,33479800
2015-11-10,112.97,113.39,112.63,113.28,35452127
2015-11-11,113.59,114.14,112.95,113.14,22748808
2015-11-12,112.65,113.23,111.96,112.04,31196900
2015-11-13,111.57,111.69,109.78,109.84,52836036
2015-11-16,109.74,111.44,109.48,111.42,33980633
2015-11-17,111.61,112.29,111.21,111.49,30579500
2015-11-18,111.94,113.74,111.83,113.63,32966500
2015-11-19,113.68,114.23,113.49,113.71,26188119
2015-11-20,114.24,114.57,114.14,114.48,22727600
2015-11-23,114.53,114.94,113.66,114.15,20696200
2015-11-24,113.42,114.32,112.84,114.05,26374412
2015-11-25,114.19,114.36,113.91,114.15,14159935
2015-11-27,114.4,114.54,113.92,114.31,8828000
2015-11-30,114.6,114.65,113.65,114.02,25041649
2015-12-01,114.48,115.16,114.34,115.16,28639445
2015-12-02,115.23,115.75,114.28,114.45,22395500
2015-12-03,114.76,114.96,111.84,112.51,42754345
2015-12-04,112.84,115.33,112.62,115.14,40037322
2015-12-07,115.22,115.29,114.07,114.62,25892101
2015-12-08,113.44,115.0,113.38,114.63,30792648
2015-12-09,114.11,114.76,112.2,112.89,48509200
2015-12-10,113.15,114.16,112.81,113.4,30154621
2015-12-11,112.09,112.39,110.72,110.79,56022221
2015-12-14,110.98,111.68,109.38,111.63,53098514
2015-12-15,112.6,113.28,112.17,112.31,48428014
2015-12-16,113.07,114.17,111.89,113.98,44944106
2015-12-17,114.46,114.48,112.3,112.32,45668800
2015-12-18,111.58,111.88,109.83,109.83,53746100
2015-12-21,110.87,111.07,110.05,111.05,26432807
2015-12-22,111.65,111.94,111.05,111.78,26540310
2015-12-23,112.34,112.69,112.16,112.61,25656928
2015-12-24,112.57,112.9,112.54,112.59,11480244
2015-12-28,112.32,112.55,111.51,112.53,19183637
2015-12-29,113.22,114.55,113.13,114.3,27725700
2015-12-30,114.16,114.24,113.25,113.27,19520100
2015-12-31,112.87,113.08,111.84,111.86,29886849
2016-01-04,109.43,109.6,108.12,109.5,50807643
2016-01-05,110.04,110.18,108.8,109.31,38795200
2016-01-06,107.43,108.89,107.41,108.26,41891100
2016-01-07,105.96,107.29,104.81,104.87,61386300
2016-01-08,105.67,106.29,103.9,104.01,69344012
2016-01-11,104.79,105.06,102.73,104.33,50024100
2016-01-12,105.31,106.08,104.08,105.54,46734241
2016-01-13,106.0,106.23,101.74,101.9,69870700
2016-01-14,102.3,104.98,100.67,104.07,78445735
2016-01-15,100.57,101.94,99.51,100.84,91443918
2016-01-19,102.2,102.37,99.88,101.06,56563845
2016-01-20,99.48,101.83,97.25,100.75,86675000
2016-01-21,101.19,102.35,99.82,100.85,61660101
2016-01-22,102.84,103.81,102.53,103.77,42229803
2016-01-25,103.46,103.99,102.14,102.23,38881500
2016-01-26,102.65,103.59,101.76,103.15,36143916
2016-01-27,102.55,102.99,100.15,100.58,54524736
2016-01-28,102.19,102.29,100.26,102.0,47641532
2016-01-29,102.0,104.17,101.94,104.13,54245100
2016-02-01,103.62,104.8,103.23,104.41,32750348
2016-02-02,103.97,103.97,101.84,102.15,44928100
2016-02-03,102.8,102.83,99.88,101.66,61572900
2016-02-04,101.35,102.46,100.44,101.65,49321638
2016-02-05,101.29,101.33,97.72,98.12,70749932
2016-02-08,96.33,97.05,94.84,96.62,91673100
2016-02-09,95.36,97.78,95.18,96.32,73778426
2016-02-10,97.5,98.69,96.62,96.69,59421700
2016-02-11,95.45,97.32,95.19,96.55,76839200
2016-02-12,97.68,98.12,96.73,98.02,49186500
2016-02-16,99.44,100.23,98.85,100.23,40565911
2016-02-17,101.01,102.64,100.7,102.5,41766500
2016-02-18,102.81,102.84,101.2,101.33,38991500
2016-02-19,100.91,101.94,100.62,101.63,28257915
2016-02-22,102.54,103.38,102.48,103.28,23979113
2016-02-23,102.67,102.96,101.51,101.58,29869700
2016-02-24,100.44,102.68,99.77,102.55,40739103
2016-02-25,102.76,103.56,101.84,103.56,29389315
2016-02-26,104.28,104.37,103.18,103.43,30925045
2016-02-29,103.31,104.1,102.5,102.5,27553937
2016-03-01,103.45,105.79,103.16,105.79,37699800
2016-03-02,105.63,105.85,105.01,105.83,29209800
2016-03-03,105.71,105.75,104.87,105.63,25474625
2016-03-04,105.76,106.35,104.97,105.67,31655424
2016-03-07,105.12,105.74,104.27,105.02,25861200
2016-03-08,104.3,105.21,103.97,104.15,28898525
2016-03-09,104.57,104.84,103.96,104.82,31047400
2016-03-10,105.31,105.86,103.31,104.66,44997649
2016-03-11,105.8,106.49,105.46,106.49,31454000
2016-03-14,106.08,106.92,106.06,106.67,25374912
