date,open,high,low,close,volume
2015-10-22,57.97,59.12,57.86,58.86,9701981
2015-10-23,59.25,59.51,59.09,59.35,8533065
2015-10-26,59.35,59.56,58.98,59.12,4579800
2015-10-27,58.86,58.96,58.22,58.32,5758637
2015-10-28,58.61,58.7,57.9,58.58,6493402
2015-10-29,58.53,58.75,57.94,58.42,5573606
2015-10-30,58.41,58.5,57.96,58.04,6800194
2015-11-02,58.29,58.73,58.01,58.62,5200720
2015-11-03,58.62,59.18,58.27,58.98,5238905
2015-11-04,59.23,59.59,58.98,59.18,5283134
2015-11-05,59.24,59.57,58.82,59.45,4803031
2015-11-06,59.01,59.45,58.56,59.45,4637248
2015-11-09,59.34,59.48,58.52,58.78,5365609
2015-11-10,58.29,58.64,57.77,58.2,4642932
2015-11-11,58.42,58.63,57.84,57.96,3683899
2015-11-12,57.37,58.82,57.14,58.52,14933869
2015-11-13,58.23,58.77,56.85,56.91,10543746
2015-11-16,56.95,57.72,56.85,57.7,8645122
2015-11-17,57.9,57.98,57.45,57.54,7678268
2015-11-18,57.58,57.72,57.12,57.63,7124220
2015-11-19,57.78,58.33,57.7,57.98,7403407
2015-11-20,58.18,58.72,57.88,57.93,8304617
2015-11-23,57.91,58.14,57.74,57.85,7082103
2015-11-24,57.55,57.73,56.89,57.42,9060568
2015-11-25,57.45,57.83,57.36,57.37,7352169
2015-11-27,57.22,57.31,56.94,57.09,3254932
2015-11-30,57.25,57.36,56.59,56.65,9428300
2015-12-01,56.65,57.48,56.63,57.04,7791678
2015-12-02,56.89,57.11,56.11,56.18,6599579
2015-12-03,56.21,56.5,55.68,55.86,10312564
2015-12-04,56.03,56.99,55.91,56.46,15647026
2015-12-07,56.4,56.77,56.25,56.57,7936747
2015-12-08,56.02,56.22,55.38,55.58,11888134
2015-12-09,55.19,56.37,54.98,55.54,11717916
2015-12-10,55.48,55.84,54.04,55.37,9857492
2015-12-11,54.86,55.81,54.81,55.03,16857114
2015-12-14,55.03,55.19,54.38,54.87,11441236
2015-12-15,55.25,55.83,54.99,55.01,11220575
2015-12-16,55.42,56.29,55.11,56.11,16731149
2015-12-17,56.11,56.46,55.35,55.37,8142092
2015-12-18,55.04,55.64,54.46,54.46,14692401
2015-12-21,54.86,55.38,54.67,55.21,14765331
2015-12-22,55.63,56.27,55.44,55.96,7873750
2015-12-23,56.33,56.98,56.29,56.8,7929957
2015-12-24,56.56,56.93,56.55,56.8,2344306
2015-12-28,56.61,56.81,56.45,56.68,6115185
2015-12-29,57.02,57.67,56.83,57.37,5580451
2015-12-30,57.16,57.51,56.93,57.15,5360467
2015-12-31,56.86,57.02,56.45,56.66,5003219
2016-01-04,55.71,56.41,55.42,56.37,9125247
2016-01-05,56.11,56.62,55.91,56.46,7211117
2016-01-06,55.38,55.82,54.58,54.92,14073153
2016-01-07,53.95,55.06,53.93,54.2,11842389
2016-01-08,54.01,54.19,53.21,53.32,12718070
2016-01-11,53.73,53.91,53.04,53.38,12182745
2016-01-12,53.67,53.76,52.89,53.38,13050292
