date,open,high,low,close,volume
2015-10-22,73.9,74.88,73.9,74.39,3301800
2015-10-23,74.75,75.3,74.54,74.85,2533013
2015-10-26,75.08,75.3,74.67,74.93,11638330
2015-10-27,74.77,75.68,74.6,75.43,4597600
2015-10-28,75.5,76.18,75.35,75.95,3123000
2015-10-29,75.75,76.62,75.25,76.48,3926600
2015-10-30,75.75,75.75,73.86,74.77,12051149
2015-11-02,74.79,74.97,74.05,74.63,2461701
2015-11-03,75.51,75.89,75.11,75.75,3625000
2015-11-04,75.89,76.27,75.75,75.85,3698913
2015-11-05,76.22,76.98,76.1,76.53,2889543
2015-11-06,76.79,77.18,76.13,76.65,2385415
2015-11-09,76.99,77.04,75.51,76.06,2135839
2015-11-10,75.65,76.12,75.22,76.05,1711417
2015-11-11,76.25,76.25,75.71,75.98,1168200
2015-11-12,75.7,75.75,74.78,74.96,2198017
2015-11-13,74.66,74.9,73.68,73.94,2117900
2015-11-16,74.0,75.22,73.73,75.22,1708349
2015-11-17,75.41,75.91,74.96,75.49,1537100
2015-11-18,75.68,75.84,75.42,75.5,1801500
2015-11-19,75.72,76.59,75.42,76.16,2634900
2015-11-20,76.48,76.58,75.93,76.07,2040000
2015-11-23,75.85,76.25,75.46,75.49,2036500
2015-11-24,75.25,75.69,74.96,75.26,2474400
2015-11-25,75.4,75.61,75.11,75.23,1626824
2015-11-26,75.17,75.4,75.0,75.27,721448
2015-11-27,75.2,75.44,74.84,75.25,1243948
2015-11-30,75.3,76.14,75.3,76.08,3034410
2015-12-01,76.3,77.11,76.0,76.88,2655528
2015-12-02,77.65,77.67,76.45,76.87,2840430
2015-12-03,77.2,77.37,75.91,76.36,2426400
2015-12-04,76.39,76.88,75.75,76.59,2203900
2015-12-07,76.31,76.49,74.81,75.41,3066700
2015-12-08,74.51,75.0,73.82,74.3,2918300
2015-12-09,74.0,75.4,74.0,74.55,2598130
2015-12-10,74.37,75.14,74.15,74.15,2269900
2015-12-11,73.85,73.86,72.85,72.99,2969700
2015-12-14,73.04,73.33,71.93,72.45,2819039
2015-12-15,72.8,73.68,72.69,73.65,2259700
2015-12-16,74.0,75.15,73.82,75.05,2531800
2015-12-17,75.23,75.79,74.46,74.94,2579106
2015-12-18,74.5,74.9,74.12,74.25,9698222
2015-12-21,74.65,75.14,74.04,74.55,1943317
2015-12-22,74.5,74.75,73.51,74.39,1645200
2015-12-23,74.71,75.0,74.29,75.0,1364000
2015-12-24,74.98,75.74,74.84,75.64,814700
2015-12-29,75.6,76.09,75.48,75.87,1272500
2015-12-30,75.82,75.88,75.19,75.59,1292586
2015-12-31,75.04,75.33,74.07,74.15,2001700
2016-01-04,73.27,73.27,72.05,73.04,2359600
2016-01-05,73.21,73.58,72.36,72.82,2277400
2016-01-06,72.25,72.56,71.47,71.57,2894900
2016-01-07,70.5,70.98,70.2,70.25,3636500
2016-01-08,71.0,71.03,69.94,70.07,2616800
2016-01-11,70.32,70.47,69.86,70.41,2294066
2016-01-12,70.88,71.43,70.04,70.92,2765805
2016-01-13,71.3,71.5,69.06,69.15,3209100
2016-01-14,69.3,69.75,68.0,69.57,5310600
2016-01-15,68.07,68.14,66.57,67.05,5710436
2016-01-18,66.51,67.58,66.51,66.87,1543231
2016-01-19,67.78,68.29,67.1,67.43,4896506
2016-01-20,66.64,66.75,64.95,65.62,5653500
2016-01-21,66.08,67.08,65.63,66.83,3894100
2016-01-22,67.5,69.34,67.04,69.34,5199500
2016-01-25,69.13,69.13,66.94,67.03,2805200
2016-01-26,67.41,68.06,66.84,67.62,3391302
2016-01-27,67.69,69.22,67.52,68.63,3167800
2016-01-28,69.5,71.05,68.81,71.05,4410943
2016-01-29,71.44,72.55,70.22,72.55,4558800
2016-02-01,71.7,71.7,70.83,71.27,2071900
2016-02-02,70.14,70.37,69.45,70.08,3009418
2016-02-03,70.41,70.58,68.97,70.14,2866800
2016-02-04,70.09,71.29,70.01,70.99,2882800
2016-02-05,70.74,71.33,70.5,71.14,2257835
2016-02-08,70.36,70.6,68.93,69.29,3986900
2016-02-09,68.21,68.5,66.68,67.64,4707639
2016-02-10,68.25,68.89,66.0,66.19,3279500
2016-02-11,65.3,65.44,64.52,65.0,4645515
2016-02-12,66.16,68.05,66.0,67.98,3090000
2016-02-16,69.08,69.5,67.96,69.41,3423400
2016-02-17,69.95,71.03,69.64,70.95,3198500
2016-02-18,71.3,71.4,70.34,71.0,2579500
2016-02-19,70.13,71.41,69.68,71.28,3163700
2016-02-22,71.87,71.99,70.35,70.49,3320534
2016-02-23,70.86,71.49,69.43,69.63,3128700
2016-02-24,68.2,68.2,65.55,67.81,6442614
2016-02-25,68.0,68.05,67.35,67.78,2879800
2016-02-26,68.47,68.92,67.86,68.29,2179439
2016-02-29,68.61,69.24,68.26,69.07,3048928
2016-03-01,69.74,70.61,69.72,70.14,2980840
2016-03-02,69.9,70.55,69.06,70.13,2887263
2016-03-03,70.46,70.84,70.05,70.75,2459719
2016-03-04,70.95,71.57,70.5,71.38,2916338
2016-03-07,71.07,72.29,70.99,72.22,2790000
2016-03-08,71.86,72.7,71.78,72.7,2933900
2016-03-09,72.92,73.7,72.8,73.21,2937400
2016-03-10,73.73,74.02,72.76,73.24,2693000
2016-03-11,73.95,74.3,73.37,74.25,3073814
2016-03-14,73.96,74.63,73.82,74.25,2235200
2016-03-15,73.9,74.61,73.78,74.6,2263400
2016-03-16,74.62,75.11,73.89,74.62,2389800
2016-03-17,74.85,76.25,74.64,75.86,3403800
2016-03-18,75.86,75.94,75.01,75.22,6915200
2016-03-21,75.3,75.84,74.96,75.32,1550300
2016-03-22,74.89,75.35,74.65,74.79,2202800
2016-03-23,74.75,75.18,74.38,74.94,1658100
2016-03-24,74.24,74.29,73.56,73.97,2528941
2016-03-28,74.1,74.82,73.8,74.75,1379100
2016-03-29,74.4,74.85,73.7,74.78,2272100
2016-03-30,75.0,75.74,74.86,75.44,2086139
2016-03-31,75.25,75.76,74.73,74.83,2697800
2016-04-01,74.48,75.11,73.78,75.1,2683309
2016-04-04,75.25,75.28,74.55,74.76,1904729
2016-04-05,74.11,74.35,73.93,74.11,2118900
2016-04-06,74.13,74.27,73.3,73.93,3247312
2016-04-07,73.47,74.16,73.18,73.61,2302304
2016-04-08,74.0,74.98,74.0,74.81,2693900
2016-04-11,74.78,75.6,74.77,74.91,2165802
2016-04-12,75.18,76.32,74.98,75.74,2963701
2016-04-13,76.43,77.08,76.15,76.77,3107500
2016-04-14,77.0,77.9,76.9,77.39,2275789
2016-04-15,77.29,77.63,77.11,77.54,1960600
2016-04-18,77.3,77.87,77.16,77.77,3020800
2016-04-19,77.94,78.4,77.85,78.34,2316848
2016-04-20,78.5,78.93,78.3,78.72,2746800
2016-04-21,77.85,77.9,77.19,77.51,3037503
2016-04-22,77.48,77.96,77.4,77.58,1816622
2016-04-25,77.3,77.62,76.89,77.29,1487493
2016-04-26,77.35,78.16,77.35,77.81,1982700
2016-04-27,77.8,78.2,77.75,77.96,1682500
2016-04-28,77.5,78.18,77.14,77.78,2238500
2016-04-29,77.5,78.48,77.48,77.92,2208606
2016-05-02,78.0,78.12,77.29,77.71,1317511
2016-05-03,77.01,77.1,75.8,76.21,2992800
2016-05-04,75.9,76.21,74.91,75.68,2476229
2016-05-05,75.95,75.95,75.07,75.68,1745614
2016-05-06,75.41,76.41,75.11,76.09,2016100
2016-05-09,75.92,76.15,75.38,75.62,2129440
2016-05-10,75.9,76.91,75.88,76.61,2014567
2016-05-11,76.5,76.96,76.12,76.62,1973100
2016-05-12,76.95,77.1,75.97,76.97,1966700
2016-05-13,76.88,77.39,76.5,76.82,1585700
2016-05-16,76.68,77.53,76.67,77.01,1577700
2016-05-17,77.01,77.28,76.56,76.84,1944808
2016-05-18,76.68,78.17,76.66,78.16,3279500
2016-05-19,77.98,78.05,77.05,77.57,2268000
2016-05-20,77.88,78.17,77.73,77.85,2060800
2016-05-24,78.07,78.93,78.06,78.52,2471300
2016-05-25,78.77,79.69,78.7,79.25,2575966
2016-05-26,79.79,80.48,79.48,80.0,3764000
2016-05-27,79.9,80.68,79.83,80.55,2574900
2016-05-30,80.75,80.97,80.2,80.39,786400
2016-05-31,80.44,80.83,78.83,78.83,4993235
2016-06-01,78.34,79.24,77.79,79.1,2037614
2016-06-02,79.0,79.73,78.72,79.62,2207200
2016-06-03,79.39,79.54,78.65,79.26,2207040
2016-06-06,79.3,79.85,79.21,79.33,1636500
2016-06-07,79.7,80.04,79.51,79.95,2802596
2016-06-08,80.15,80.39,79.46,79.8,2188600
2016-06-09,79.34,79.45,78.74,79.34,1570400
2016-06-10,78.56,78.94,78.21,78.57,2044500
2016-06-13,78.05,78.69,78.05,78.5,1868800
2016-06-14,78.27,78.27,76.95,77.11,3259500
2016-06-15,77.35,77.55,77.0,77.01,2576200
2016-06-16,76.65,77.46,76.12,77.32,2523700
2016-06-17,77.42,78.02,77.24,77.6,9142900
2016-06-20,78.5,78.89,78.01,78.01,2411300
2016-06-21,78.39,78.95,78.11,78.62,1685626
2016-06-22,78.68,79.2,78.44,78.47,1483444
2016-06-23,79.14,79.73,79.1,79.69,2126578
2016-06-24,77.0,78.27,76.61,77.21,4569518
2016-06-27,76.45,76.46,74.64,75.2,3716500
2016-06-28,76.3,76.65,75.76,76.38,2566400
2016-06-29,76.98,77.4,76.52,76.9,2782000
2016-06-30,77.11,77.12,76.07,76.34,3563700
2016-07-04,76.87,77.32,76.7,77.19,1014881
2016-07-05,76.97,77.27,76.57,76.93,2458237
2016-07-06,76.69,76.74,75.83,76.61,3294174
