date,open,high,low,close,volume
2015-10-22,5.49,5.57,5.49,5.54,5629566
2015-10-23,5.55,5.59,5.51,5.56,5840841
2015-10-26,5.51,5.53,5.46,5.51,2429673
2015-10-27,5.41,5.45,5.38,5.4,4393755
2015-10-28,5.39,5.52,5.39,5.46,21966613
2015-10-29,5.28,5.33,5.25,5.28,14991794
2015-10-30,5.31,5.36,5.29,5.31,9685263
2015-11-02,5.4,5.44,5.37,5.4,6451247
2015-11-03,5.36,5.44,5.35,5.42,5042926
2015-11-04,5.54,5.56,5.42,5.45,4468249
2015-11-05,5.46,5.47,5.37,5.38,10741473
2015-11-06,5.4,5.44,5.36,5.42,5654484
2015-11-09,5.4,5.42,5.29,5.32,5953307
2015-11-10,5.27,5.3,5.23,5.28,4009057
2015-11-11,5.38,5.38,5.29,5.29,5630345
2015-11-12,5.17,5.19,5.12,5.12,5167571
2015-11-13,5.11,5.14,5.05,5.07,13738967
2015-11-16,5.01,5.09,5.0,5.08,4015316
2015-11-17,5.16,5.18,5.11,5.13,4894882
2015-11-18,5.17,5.21,5.15,5.21,4443810
2015-11-19,5.28,5.35,5.27,5.33,7711873
2015-11-20,5.32,5.33,5.2,5.21,4650491
2015-11-23,5.23,5.25,5.17,5.19,3658636
2015-11-24,5.17,5.27,5.17,5.26,4647613
2015-11-25,5.09,5.14,5.07,5.12,5472183
2015-11-27,5.17,5.17,5.12,5.13,1997802
2015-11-30,5.17,5.2,5.16,5.17,3509227
2015-12-01,5.22,5.26,5.18,5.23,4700620
2015-12-02,5.16,5.19,5.08,5.1,6515794
2015-12-03,5.18,5.2,5.05,5.06,5240227
2015-12-04,5.06,5.19,5.06,5.19,10301553
2015-12-07,5.08,5.08,4.99,5.02,4873426
2015-12-08,4.9,4.93,4.85,4.87,8070692
2015-12-09,4.9,5.0,4.87,4.9,14302549
2015-12-10,4.87,4.92,4.85,4.87,7685614
2015-12-11,4.84,4.85,4.74,4.76,7970023
2015-12-14,4.75,4.79,4.65,4.69,6599453
2015-12-15,4.77,4.82,4.77,4.8,6726802
2015-12-16,4.91,4.94,4.82,4.94,8053485
2015-12-17,4.96,4.97,4.89,4.9,5712281
2015-12-18,4.85,4.85,4.78,4.79,6069497
2015-12-21,4.71,4.73,4.61,4.65,8913870
2015-12-22,4.7,4.73,4.67,4.72,5139676
2015-12-23,4.79,4.87,4.77,4.86,8858957
2015-12-24,4.86,4.92,4.86,4.89,2465847
