date,open,high,low,close,volume
2015-10-22,76.73,77.49,76.62,77.02,1049500
2015-10-23,77.3,77.65,76.81,77.32,938800
2015-10-26,77.27,77.62,77.14,77.38,769500
2015-10-27,77.69,78.01,76.87,77.04,1518420
2015-10-28,77.98,78.75,77.4,78.03,1107200
2015-10-29,77.54,78.18,77.47,78.12,463600
2015-10-30,78.22,79.32,78.16,78.71,992900
2015-11-02,79.67,79.91,79.5,79.84,779016
2015-11-03,79.9,80.69,79.86,80.22,1249049
2015-11-04,79.92,79.94,78.94,79.13,1226100
2015-11-05,80.38,80.55,79.91,79.95,1259248
2015-11-06,78.75,78.96,78.07,78.79,1575824
2015-11-09,79.07,79.11,78.18,78.84,934236
2015-11-10,77.65,78.41,77.51,78.3,1198100
2015-11-11,78.97,79.57,78.8,79.34,1886360
2015-11-12,78.88,79.68,78.75,79.14,1123700
2015-11-13,78.18,78.49,77.61,77.96,785819
2015-11-16,77.51,78.07,77.42,78.03,683208
2015-11-17,78.31,78.7,78.08,78.14,808524
2015-11-18,78.75,79.5,78.29,79.39,863722
2015-11-19,80.0,80.42,79.9,80.16,753400
2015-11-20,80.3,80.33,79.62,79.77,591600
2015-11-23,79.27,79.5,78.83,79.1,1142631
2015-11-24,78.52,78.88,78.02,78.64,933700
2015-11-25,78.7,79.24,78.54,79.0,486015
2015-11-27,78.84,79.15,78.66,79.05,377626
2015-11-30,78.78,79.12,78.46,79.0,1204723
2015-12-01,79.43,79.77,79.18,79.72,699600
2015-12-02,79.36,79.49,78.9,79.13,1207200
2015-12-03,79.26,79.41,78.13,78.49,1427124
2015-12-04,78.08,79.16,78.04,78.98,1417500
2015-12-07,79.33,79.37,78.86,79.27,801822
2015-12-08,78.93,79.21,78.6,78.89,776842
2015-12-09,78.88,79.36,77.78,78.27,679432
2015-12-10,78.73,78.87,78.23,78.37,705000
2015-12-11,77.45,77.81,77.02,77.21,725300
2015-12-14,77.4,77.97,76.58,77.48,1468507
2015-12-15,78.58,78.74,78.01,78.26,799803
2015-12-16,78.44,78.87,77.52,78.48,1370200
2015-12-17,79.41,79.5,78.38,78.41,1038400
2015-12-18,78.4,78.47,77.81,78.12,1114242
2015-12-21,79.28,79.41,78.28,78.68,912207
2015-12-22,78.66,79.26,78.18,79.1,734047
2015-12-23,79.17,79.9,79.14,79.81,566600
2015-12-24,79.85,80.36,79.69,80.05,163221
2015-12-28,80.13,80.33,79.83,80.31,332000
2015-12-29,80.63,81.21,80.62,80.91,427682
2015-12-30,80.54,80.67,80.15,80.15,369000
2015-12-31,79.71,79.81,79.07,79.1,267900
2016-01-04,76.74,77.18,75.89,77.14,1075430
2016-01-05,76.33,77.1,76.16,76.97,1392002
2016-01-06,76.81,77.79,76.66,77.65,1031614
2016-01-07,76.9,77.97,76.68,77.21,1670828
2016-01-08,78.27,78.35,76.76,76.9,1186843
2016-01-11,78.13,78.72,77.74,78.56,1519730
2016-01-12,80.96,80.99,79.9,80.36,3382600
2016-01-13,80.39,80.6,77.97,78.43,2530400
2016-01-14,79.41,80.27,78.93,79.72,1988806
2016-01-15,77.24,77.77,76.65,76.9,1583135
2016-01-19,78.79,79.07,77.77,78.34,1658925
2016-01-20,77.67,78.0,76.06,77.47,2242400
2016-01-21,77.43,78.31,76.63,77.99,2028222
2016-01-22,77.69,78.4,77.5,78.27,2273300
2016-01-25,78.55,79.33,78.19,78.31,1356479
2016-01-26,77.96,78.98,77.88,78.94,867316
2016-01-27,79.04,80.1,78.64,78.89,992397
