date,open,high,low,close,volume
2015-10-22,28.96,29.61,28.85,29.45,7644924
2015-10-23,29.91,30.49,29.78,30.43,11372923
2015-10-26,30.37,30.51,30.08,30.45,6335425
2015-10-27,30.12,30.31,29.61,29.85,8956100
2015-10-28,29.86,31.05,29.77,30.94,25173717
2015-10-29,30.94,31.28,30.57,31.0,9489300
2015-10-30,30.9,31.05,30.48,30.52,6254200
2015-11-02,30.66,31.48,30.47,31.37,7031144
2015-11-03,31.26,31.73,31.16,31.49,7133394
2015-11-04,31.52,31.73,31.39,31.44,7214600
2015-11-05,31.56,31.8,31.49,31.57,8704500
2015-11-06,32.52,34.17,32.52,33.51,27112100
2015-11-09,33.59,33.88,33.38,33.49,17265826
2015-11-10,33.28,33.46,32.88,33.33,9354800
2015-11-11,33.32,33.77,33.32,33.53,6999146
2015-11-12,33.09,33.26,32.67,32.79,7987900
2015-11-13,32.62,32.91,32.18,32.31,8309730
2015-11-16,32.26,32.59,31.9,32.59,7966730
2015-11-17,32.79,33.24,32.29,32.81,7766092
2015-11-18,32.87,33.52,32.77,33.4,8036448
2015-11-19,33.36,33.56,32.95,33.04,7106000
2015-11-20,33.25,33.43,33.16,33.34,9207300
2015-11-23,33.42,33.55,33.21,33.29,5874500
2015-11-24,32.91,33.57,32.79,33.5,9006803
2015-11-25,33.67,33.81,33.43,33.69,11356600
2015-11-27,33.69,33.79,33.43,33.74,2004100
2015-11-30,33.93,33.95,33.46,33.71,6710420
2015-12-01,33.92,34.16,33.46,34.02,6548600
2015-12-02,34.13,34.22,33.48,33.59,7199546
2015-12-03,33.79,33.85,32.95,32.98,9018400
2015-12-04,33.32,34.52,33.17,34.51,14250300
2015-12-07,34.39,34.48,33.88,34.08,6641331
2015-12-08,33.73,34.1,33.6,33.86,6117900
2015-12-09,33.67,34.1,32.84,32.97,9684800
2015-12-10,33.01,33.65,32.88,33.26,4641440
2015-12-11,32.63,32.8,31.67,31.77,10214500
2015-12-14,32.05,32.61,31.62,32.25,11846931
2015-12-15,32.69,33.29,32.69,33.18,10842136
2015-12-16,33.62,34.0,32.82,33.81,15136400
2015-12-17,34.03,34.11,33.08,33.21,7335312
2015-12-18,32.89,33.03,31.9,31.91,14251002
2015-12-21,32.23,32.4,31.87,32.21,6950140
2015-12-22,32.55,32.99,32.16,32.9,5330933
2015-12-23,33.14,33.17,32.74,33.06,6389806
2015-12-24,33.0,33.26,32.89,33.05,1464437
2015-12-28,32.91,33.11,32.6,33.11,3902000
2015-12-29,33.39,33.62,33.29,33.56,4152800
2015-12-30,33.42,33.72,33.23,33.25,3142111
2015-12-31,32.98,33.47,32.7,32.93,6026400
2016-01-04,31.95,32.08,31.47,31.98,9605714
2016-01-05,32.02,32.23,31.57,31.88,5948200
2016-01-06,31.25,31.38,30.53,30.79,8809035
2016-01-07,29.93,30.21,28.97,29.18,15041400
2016-01-08,29.51,29.82,28.93,29.0,15311810
2016-01-11,29.21,29.38,28.24,28.74,15918100
2016-01-12,29.04,29.42,28.81,29.24,10914400
2016-01-13,29.11,29.46,27.46,27.71,12194000
2016-01-14,27.88,28.39,26.91,28.12,10839930
2016-01-15,26.98,27.52,26.53,27.02,19308000
2016-01-19,28.05,28.09,26.23,26.51,14403625
2016-01-20,25.89,25.89,24.37,25.27,28589700
2016-01-21,25.29,25.48,24.37,24.38,27541834
2016-01-22,25.11,25.9,24.78,25.83,20091700
2016-01-25,25.72,25.95,25.12,25.17,15281700
2016-01-26,25.39,25.74,25.14,25.45,11637605
2016-01-27,25.36,26.02,24.99,25.25,10322900
2016-01-28,25.53,25.7,24.65,24.82,12099435
2016-01-29,25.13,25.63,24.72,25.53,13883705
2016-02-01,25.43,25.49,24.97,25.28,9459900
2016-02-02,24.85,24.87,23.88,24.11,10292000
2016-02-03,24.33,24.58,22.92,24.38,23511300
2016-02-04,24.31,25.17,24.3,24.97,13920100
2016-02-05,24.94,25.47,24.26,24.36,10810121
2016-02-08,23.75,23.82,23.14,23.61,18211918
2016-02-09,22.89,23.84,22.85,23.34,17332418
2016-02-10,23.6,24.11,22.68,22.7,17127329
2016-02-11,21.89,22.4,21.51,22.22,22320900
2016-02-12,22.8,23.02,22.18,22.82,10328812
2016-02-16,23.55,23.77,23.05,23.58,9910600
2016-02-17,23.99,24.64,23.97,24.48,12636300
2016-02-18,24.5,24.59,23.84,24.16,9019197
2016-02-19,23.96,24.67,23.95,24.44,9175500
2016-02-22,24.71,25.1,24.33,24.54,11227030
2016-02-23,24.45,24.5,23.96,24.13,10435221
2016-02-24,23.65,23.83,23.0,23.68,12107400
2016-02-25,23.74,24.1,23.57,24.09,8115109
