date,open,high,low,close,volume
2015-10-22,3.227,3.245,3.171,3.201,2295370
2015-10-23,3.198,3.2434,3.109,3.166,2000250
2015-10-26,3.166,3.175,3.076,3.107,1082850
2015-10-27,3.068,3.104,2.972,3.104,2962790
2015-10-28,3.062,3.124,3.026,3.112,1091930
2015-10-29,3.082,3.202,3.011,3.159,1717610
2015-10-30,3.149,3.249,3.1,3.222,2608960
2015-11-02,3.236,3.362,3.091,3.096,3023040
2015-11-03,3.105,3.175,2.964,3.144,5542960
2015-11-04,3.373,3.393,2.963,3.175,9643760
2015-11-05,3.251,3.354,3.135,3.162,5648160
2015-11-06,3.16,3.241,3.149,3.154,4025800
2015-11-09,3.163,3.164,2.974,3.023,2994210
2015-11-10,3.01,3.045,2.82,2.859,3447010
2015-11-11,2.883,2.9,2.77,2.818,3110690
2015-11-12,2.8,2.989,2.758,2.886,5409940
2015-11-13,2.893,3.0,2.817,2.833,3689570
2015-11-16,2.826,2.863,2.638,2.735,7293570
2015-11-17,2.65,2.7,2.553,2.639,26042990
2015-11-18,2.687,2.8,2.65,2.8,19075760
2015-11-19,2.8,2.972,2.784,2.945,12339810
2015-11-20,2.95,2.96,2.772,2.823,8842770
2015-11-23,2.815,2.9,2.7861,2.887,3863150
2015-11-24,2.846,2.846,2.681,2.695,11929200
2015-11-25,2.725,2.7678,2.626,2.644,9347760
2015-11-27,2.68,2.698,2.63,2.671,3143460
2015-11-30,2.69,2.696,2.622,2.634,5099680
2015-12-01,2.618,2.67,2.618,2.628,4331790
2015-12-02,2.632,2.657,2.58,2.641,3856990
2015-12-03,2.65,2.688,2.613,2.683,6138970
2015-12-04,2.685,2.74,2.654,2.712,6294950
2015-12-07,2.663,2.715,2.654,2.688,6164490
2015-12-08,2.64,2.679,2.604,2.648,4734640
2015-12-09,2.628,2.628,2.442,2.481,9389180
2015-12-10,2.481,2.5205,2.455,2.496,5649280
2015-12-11,2.463,2.528,2.454,2.476,1913890
2015-12-14,2.463,2.5,2.416,2.456,2905340
2015-12-15,2.449,2.557,2.44,2.536,5267250
2015-12-16,2.55,2.636,2.529,2.621,6102960
2015-12-17,2.629,2.68,2.616,2.653,3738680
2015-12-18,2.617,2.637,2.531,2.531,3533200
2015-12-21,2.55,2.574,2.406,2.445,2732190
2015-12-22,2.45,2.483,2.4222,2.466,1839980
2015-12-23,2.469,2.529,2.457,2.492,1419770
2015-12-24,2.494,2.545,2.493,2.534,1042430
2015-12-28,2.527,2.546,2.476,2.484,1126060
2015-12-29,2.501,2.568,2.4881,2.518,1847740
2015-12-30,2.512,2.656,2.512,2.598,2430790
2015-12-31,2.585,2.62,2.522,2.58,2351420
2016-01-04,2.542,2.5835,2.452,2.572,6019720
2016-01-05,2.55,2.65,2.526,2.531,4184030
2016-01-06,2.495,2.534,2.418,2.53,2567650
2016-01-07,2.5,2.558,2.463,2.467,4162830
2016-01-08,2.5,2.537,2.47,2.493,1375940
2016-01-11,2.495,2.503,2.353,2.387,2947400
2016-01-12,2.415,2.472,2.341,2.374,3699780
2016-01-13,2.373,2.3925,2.125,2.138,5106190
2016-01-14,2.144,2.144,1.985,2.064,8139220
2016-01-15,2.024,2.024,1.848,1.989,9214680
2016-01-19,2.143,2.155,2.018,2.03,8836990
2016-01-20,2.0,2.095,1.861,2.053,5028230
2016-01-21,2.093,2.34,2.056,2.279,11030310
2016-01-22,2.347,2.371,2.264,2.307,7822460
2016-01-25,2.313,2.368,2.266,2.313,3382280
2016-01-26,2.344,2.351,2.2385,2.309,1758160
2016-01-27,2.292,2.324,2.2,2.2,2892460
2016-01-28,2.227,2.29,2.201,2.25,3154980
2016-01-29,2.249,2.33,2.237,2.322,5386150
2016-02-01,2.326,2.371,2.286,2.353,3735710
2016-02-02,2.327,2.3515,2.219,2.262,5388600
