date,open,high,low,close,volume
2015-10-22,53.54,54.23,53.5,54.1,3085400
2015-10-23,54.5,54.75,54.33,54.39,2592388
2015-10-26,54.53,54.68,54.05,54.21,3519622
2015-10-27,54.12,54.91,54.05,54.87,6907229
2015-10-28,54.89,55.38,54.8,55.38,2881900
2015-10-29,55.15,55.25,54.64,55.17,2133600
2015-10-30,55.2,55.2,53.62,53.68,5407735
2015-11-02,53.75,54.2,53.5,54.17,2305200
2015-11-03,54.1,54.21,53.81,54.11,2026900
2015-11-04,54.16,54.47,54.0,54.16,2871335
2015-11-05,54.35,54.63,53.91,54.06,2726900
2015-11-06,54.18,54.7,54.12,54.64,2973984
2015-11-09,54.65,54.67,54.04,54.44,2168700
2015-11-10,54.22,54.98,54.0,54.91,2434100
2015-11-11,54.9,55.09,54.5,54.72,1324300
2015-11-12,54.42,54.46,53.87,54.04,3860712
2015-11-13,53.91,54.05,53.11,53.37,2142142
2015-11-16,53.19,53.98,53.13,53.95,2218400
2015-11-17,54.13,54.67,53.88,54.29,2776110
2015-11-18,54.51,54.68,54.34,54.49,2409300
2015-11-19,54.58,54.8,54.34,54.62,2089010
2015-11-20,54.91,54.91,54.51,54.58,2368647
2015-11-23,54.52,54.89,54.46,54.5,2192500
2015-11-24,54.38,54.85,54.25,54.43,3293000
2015-11-25,54.64,54.71,54.25,54.33,3425900
2015-11-26,54.38,54.48,54.26,54.45,578712
2015-11-27,54.4,54.55,54.12,54.48,1529533
2015-11-30,54.48,54.81,54.22,54.54,3647400
2015-12-01,54.8,55.46,54.45,55.26,3524800
2015-12-02,55.4,55.42,54.82,55.05,3010705
2015-12-03,55.12,55.17,53.95,54.3,3398722
2015-12-04,54.4,55.04,53.96,54.77,2799000
2015-12-07,54.5,54.77,53.68,54.04,3206720
2015-12-08,53.49,53.68,53.01,53.15,3681224
2015-12-09,53.36,54.48,53.35,53.78,3789800
2015-12-10,53.78,54.44,53.7,53.98,3020545
2015-12-11,53.75,53.79,53.19,53.3,3943800
2015-12-14,53.3,53.61,52.76,53.25,4023636
2015-12-15,53.52,54.13,53.44,53.92,3311800
2015-12-16,54.24,55.05,54.02,54.99,4064400
2015-12-17,55.1,55.47,54.56,54.9,5209741
2015-12-18,54.55,54.97,54.55,54.7,13264600
2015-12-21,55.04,55.3,54.42,54.8,4098700
2015-12-22,54.9,54.9,54.17,54.6,2543642
2015-12-23,54.8,55.02,54.53,54.87,2446900
2015-12-24,54.75,55.13,54.75,55.03,1112813
2015-12-29,55.17,55.43,55.04,55.33,1850416
2015-12-30,55.3,55.34,54.77,55.01,1440163
2015-12-31,54.72,54.76,54.13,54.24,2342900
2016-01-04,53.69,53.76,53.03,53.72,3213947
2016-01-05,53.75,53.94,53.21,53.51,3555200
2016-01-06,52.81,52.82,52.13,52.18,3564100
2016-01-07,51.37,51.87,51.0,51.03,3820600
2016-01-08,51.75,51.75,50.99,51.05,2959600
2016-01-11,51.33,51.4,50.81,51.39,2748340
2016-01-12,51.92,52.4,51.72,52.4,4465808
2016-01-13,52.82,52.82,51.34,51.5,4743000
2016-01-14,51.48,51.67,50.64,51.29,6584637
2016-01-15,50.25,50.56,49.37,49.45,8695500
2016-01-18,49.25,49.98,49.25,49.38,1651500
2016-01-19,50.0,50.63,49.72,50.29,5942800
2016-01-20,49.71,49.77,48.9,49.41,5563900
2016-01-21,49.5,50.24,49.33,50.18,3036600
2016-01-22,50.92,51.68,50.8,51.68,4111172
2016-01-25,51.58,51.6,50.08,50.18,2736331
2016-01-26,50.59,51.06,50.35,50.87,2070200
2016-01-27,50.88,51.93,50.81,51.72,2835445
2016-01-28,52.15,52.75,51.75,52.75,3801932
2016-01-29,53.0,53.15,52.1,53.15,5099900
2016-02-01,52.8,52.8,52.01,52.27,2319800
2016-02-02,51.77,51.86,51.27,51.85,2727900
2016-02-03,52.11,52.21,51.12,51.91,2831800
2016-02-04,51.94,52.69,51.89,52.63,2871200
2016-02-05,52.53,52.76,52.13,52.4,1820400
2016-02-08,51.67,51.75,51.15,51.51,2626907
2016-02-09,50.86,50.93,49.75,50.28,4390600
2016-02-10,50.8,50.95,49.65,49.7,6428100
2016-02-11,49.11,49.21,48.52,49.02,3500400
2016-02-12,49.71,50.84,49.52,50.81,2892700
2016-02-16,51.53,51.95,50.86,51.88,3173308
2016-02-17,52.16,52.68,51.95,52.6,3146348
2016-02-18,52.85,52.94,52.05,52.6,2887900
2016-02-19,52.16,52.49,51.6,52.42,2709400
2016-02-22,52.91,53.07,52.17,52.23,3427540
2016-02-23,52.37,52.85,51.95,52.18,2452721
2016-02-24,51.5,51.6,50.05,51.23,3953000
2016-02-25,51.6,52.0,51.25,51.92,2655567
2016-02-26,52.36,52.6,51.78,52.21,2612900
2016-02-29,52.49,52.59,51.98,52.43,3626335
