date,open,high,low,close,volume
2015-10-22,45.55,45.91,45.51,45.72,1320304
2015-10-23,45.79,45.87,45.3,45.44,866800
2015-10-26,45.42,45.55,45.25,45.3,633700
2015-10-27,45.08,45.2,44.92,44.99,916800
2015-10-28,45.12,45.23,44.5,44.83,1382819
2015-10-29,44.89,45.05,44.82,44.99,735337
2015-10-30,44.54,44.83,44.45,44.45,799300
2015-11-02,44.61,44.74,44.37,44.6,1072122
2015-11-03,44.2,44.6,44.11,44.57,944200
2015-11-04,44.46,44.51,44.23,44.35,736424
2015-11-05,44.19,44.29,43.97,44.15,1071500
2015-11-06,43.46,43.62,43.01,43.38,1017800
2015-11-09,42.73,42.96,42.6,42.88,1067521
2015-11-10,42.35,42.89,42.33,42.84,1269028
2015-11-11,43.2,43.54,43.15,43.37,1639600
2015-11-12,42.89,43.02,42.6,42.6,1370839
2015-11-13,42.03,42.15,41.86,42.0,1193408
2015-11-16,42.03,42.5,42.01,42.5,1238100
2015-11-17,42.91,43.08,42.72,42.81,2441110
2015-11-18,42.58,43.22,42.56,43.19,2572419
2015-11-19,43.28,43.55,43.26,43.46,1699433
2015-11-20,43.42,43.74,43.42,43.53,2667303
2015-11-23,43.51,43.64,43.17,43.25,1230535
2015-11-24,42.58,43.16,42.57,43.08,1684204
2015-11-25,43.71,43.77,43.6,43.69,1802140
2015-11-27,43.74,43.85,43.5,43.57,824500
2015-11-30,43.46,43.51,42.81,42.85,1245840
2015-12-01,42.84,42.98,42.67,42.98,1182105
2015-12-02,43.19,43.43,43.02,43.05,1389500
2015-12-03,42.83,42.84,41.97,42.11,1842307
2015-12-04,41.99,42.87,41.96,42.83,1471000
2015-12-07,43.18,43.38,43.04,43.31,1079900
2015-12-08,42.71,42.94,42.57,42.8,1454800
2015-12-09,43.04,43.37,42.58,42.86,1841931
2015-12-10,42.81,42.88,42.49,42.57,1624300
2015-12-11,42.14,42.29,41.79,41.85,1698900
2015-12-14,41.9,42.07,41.47,41.92,2433837
2015-12-15,42.39,42.69,42.38,42.45,1535000
2015-12-16,42.95,43.4,42.74,43.3,1258479
2015-12-17,42.96,43.14,42.81,42.82,1257347
2015-12-18,42.5,42.56,42.15,42.15,1676446
2015-12-21,42.77,42.78,41.9,42.22,1124945
2015-12-22,42.29,42.55,41.98,42.5,1434600
2015-12-23,42.92,43.38,42.9,43.38,1260139
2015-12-24,43.35,43.54,43.29,43.38,465200
2015-12-28,43.33,43.49,43.24,43.43,648700
2015-12-29,43.8,44.04,43.69,43.96,1278746
2015-12-30,44.01,44.05,43.75,43.75,866800
2015-12-31,43.59,43.6,43.12,43.12,701307
2016-01-04,42.23,42.27,41.54,42.2,1551836
2016-01-05,41.95,42.26,41.78,42.1,1277500
2016-01-06,41.34,41.65,41.24,41.5,1457742
2016-01-07,40.9,41.24,40.71,40.85,1311104
2016-01-08,41.06,41.06,40.39,40.45,1557518
2016-01-11,40.81,40.87,40.24,40.68,1361823
2016-01-12,41.13,41.56,40.72,41.44,2066027
2016-01-13,41.75,41.81,40.84,40.88,1557908
2016-01-14,40.92,41.33,40.69,41.12,1842009
2016-01-15,40.1,40.36,39.86,40.09,1700746
2016-01-19,41.66,41.93,41.44,41.67,1929000
2016-01-20,40.95,41.08,39.97,40.76,1821840
2016-01-21,41.02,41.44,40.51,41.2,1752442
2016-01-22,41.99,42.36,41.85,42.26,1439801
2016-01-25,42.42,42.47,42.07,42.11,1381279
2016-01-26,42.04,42.76,42.01,42.63,1269446
2016-01-27,42.93,43.28,42.52,42.75,1512607
2016-01-28,42.89,43.2,42.53,43.02,1240100
2016-01-29,43.49,44.28,43.37,44.27,1258300
2016-02-01,44.0,44.57,43.96,44.42,1621500
2016-02-02,44.45,44.5,44.05,44.17,1445800
2016-02-03,44.24,44.35,43.63,44.25,2004300
2016-02-04,43.3,43.52,43.05,43.37,1795805
2016-02-05,43.55,43.57,42.99,43.35,2290813
2016-02-08,42.61,43.18,42.38,43.03,2651209
2016-02-09,42.17,42.96,42.15,42.73,1513200
2016-02-10,43.15,43.16,42.51,42.56,1577648
2016-02-11,42.34,42.48,42.0,42.35,2048438
2016-02-12,42.38,43.01,42.35,43.0,1724573
2016-02-16,43.55,43.55,42.98,43.38,1720500
2016-02-17,43.56,43.93,43.41,43.8,1236300
2016-02-18,43.69,43.77,43.36,43.47,1404665
2016-02-19,43.26,43.69,43.2,43.65,1591900
2016-02-22,43.5,43.84,43.5,43.65,985527
2016-02-23,43.41,43.61,43.05,43.05,1029400
