date,open,high,low,close,volume
2015-10-22,33.07,33.4,32.92,33.21,4679625
2015-10-23,33.53,33.53,33.27,33.38,2945600
2015-10-26,33.36,33.41,33.19,33.27,1734400
2015-10-27,33.0,33.03,32.77,32.96,2602726
2015-10-28,33.1,33.5,33.02,33.4,2618549
2015-10-29,33.07,33.19,32.88,33.0,2259400
2015-10-30,32.65,33.17,32.65,32.97,2358828
2015-11-02,33.03,33.24,32.99,33.21,2738831
2015-11-03,32.78,33.44,32.77,33.22,4168800
2015-11-04,33.6,33.62,33.13,33.36,2821400
2015-11-05,33.15,33.27,32.92,33.06,2562500
2015-11-06,32.63,32.81,32.38,32.66,2918300
2015-11-09,32.64,32.7,32.18,32.31,2383990
2015-11-10,33.79,33.94,33.48,33.69,6696800
2015-11-11,33.98,34.65,33.96,34.42,4307200
2015-11-12,33.9,33.94,33.54,33.58,3183100
2015-11-13,33.46,33.58,33.23,33.31,2030900
2015-11-16,33.35,33.82,33.32,33.79,2787445
2015-11-17,34.13,34.26,33.92,34.07,3433610
2015-11-18,33.43,33.61,33.33,33.58,3692500
2015-11-19,33.97,34.03,33.6,33.71,5273514
2015-11-20,34.21,34.21,33.75,33.82,3064600
2015-11-23,33.68,33.91,33.25,33.35,2969520
2015-11-24,32.93,33.11,32.91,33.03,2650900
2015-11-25,33.66,33.74,33.47,33.69,3424245
2015-11-27,34.0,34.0,33.76,33.81,1686500
2015-11-30,33.79,33.92,33.51,33.56,3359600
2015-12-01,33.66,33.69,33.31,33.47,2591104
2015-12-02,33.26,33.3,32.9,32.96,3009300
2015-12-03,33.09,33.12,32.47,32.64,4312500
2015-12-04,32.58,32.92,32.44,32.88,4728323
2015-12-07,32.91,33.26,32.75,33.22,6156700
2015-12-08,32.44,32.75,32.35,32.55,6327432
2015-12-09,32.74,32.9,32.17,32.43,3680629
2015-12-10,32.37,32.43,32.07,32.09,3223700
2015-12-11,31.83,31.89,31.45,31.51,3507149
2015-12-14,31.55,31.6,30.82,31.2,3921086
2015-12-15,31.64,31.77,31.43,31.47,3748200
2015-12-16,32.25,32.34,31.67,32.31,3551617
2015-12-17,32.32,32.33,31.75,31.81,3854900
2015-12-18,31.69,31.75,31.21,31.22,3919630
2015-12-21,31.62,31.66,31.16,31.34,2795900
2015-12-22,31.4,31.48,31.17,31.41,2397518
2015-12-23,31.91,32.16,31.9,32.12,3833216
