date,open,high,low,close,volume
2015-10-22,104.28,105.43,104.12,105.21,1979200
2015-10-23,106.13,106.47,105.67,106.31,2404344
2015-10-26,106.26,106.3,105.85,106.06,3078300
2015-10-27,105.83,105.94,105.26,105.71,1686000
2015-10-28,105.94,107.12,105.62,107.1,2421700
2015-10-29,106.72,107.18,106.68,106.94,2666900
2015-10-30,107.14,107.28,106.5,106.53,2203200
2015-11-02,106.78,108.0,106.68,107.93,3396400
2015-11-03,107.71,108.57,107.55,108.2,3100800
2015-11-04,108.51,108.53,107.57,107.94,2893622
2015-11-05,108.04,108.23,107.21,107.82,2144000
2015-11-06,107.57,107.85,106.92,107.84,2078927
2015-11-09,107.9,107.9,106.2,106.76,2620800
2015-11-10,106.46,107.04,106.29,107.0,1605411
2015-11-11,107.27,107.27,106.53,106.54,1342225
2015-11-12,105.97,106.16,104.95,104.95,3110403
2015-11-13,104.76,104.88,103.81,103.84,3003700
2015-11-16,103.8,105.36,103.69,105.35,2635433
2015-11-17,105.51,106.09,104.97,105.22,2243300
2015-11-18,105.58,107.0,105.54,106.9,2106100
2015-11-19,106.91,107.08,106.62,106.76,1623479
2015-11-20,107.23,107.6,106.98,107.22,1563642
2015-11-23,107.23,107.59,106.88,107.11,3145011
2015-11-24,106.57,107.59,106.31,107.39,2032854
2015-11-25,107.51,107.66,107.25,107.47,1820310
2015-11-27,107.59,107.76,107.22,107.63,552449
2015-11-30,107.78,107.85,107.11,107.17,3618100
2015-12-01,107.59,108.21,107.37,108.18,2444590
2015-12-02,108.1,108.27,106.88,107.05,2937734
2015-12-03,107.29,107.48,105.06,105.45,3345637
2015-12-04,105.81,107.54,105.62,107.39,4520885
2015-12-07,107.23,107.27,106.06,106.55,3000773
2015-12-08,105.94,106.4,105.27,105.91,3149600
2015-12-09,105.55,106.75,104.48,105.0,4180200
2015-12-10,105.18,106.06,104.92,105.31,3685071
2015-12-11,104.17,104.43,103.07,103.24,5100745
2015-12-14,103.36,103.72,102.18,103.61,7237800
2015-12-15,104.44,105.19,104.36,104.72,2918125
2015-12-16,105.46,106.42,104.7,106.24,5972417
2015-12-17,106.44,106.47,104.68,104.68,4939900
2015-12-18,104.17,104.36,102.9,102.9,4207700
2015-12-21,103.19,103.28,102.37,103.13,3240700
2015-12-22,103.65,104.26,103.04,104.06,2876600
2015-12-23,104.63,105.4,104.51,105.36,3342450
2015-12-24,105.22,105.6,105.08,105.23,1460512
2015-12-28,104.88,105.0,104.32,105.0,3479620
2015-12-29,105.69,106.24,105.54,106.12,2508300
2015-12-30,105.96,106.0,105.25,105.32,2406101
2015-12-31,104.93,105.32,104.3,104.3,3652676
2016-01-04,102.58,102.95,101.58,102.74,6138300
2016-01-05,102.9,103.18,102.3,102.97,3652342
2016-01-06,101.53,102.23,100.95,101.59,3732800
2016-01-07,99.9,100.8,98.87,99.1,9256200
2016-01-08,99.61,99.99,97.78,97.97,7015831
2016-01-11,98.55,98.67,96.78,97.91,6863800
2016-01-12,98.8,99.17,97.28,98.58,4457335
2016-01-13,99.0,99.2,95.78,96.04,6163017
2016-01-14,96.36,98.18,95.33,97.51,5085101
2016-01-15,95.05,95.88,94.22,95.46,8101700
2016-01-19,96.57,96.67,94.5,95.36,7435700
2016-01-20,94.0,95.27,91.79,94.42,13845346
2016-01-21,94.7,95.96,93.82,94.79,7169500
2016-01-22,96.33,96.89,95.95,96.81,3701500
2016-01-25,96.64,96.65,95.11,95.22,4470500
2016-01-26,95.6,96.82,95.44,96.67,3333445
2016-01-27,96.4,97.32,95.05,95.57,5202433
2016-01-28,96.56,96.66,95.05,95.95,4540700
2016-01-29,96.45,98.36,96.35,98.33,5005410
2016-02-01,97.75,98.81,97.37,98.35,3869089
2016-02-02,97.5,97.55,96.16,96.45,3279600
2016-02-03,97.09,97.29,94.89,97.03,5457594
2016-02-04,96.79,97.92,96.47,97.26,3431865
2016-02-05,96.94,97.0,94.95,95.26,3993600
2016-02-08,94.2,94.38,92.5,93.78,6303904
2016-02-09,92.84,94.47,92.7,93.66,4793969
2016-02-10,94.19,95.27,93.62,93.72,3580039
2016-02-11,92.39,93.06,91.58,92.56,7239700
2016-02-12,93.47,94.38,93.01,94.36,2948100
2016-02-16,95.62,96.09,94.96,96.08,3577722
2016-02-17,96.77,97.93,96.59,97.67,3635000
2016-02-18,97.9,97.92,97.09,97.28,2432109
2016-02-19,96.85,97.36,96.43,97.3,2243700
2016-02-22,98.24,98.8,98.11,98.72,2235400
2016-02-23,98.38,98.52,97.47,97.53,3203930
2016-02-24,96.58,98.14,95.99,98.03,3253420
2016-02-25,98.27,99.19,97.82,99.19,4961947
2016-02-26,99.67,99.76,98.96,99.11,3194369
2016-02-29,99.12,99.69,98.32,98.32,2749400
2016-03-01,99.13,100.68,98.84,100.66,2955735
2016-03-02,100.52,101.24,100.26,101.22,3591720
2016-03-03,101.13,101.75,100.85,101.72,2703609
2016-03-04,101.89,102.6,101.4,102.07,2442357
2016-03-07,101.65,102.56,101.56,102.28,2964056
2016-03-08,101.73,101.8,100.91,101.01,3436900
2016-03-09,101.5,101.7,100.98,101.5,2132075
2016-03-10,101.8,102.3,100.4,101.47,3702567
2016-03-11,102.37,103.24,102.33,103.19,3253500
2016-03-14,102.88,103.32,102.69,103.07,2987138
2016-03-15,102.0,102.26,101.76,102.24,2992775
2016-03-16,101.99,103.09,101.91,102.88,3473600
2016-03-17,102.87,103.92,102.6,103.67,3472500
2016-03-18,103.95,104.28,103.8,104.13,2942590
2016-03-21,103.98,104.36,103.8,104.23,2539322
2016-03-22,103.75,104.52,103.61,104.2,1962747
2016-03-23,104.04,104.04,103.28,103.35,6087100
2016-03-24,102.76,103.33,102.53,103.32,2173069
2016-03-28,103.58,103.71,103.07,103.39,2103400
2016-03-29,103.19,104.55,102.96,104.54,2925100
2016-03-30,105.04,105.39,104.73,104.94,2258800
2016-03-31,104.97,105.22,104.7,104.82,2230100
2016-04-01,104.3,105.57,103.95,105.48,2996045
2016-04-04,105.49,105.55,104.89,105.04,1847400
2016-04-05,104.31,104.55,103.87,104.02,2572500
2016-04-06,104.09,105.2,103.9,105.16,2572000
2016-04-07,104.5,104.74,103.44,103.9,2135038
2016-04-08,104.57,104.9,103.91,104.2,2337151
2016-04-11,104.65,105.05,103.91,103.91,2276323
