date,open,high,low,close,volume
2015-10-22,81.06,82.23,81.06,82.09,1392322
2015-10-23,82.76,83.06,82.47,82.91,1073124
2015-10-26,82.83,82.86,82.47,82.6,853610
2015-10-27,82.38,82.51,82.05,82.35,827810
2015-10-28,82.46,83.45,82.28,83.45,1287000
2015-10-29,83.08,83.33,82.9,83.13,617200
2015-10-30,83.14,83.27,82.62,82.62,830418
2015-11-02,82.83,83.78,82.75,83.68,1643000
2015-11-03,83.45,84.15,83.36,83.86,823644
2015-11-04,84.04,84.06,83.37,83.6,816903
2015-11-05,83.58,83.77,83.13,83.49,1260402
2015-11-06,83.51,83.62,82.9,83.55,658848
2015-11-09,83.36,83.36,82.36,82.76,849445
2015-11-10,82.63,83.07,82.49,82.98,766243
2015-11-11,83.19,83.19,82.68,82.71,570849
2015-11-12,82.26,82.3,81.43,81.43,1687403
2015-11-13,81.16,81.44,80.77,80.85,1052400
2015-11-16,80.75,82.15,80.75,82.15,1398041
2015-11-17,82.27,82.65,81.77,81.98,1034344
2015-11-18,82.15,83.27,82.15,83.18,873811
2015-11-19,83.17,83.29,82.92,83.11,808100
2015-11-20,83.45,83.63,83.02,83.17,700200
2015-11-23,83.18,83.4,82.87,83.02,1707200
2015-11-24,82.67,83.46,82.47,83.25,1456400
2015-11-25,83.21,83.3,83.04,83.15,756500
2015-11-27,83.15,83.38,83.0,83.26,446800
2015-11-30,83.33,83.42,83.02,83.07,650200
2015-12-01,83.38,83.99,83.25,83.96,1583400
2015-12-02,83.96,84.02,82.85,82.97,1075110
2015-12-03,83.21,83.23,81.59,81.85,1467500
2015-12-04,82.08,83.6,82.02,83.45,1299911
2015-12-07,83.25,83.25,82.46,82.91,2609246
2015-12-08,82.16,82.63,81.78,82.08,1143320
2015-12-09,81.88,82.98,81.23,81.74,1988718
2015-12-10,81.81,82.56,81.63,81.92,1332305
2015-12-11,80.95,81.27,80.29,80.4,2013412
2015-12-14,80.48,80.85,79.74,80.79,2850200
2015-12-15,81.44,82.24,81.44,81.9,2951316
2015-12-16,82.47,83.23,81.89,83.1,3888900
2015-12-17,83.24,83.24,81.89,81.91,1668244
2015-12-18,81.66,81.66,80.47,80.47,2174913
2015-12-21,80.45,80.61,79.89,80.49,2359245
2015-12-22,80.93,81.51,80.43,81.38,1870800
2015-12-23,81.92,82.58,81.77,82.55,1343500
2015-12-24,82.46,82.66,82.26,82.4,881900
2015-12-28,82.06,82.12,81.63,82.11,1458900
2015-12-29,82.71,83.0,82.6,82.87,1154300
2015-12-30,82.76,82.8,82.2,82.29,1233006
2015-12-31,81.96,82.26,81.52,81.52,2106204
2016-01-04,80.36,80.53,79.54,80.53,2336208
2016-01-05,80.66,80.89,80.19,80.79,2090400
2016-01-06,79.59,80.09,79.19,79.64,1664200
