date,open,high,low,close,volume
2015-10-22,47.36,47.78,47.33,47.68,518300
2015-10-23,48.04,48.13,47.8,48.03,704600
2015-10-26,47.95,47.95,47.74,47.77,493400
2015-10-27,47.43,47.44,47.24,47.33,749800
2015-10-28,47.4,47.94,47.19,47.58,716100
2015-10-29,47.04,47.21,47.01,47.16,410200
2015-10-30,47.24,47.38,47.09,47.09,273200
2015-11-02,47.37,47.62,47.24,47.6,562100
2015-11-03,47.45,47.86,47.33,47.77,732800
2015-11-04,47.82,47.86,47.34,47.49,440300
2015-11-05,47.49,47.54,47.19,47.3,589100
2015-11-06,46.93,47.03,46.7,47.02,451100
2015-11-09,46.8,46.8,46.34,46.52,677100
2015-11-10,46.25,46.42,46.17,46.4,545800
2015-11-11,46.81,46.81,46.5,46.55,291000
2015-11-12,46.24,46.39,46.0,46.04,366500
2015-11-13,45.86,45.86,45.51,45.59,569100
2015-11-16,45.73,46.23,45.68,46.22,768600
2015-11-17,46.42,46.53,46.22,46.32,573800
2015-11-18,46.43,46.77,46.35,46.75,486200
2015-11-19,47.01,47.11,46.93,46.99,390000
2015-11-20,47.22,47.29,46.94,46.99,399000
2015-11-23,46.86,46.92,46.52,46.56,2097800
2015-11-24,46.39,46.71,46.23,46.65,1721600
2015-11-25,46.65,46.71,46.47,46.65,416200
2015-11-27,46.6,46.64,46.43,46.45,138800
2015-11-30,46.54,46.62,46.39,46.47,454400
2015-12-01,46.69,46.96,46.69,46.95,955700
2015-12-02,46.82,46.82,46.36,46.44,632500
2015-12-03,46.81,46.81,46.05,46.23,983800
2015-12-04,46.16,46.66,46.07,46.61,494000
2015-12-07,46.3,46.3,45.95,46.13,639900
2015-12-08,45.32,45.53,45.2,45.44,648400
2015-12-09,45.5,45.84,45.12,45.31,1030600
2015-12-10,45.45,45.51,45.19,45.24,1117200
2015-12-11,44.68,44.69,44.22,44.29,1544600
2015-12-14,44.37,44.59,43.98,44.45,1080200
2015-12-15,44.69,44.94,44.67,44.8,1877000
2015-12-16,45.18,45.79,45.07,45.71,1130400
2015-12-17,45.62,45.62,45.05,45.06,779600
2015-12-18,44.99,45.01,44.73,44.73,926100
2015-12-21,44.96,44.98,44.43,44.69,1171000
2015-12-22,44.68,45.01,44.63,44.99,989700
2015-12-23,45.31,45.75,45.3,45.75,1293600
2015-12-24,45.68,45.77,45.63,45.67,427200
2015-12-28,45.34,45.52,45.32,45.5,1073800
2015-12-29,45.83,45.97,45.66,45.9,971200
2015-12-30,45.62,45.7,45.46,45.53,1160800
2015-12-31,45.22,45.38,45.11,45.11,922700
2016-01-04,44.48,44.48,43.83,44.33,1497200
2016-01-05,44.34,44.34,44.0,44.25,651100
2016-01-06,43.42,43.64,43.28,43.5,991500
2016-01-07,42.74,43.08,42.53,42.6,1900800
2016-01-08,42.92,42.92,42.03,42.1,794700
2016-01-11,42.5,42.57,41.81,42.19,2037100
2016-01-12,42.5,42.54,41.91,42.29,8528900
2016-01-13,42.59,42.7,41.56,41.71,1006200
2016-01-14,41.86,42.45,41.52,42.27,1300300
2016-01-15,41.0,41.02,40.36,40.64,1721900
2016-01-19,41.36,41.43,40.78,41.12,1275600
2016-01-20,40.22,40.4,39.32,40.11,1335100
2016-01-21,40.06,40.7,39.73,40.45,890500
2016-01-22,41.49,41.69,41.34,41.66,766800
2016-01-25,41.39,41.44,40.96,40.96,1422700
2016-01-26,41.32,41.79,41.23,41.75,833600
2016-01-27,41.73,42.15,41.37,41.55,971100
2016-01-28,41.91,42.06,41.45,41.82,707500
2016-01-29,42.0,42.65,42.0,42.65,1299700
2016-02-01,42.31,42.64,42.07,42.47,1376600
2016-02-02,41.99,41.99,41.36,41.5,962100
2016-02-03,41.84,42.04,41.05,42.03,1082700
2016-02-04,41.94,42.42,41.91,42.23,613900
2016-02-05,42.07,42.08,41.47,41.66,1196400
2016-02-08,41.0,41.07,40.51,40.92,639100
2016-02-09,40.05,40.58,40.01,40.36,649200
2016-02-10,40.59,40.88,40.3,40.35,677600
2016-02-11,39.8,39.93,39.41,39.73,1244600
2016-02-12,39.95,40.42,39.74,40.39,584600
2016-02-16,41.06,41.24,40.84,41.23,1158600
2016-02-17,41.58,42.07,41.58,42.03,2703300
2016-02-18,42.2,42.28,41.78,41.85,535200
2016-02-19,41.47,41.72,41.34,41.7,720700
2016-02-22,42.07,42.3,42.07,42.17,2689100
2016-02-23,41.96,41.99,41.47,41.54,1050900
2016-02-24,40.9,41.49,40.65,41.44,967800
2016-02-25,41.65,41.88,41.42,41.87,557600
2016-02-26,42.1,42.12,41.68,41.75,788200
2016-02-29,41.77,41.99,41.6,41.6,859800
2016-03-01,42.25,42.81,42.19,42.78,1127800
2016-03-02,42.78,43.2,42.66,43.19,1386500
2016-03-03,43.2,43.65,43.2,43.65,826900
2016-03-04,43.94,44.3,43.85,44.11,990000
2016-03-07,43.64,44.18,43.55,44.05,1755500
2016-03-08,43.75,43.75,43.4,43.44,921600
2016-03-09,43.71,43.87,43.6,43.75,434700
2016-03-10,44.03,44.21,43.23,43.67,629200
2016-03-11,44.44,44.79,44.41,44.79,466800
2016-03-14,44.69,44.7,44.47,44.55,739000
2016-03-15,43.94,43.95,43.73,43.92,654200
2016-03-16,43.68,44.6,43.68,44.52,1037700
2016-03-17,44.61,45.11,44.56,45.0,1268000
2016-03-18,45.06,45.13,44.89,44.93,807400
2016-03-21,45.0,45.04,44.77,44.98,740900
2016-03-22,44.65,44.97,44.58,44.89,410500
2016-03-23,44.72,44.72,44.28,44.31,1730300
2016-03-24,43.85,44.08,43.78,44.07,695200
2016-03-28,44.44,44.47,44.19,44.36,543100
2016-03-29,44.18,44.84,44.03,44.82,783200
2016-03-30,45.22,45.51,45.21,45.27,835200
2016-03-31,45.15,45.23,44.92,44.92,350200
2016-04-01,44.02,44.53,43.95,44.47,896800
2016-04-04,44.65,44.65,44.25,44.28,418500
2016-04-05,43.55,43.64,43.42,43.51,482600
2016-04-06,43.67,44.18,43.56,44.18,321200
